Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,5.51,5.51,5.47,5.5,2.46,361800
2000-01-03,5.53,5.53,5.39,5.43,2.43,921500
2000-01-04,5.4,5.47,5.34,5.36,2.4,403400
2000-01-05,5.4,5.44,5.36,5.42,2.42,1007800
2000-01-06,5.43,5.5,5.38,5.42,2.42,570600
2000-01-07,5.44,5.62,5.44,5.62,2.51,468700
2000-01-10,5.61,5.65,5.58,5.61,2.51,385100
2000-01-11,5.6,5.64,5.54,5.54,2.48,394200
2000-01-12,5.58,5.69,5.58,5.68,2.54,704500
2000-01-13,5.68,5.81,5.68,5.8,2.59,490600
2000-01-14,5.79,5.85,5.66,5.75,2.57,418000
2000-01-18,5.69,5.75,5.64,5.65,2.52,262700
2000-01-19,5.69,5.79,5.69,5.72,2.56,287300
2000-01-20,5.75,5.77,5.69,5.76,2.57,224300
2000-01-21,5.76,6.06,5.72,6.03,2.7,425300
2000-01-24,6.03,6.18,5.98,6.03,2.7,572900
2000-01-25,6.03,6.13,5.92,5.92,2.65,339400
2000-01-26,5.98,6.06,5.9,5.91,2.64,319800
2000-01-27,5.84,5.85,5.7,5.7,2.58,243000
2000-01-28,5.7,5.77,5.68,5.7,2.58,263100
2000-01-31,5.72,5.81,5.58,5.72,2.59,344000
2000-02-01,5.69,5.8,5.53,5.75,2.6,258500
2000-02-02,5.8,5.84,5.72,5.8,2.62,294200
2000-02-03,5.77,5.84,5.61,5.8,2.62,270900
2000-02-04,5.8,5.8,5.58,5.65,2.55,270400
2000-02-07,5.65,5.65,5.51,5.53,2.5,506200
2000-02-08,5.53,5.53,5.27,5.44,2.46,938400
2000-02-09,5.39,5.44,5.29,5.35,2.42,564200
2000-02-10,5.32,5.44,5.32,5.4,2.44,214200
2000-02-11,5.36,5.42,5.14,5.2,2.35,421200
2000-02-14,5.25,5.39,5.13,5.32,2.41,276400
2000-02-15,5.34,5.47,5.34,5.44,2.46,467800
2000-02-16,5.44,5.46,5.27,5.29,2.39,397000
2000-02-17,5.32,5.43,5.31,5.32,2.41,267700
2000-02-18,5.32,5.34,5.24,5.24,2.37,293300
2000-02-22,5.21,5.21,5.06,5.14,2.33,195500
2000-02-23,5.14,5.14,5.03,5.08,2.29,151600
2000-02-24,5.03,5.08,4.86,4.91,2.22,483300
2000-02-25,4.91,4.98,4.76,4.76,2.15,402900
2000-02-28,4.79,4.92,4.77,4.9,2.21,313800
2000-02-29,4.86,4.99,4.84,4.97,2.25,329400
2000-03-01,4.97,5.03,4.97,5.03,2.28,402000
2000-03-02,4.99,5.06,4.97,4.98,2.25,568800
2000-03-03,4.95,5.06,4.88,4.99,2.26,364100
2000-03-06,4.97,4.98,4.9,4.92,2.23,257200
2000-03-07,4.94,5.1,4.88,5.01,2.26,318900
2000-03-08,5.05,5.18,5.03,5.16,2.33,392000
2000-03-09,5.12,5.2,5.05,5.2,2.35,436300
2000-03-10,5.17,5.24,5.09,5.21,2.36,394700
2000-03-13,5.16,5.24,5.08,5.24,2.37,579700
2000-03-14,5.2,5.2,4.95,4.97,2.25,586100
2000-03-15,5.01,5.17,4.9,5.06,2.29,444500
2000-03-16,5.05,5.39,5.05,5.39,2.44,412500
2000-03-17,5.34,5.34,5.1,5.32,2.41,546800
2000-03-20,5.38,5.39,5.31,5.39,2.44,307000
2000-03-21,5.35,5.47,5.32,5.47,2.47,305100
2000-03-22,5.47,5.6,5.23,5.29,2.39,341200
2000-03-23,5.35,5.43,5.24,5.28,2.39,172700
2000-03-24,5.25,5.35,5.24,5.35,2.42,230700
2000-03-27,5.32,5.42,5.31,5.35,2.42,184500
2000-03-28,5.35,5.36,5.2,5.2,2.35,218800
2000-03-29,5.14,5.4,5.14,5.34,2.41,193200
2000-03-30,5.36,5.42,5.31,5.4,2.44,392400
2000-03-31,5.4,5.53,5.32,5.47,2.47,333500
2000-04-03,5.49,5.49,5.42,5.49,2.48,179500
2000-04-04,5.46,5.5,5.28,5.46,2.47,252100
2000-04-05,5.5,5.51,5.35,5.39,2.44,578400
2000-04-06,5.42,5.49,5.35,5.49,2.48,232500
2000-04-07,5.51,5.54,5.38,5.44,2.46,185900
2000-04-10,5.49,5.5,5.39,5.4,2.44,254900
2000-04-11,5.4,5.43,5.31,5.4,2.44,360400
2000-04-12,5.4,5.47,5.35,5.42,2.45,718200
2000-04-13,5.43,5.66,5.42,5.6,2.53,305600
2000-04-14,5.64,5.77,5.53,5.54,2.5,339400
2000-04-17,5.58,5.65,5.5,5.62,2.54,270900
2000-04-18,5.6,5.6,5.47,5.57,2.52,206500
2000-04-19,5.57,5.58,5.5,5.55,2.51,185000
2000-04-20,5.47,5.7,5.47,5.68,2.57,250300
2000-04-24,5.65,5.66,5.53,5.57,2.52,256700
2000-04-25,5.58,5.7,5.53,5.7,2.58,246200
