Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,49.84,50.38,49.84,50.0,34.13,331000
2000-01-03,50.0,50.0,47.75,48.44,33.06,1824200
2000-01-04,48.44,48.5,46.31,46.84,31.97,1262000
2000-01-05,46.56,46.94,45.16,45.5,31.06,1950000
2000-01-06,45.5,46.31,45.0,45.75,31.23,1445000
2000-01-07,45.88,47.97,45.78,47.69,32.55,989200
2000-01-10,48.5,50.31,47.84,49.81,34.0,974400
2000-01-11,49.62,49.66,48.12,48.72,33.25,1136400
2000-01-12,48.75,49.22,48.34,48.56,33.15,642200
2000-01-13,48.56,49.16,48.25,48.5,33.1,948600
2000-01-14,49.0,49.0,47.75,47.94,32.72,955200
2000-01-18,48.0,48.0,46.78,46.78,31.93,1293600
2000-01-19,46.81,49.19,46.75,48.66,33.21,1570800
2000-01-20,49.94,50.47,46.81,46.84,31.97,1782800
2000-01-21,47.12,47.97,47.0,47.47,32.4,1427600
2000-01-24,47.59,47.59,45.88,46.0,31.4,1066400
2000-01-25,46.12,46.78,44.91,45.22,30.86,1182200
2000-01-26,45.5,48.19,45.28,46.91,32.01,1072200
2000-01-27,46.75,48.03,45.91,46.59,31.8,997400
2000-01-28,45.75,48.38,45.09,47.31,32.29,1946200
2000-01-31,47.19,47.25,45.81,46.84,31.97,1091600
2000-02-01,46.84,48.62,46.75,48.19,32.89,997400
2000-02-02,48.19,49.97,47.28,47.38,32.33,1844600
2000-02-03,47.31,47.62,46.66,47.0,32.08,1312200
2000-02-04,47.0,47.56,46.72,46.88,31.99,1018600
2000-02-07,46.69,46.75,45.84,45.94,31.35,884800
2000-02-08,45.94,47.81,45.94,47.44,32.38,1252000
2000-02-09,47.44,48.84,47.16,48.41,33.04,1419200
2000-02-10,48.34,49.19,47.53,48.22,32.91,921000
2000-02-11,48.94,48.97,47.31,47.84,32.65,1051400
2000-02-14,47.78,48.19,47.25,47.47,32.4,479200
2000-02-15,47.59,47.81,46.59,47.19,32.21,2933000
2000-02-16,47.31,47.5,44.03,44.62,30.46,1314400
2000-02-17,45.0,45.0,41.5,42.38,28.92,1839800
2000-02-18,42.56,44.94,42.56,44.56,30.42,2828800
2000-02-22,45.5,45.75,41.94,43.12,29.43,2370600
2000-02-23,43.75,48.5,43.62,47.25,32.25,2683200
