Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.38,11.0,10.34,10.75,10.75,114000
2000-01-03,11.06,11.06,10.03,10.75,10.75,248000
2000-01-04,10.5,10.5,9.78,9.97,9.97,295000
2000-01-05,10.0,10.31,9.88,10.03,10.03,778200
2000-01-06,10.12,10.12,9.41,9.47,9.47,819200
2000-01-07,9.62,9.75,8.09,8.31,8.31,2182600
2000-01-10,8.5,8.56,8.22,8.41,8.41,3289600
2000-01-11,8.5,8.53,8.22,8.28,8.28,1875000
2000-01-12,8.28,8.31,7.88,8.12,8.12,953600
2000-01-13,8.27,8.31,8.09,8.19,8.19,890600
2000-01-14,8.31,8.31,7.12,7.14,7.14,2553400
2000-01-18,7.5,7.5,6.78,7.06,7.06,4223400
2000-01-19,7.25,7.41,6.57,6.66,6.66,1381800
2000-01-20,6.88,6.94,6.59,6.66,6.66,1205000
2000-01-21,6.97,7.03,6.66,6.78,6.78,1189600
2000-01-24,6.92,7.19,6.75,6.75,6.75,930600
2000-01-25,7.0,7.03,6.62,6.88,6.88,956800
2000-01-26,6.91,6.94,6.19,6.31,6.31,1509800
2000-01-27,6.62,6.75,6.38,6.66,6.66,1312800
2000-01-28,6.69,6.69,6.5,6.5,6.5,1743200
2000-01-31,6.59,6.72,6.5,6.56,6.56,1718000
2000-02-01,6.53,6.88,6.5,6.69,6.69,998800
2000-02-02,6.75,6.78,6.31,6.38,6.38,1186600
2000-02-03,6.5,6.88,6.31,6.78,6.78,2125600
2000-02-04,6.78,6.84,6.56,6.62,6.62,1116800
2000-02-07,6.66,6.75,6.44,6.5,6.5,1265200
2000-02-08,6.53,6.62,6.25,6.62,6.62,1574400
2000-02-09,6.56,6.56,6.03,6.03,6.03,1259200
2000-02-10,6.06,6.56,6.0,6.53,6.53,1007200
2000-02-11,6.53,6.59,5.94,6.09,6.09,1045600
2000-02-14,6.09,6.38,6.06,6.34,6.34,795200
2000-02-15,6.38,6.38,6.06,6.09,6.09,496600
2000-02-16,6.12,6.16,5.62,5.75,5.75,671400
2000-02-17,5.84,5.88,5.25,5.38,5.38,1684200
2000-02-18,5.47,5.81,5.38,5.38,5.38,1237000
2000-02-22,5.47,5.94,5.38,5.62,5.62,1693800
2000-02-23,5.62,5.88,5.5,5.77,5.77,543000
2000-02-24,5.81,6.81,5.78,6.53,6.53,699400
2000-02-25,6.52,6.53,6.31,6.44,6.44,702000
2000-02-28,6.5,6.66,6.34,6.55,6.55,601200
2000-02-29,6.72,7.25,6.59,7.0,7.0,495200
2000-03-01,6.97,6.97,6.0,6.03,6.03,1274600
2000-03-02,6.03,6.03,5.53,5.53,5.53,975800
2000-03-03,5.84,6.06,5.56,6.06,6.06,703800
2000-03-06,6.03,6.16,5.47,5.47,5.47,662000
2000-03-07,5.69,5.69,4.75,4.81,4.81,2053200
2000-03-08,5.0,5.0,4.12,4.62,4.62,4427400
2000-03-09,4.88,5.5,4.78,5.47,5.47,1316800
2000-03-10,5.47,5.69,5.0,5.0,5.0,910600
2000-03-13,5.12,5.44,5.0,5.28,5.28,491800
2000-03-14,5.41,6.12,5.38,5.66,5.66,759800
2000-03-15,5.69,6.25,5.66,6.19,6.19,981200
2000-03-16,6.38,7.56,6.31,7.44,7.44,1981200
2000-03-17,6.97,7.25,6.94,7.19,7.19,635600
2000-03-20,7.31,7.47,7.12,7.28,7.28,1264400
2000-03-21,7.42,7.62,7.34,7.53,7.53,707200
2000-03-22,7.56,7.56,7.31,7.44,7.44,826600
2000-03-23,7.28,7.5,7.25,7.38,7.38,349800
2000-03-24,7.47,8.44,7.38,8.12,8.12,1148000
2000-03-27,8.17,8.31,7.88,8.19,8.19,563200
2000-03-28,8.19,8.22,7.44,7.69,7.69,534400
2000-03-29,7.62,8.12,7.12,7.22,7.22,758400
2000-03-30,7.22,7.69,7.09,7.5,7.5,233600
2000-03-31,7.62,7.75,7.0,7.09,7.09,378200
2000-04-03,7.31,7.5,7.06,7.38,7.38,567400
2000-04-04,7.47,7.5,6.75,7.38,7.38,396800
2000-04-05,7.31,7.62,7.25,7.41,7.41,205400
2000-04-06,7.25,7.47,7.12,7.22,7.22,195000
2000-04-07,7.22,7.22,6.81,6.97,6.97,472600
2000-04-10,6.97,7.34,6.78,6.84,6.84,515200
2000-04-11,6.97,6.97,6.31,6.53,6.53,457800
2000-04-12,6.69,6.75,6.28,6.44,6.44,470200
2000-04-13,6.62,6.94,6.59,6.72,6.72,313800
2000-04-14,6.75,6.88,6.28,6.47,6.47,436400
2000-04-17,6.5,6.66,6.12,6.5,6.5,364200
2000-04-18,6.42,6.75,6.38,6.53,6.53,205000
2000-04-19,6.38,6.66,6.0,6.09,6.09,1051400
2000-04-20,6.38,6.56,6.34,6.38,6.38,230000
2000-04-24,6.34,6.41,6.19,6.22,6.22,262400
2000-04-25,6.25,6.66,6.06,6.66,6.66,953000
2000-04-26,6.62,7.34,6.56,7.16,7.16,2802600
2000-04-27,6.75,7.03,6.56,6.81,6.81,390600
2000-04-28,6.84,7.12,6.75,6.75,6.75,379600
2000-05-01,6.88,7.12,6.81,6.97,6.97,270200
2000-05-02,6.97,7.0,6.69,6.72,6.72,277600
2000-05-03,6.69,6.75,6.12,6.5,6.5,380800
2000-05-04,6.53,6.69,6.44,6.5,6.5,330200
2000-05-05,6.5,6.94,6.47,6.94,6.94,279600
2000-05-08,6.81,7.25,6.78,6.88,6.88,291000
2000-05-09,6.94,6.94,6.72,6.88,6.88,136600
2000-05-10,6.84,7.06,6.72,6.94,6.94,362600
2000-05-11,6.94,7.25,6.91,7.09,7.09,350400
2000-05-12,7.09,7.25,6.81,6.88,6.88,173200
2000-05-15,6.91,7.62,6.91,7.59,7.59,429000
2000-05-16,7.5,7.72,7.5,7.62,7.62,615600
2000-05-17,7.5,7.53,7.31,7.38,7.38,910200
2000-05-18,7.41,7.56,7.31,7.5,7.5,1283400
2000-05-19,7.53,7.56,7.34,7.38,7.38,1742800
2000-05-22,7.5,7.5,7.0,7.31,7.31,356200
2000-05-23,7.31,7.56,7.22,7.31,7.31,314600
2000-05-24,7.5,7.5,7.19,7.41,7.41,466200
2000-05-25,7.5,7.5,7.25,7.28,7.28,487400
2000-05-26,7.25,7.34,6.75,6.94,6.94,567400
2000-05-30,6.91,7.03,6.69,6.91,6.91,698000
2000-05-31,6.94,6.94,6.59,6.81,6.81,610400
2000-06-01,6.69,6.97,6.69,6.81,6.81,223000
2000-06-02,6.95,7.19,6.88,6.97,6.97,526400
2000-06-05,6.97,7.03,6.94,7.0,7.0,256000
2000-06-06,7.0,7.09,6.7,6.72,6.72,392000
2000-06-07,6.75,7.03,6.5,6.81,6.81,424800
2000-06-08,6.78,7.25,6.78,7.03,7.03,447800
2000-06-09,7.03,7.03,6.69,6.81,6.81,397200
2000-06-12,6.91,7.0,6.72,6.97,6.97,224600
2000-06-13,6.61,7.06,6.61,7.03,7.03,388200
2000-06-14,7.06,7.06,6.75,6.75,6.75,452400
2000-06-15,6.78,7.09,6.72,7.03,7.03,531800
2000-06-16,7.03,7.03,6.81,6.97,6.97,1325600
2000-06-19,6.94,7.0,6.88,6.95,6.95,231400
2000-06-20,6.88,6.97,6.72,6.78,6.78,763600
2000-06-21,6.78,7.03,6.78,6.97,6.97,104000
2000-06-22,6.97,7.0,6.75,6.84,6.84,573000
2000-06-23,6.81,6.84,6.06,6.19,6.19,1624000
2000-06-26,6.16,6.38,6.0,6.22,6.22,892800
2000-06-27,6.25,6.44,5.88,6.34,6.34,521800
2000-06-28,6.38,7.0,6.34,7.0,7.0,490600
2000-06-29,6.75,6.94,6.31,6.88,6.88,275000
2000-06-30,6.97,6.97,6.56,6.94,6.94,498800
2000-07-03,6.84,6.91,6.62,6.72,6.72,135000
2000-07-05,6.72,6.88,6.69,6.69,6.69,494600
2000-07-06,6.84,7.25,6.56,7.22,7.22,332000
2000-07-07,7.03,7.22,6.84,7.22,7.22,174200
2000-07-10,7.22,7.25,7.09,7.19,7.19,203000
2000-07-11,7.12,7.44,6.94,7.41,7.41,404400
2000-07-12,7.41,7.5,7.22,7.25,7.25,425400
2000-07-13,7.22,7.41,7.19,7.25,7.25,193400
2000-07-14,7.25,7.44,7.19,7.19,7.19,92800
2000-07-17,7.25,7.38,7.22,7.28,7.28,165800
2000-07-18,7.19,7.41,7.16,7.19,7.19,214800
2000-07-19,7.22,7.25,6.91,7.12,7.12,134000
2000-07-20,6.88,7.16,6.88,7.16,7.16,112000
2000-07-21,6.94,7.16,6.75,6.75,6.75,212600
2000-07-24,7.0,7.06,6.75,6.81,6.81,130800
2000-07-25,6.84,7.03,6.84,6.97,6.97,156800
2000-07-26,6.88,7.25,6.81,7.25,7.25,203800
2000-07-27,7.12,7.44,6.94,7.16,7.16,438400
2000-07-28,6.88,7.22,6.75,6.88,6.88,239000
2000-07-31,6.91,7.25,6.75,7.22,7.22,310400
2000-08-01,7.25,7.31,7.25,7.28,7.28,467600
2000-08-02,7.25,7.47,7.25,7.34,7.34,467200
2000-08-03,7.41,7.91,7.25,7.72,7.72,788600
2000-08-04,7.72,8.06,7.72,8.03,8.03,474000
2000-08-07,7.97,8.03,7.72,8.03,8.03,331600
2000-08-08,8.03,8.03,7.91,7.91,7.91,325800
2000-08-09,7.94,7.97,7.66,7.81,7.81,374400
2000-08-10,7.72,7.78,7.66,7.66,7.66,223200
2000-08-11,7.66,7.94,7.56,7.94,7.94,284800
2000-08-14,7.75,8.06,7.75,8.03,8.03,186600
2000-08-15,8.0,8.03,7.78,7.88,7.88,108000
2000-08-16,7.88,8.0,7.84,7.94,7.94,139200
2000-08-17,7.88,7.94,7.84,7.91,7.91,90400
2000-08-18,7.88,8.0,7.69,7.75,7.75,222800
2000-08-21,7.78,7.91,7.62,7.69,7.69,308800
2000-08-22,7.62,7.72,7.38,7.38,7.38,224600
2000-08-23,7.66,7.91,7.44,7.88,7.88,177800
2000-08-24,7.88,7.91,7.62,7.81,7.81,449600
2000-08-25,7.94,7.94,7.69,7.75,7.75,78800
2000-08-28,7.75,7.81,7.62,7.72,7.72,87400
2000-08-29,7.78,7.78,7.62,7.72,7.72,107200
2000-08-30,7.72,7.78,7.66,7.78,7.78,102400
2000-08-31,7.7,7.78,7.59,7.62,7.62,197000
2000-09-01,7.69,7.72,7.44,7.53,7.53,228600
2000-09-05,7.47,7.53,7.38,7.38,7.38,126800
2000-09-06,7.5,7.5,7.22,7.28,7.28,894600
2000-09-07,7.25,7.5,7.19,7.47,7.47,1074800
2000-09-08,7.47,7.62,7.12,7.16,7.16,313800
2000-09-11,7.25,7.5,7.03,7.22,7.22,237400
2000-09-12,7.31,7.44,7.19,7.31,7.31,161000
2000-09-13,7.34,7.34,7.09,7.28,7.28,251400
2000-09-14,7.19,7.38,7.12,7.31,7.31,98000
2000-09-15,7.09,7.31,6.88,6.94,6.94,164800
2000-09-18,6.97,7.22,6.88,6.91,6.91,521000
2000-09-19,6.92,7.06,6.88,7.06,7.06,361800
2000-09-20,7.03,7.15,6.88,6.97,6.97,174600
2000-09-21,6.97,7.25,6.97,7.22,7.22,209400
2000-09-22,6.91,7.22,6.88,7.06,7.06,227000
2000-09-25,7.06,7.16,6.81,6.81,6.81,202000
2000-09-26,6.94,7.12,6.81,7.0,7.0,240800
2000-09-27,7.03,7.19,6.94,7.03,7.03,294200
2000-09-28,6.97,7.34,6.88,7.34,7.34,172200
2000-09-29,7.33,7.62,6.88,7.31,7.31,344400
2000-10-02,7.33,7.62,7.0,7.12,7.12,159200
2000-10-03,7.12,7.31,7.0,7.31,7.31,278400
2000-10-04,7.19,7.44,7.03,7.38,7.38,186800
2000-10-05,7.22,7.44,7.03,7.06,7.06,80000
2000-10-06,7.16,7.22,7.03,7.06,7.06,127400
2000-10-09,7.16,7.31,7.0,7.19,7.19,108600
2000-10-10,7.06,7.31,7.06,7.09,7.09,171400
2000-10-11,7.03,7.22,7.03,7.03,7.03,231800
2000-10-12,7.06,7.28,7.0,7.22,7.22,304200
2000-10-13,7.06,7.75,7.06,7.75,7.75,309400
2000-10-16,7.5,7.75,7.06,7.28,7.28,331200
2000-10-17,7.2,7.31,7.06,7.28,7.28,297200
2000-10-18,7.22,7.31,7.06,7.25,7.25,277800
2000-10-19,7.25,7.25,7.19,7.25,7.25,339600
2000-10-20,7.13,7.25,7.06,7.12,7.12,109000
2000-10-23,7.19,7.25,7.06,7.19,7.19,164600
2000-10-24,7.19,7.28,7.12,7.19,7.19,261600
2000-10-25,7.31,7.94,7.12,7.59,7.59,367400
2000-10-26,7.59,8.0,7.44,7.84,7.84,398200
2000-10-27,7.84,8.03,7.81,7.94,7.94,227000
2000-10-30,7.91,9.41,7.91,8.81,8.81,642800
2000-10-31,8.69,9.0,8.5,9.0,9.0,708400
2000-11-01,8.66,9.0,8.62,8.91,8.91,532800
2000-11-02,8.84,8.94,8.75,8.94,8.94,402000
2000-11-03,8.84,9.16,8.75,9.16,9.16,333800
2000-11-06,9.06,9.12,8.81,8.81,8.81,495600
2000-11-07,8.94,8.94,8.72,8.84,8.84,96800
2000-11-08,8.84,9.41,8.82,9.31,9.31,554400
2000-11-09,9.25,9.25,8.78,8.91,8.91,612800
2000-11-10,8.88,9.0,8.25,8.34,8.34,243000
2000-11-13,8.22,8.91,8.22,8.69,8.69,188600
2000-11-14,8.38,8.94,8.38,8.94,8.94,219600
2000-11-15,9.0,9.0,8.62,8.75,8.75,226600
2000-11-16,8.88,9.06,8.69,8.88,8.88,385200
2000-11-17,8.84,9.5,8.84,9.31,9.31,556200
2000-11-20,9.25,9.5,9.06,9.34,9.34,289400
2000-11-21,9.28,9.44,9.19,9.41,9.41,342000
2000-11-22,9.41,9.47,9.31,9.41,9.41,330200
2000-11-24,9.31,9.5,9.31,9.5,9.5,184200
2000-11-27,9.47,9.69,9.25,9.38,9.38,566400
2000-11-28,9.5,9.5,9.09,9.44,9.44,514200
2000-11-29,9.41,9.41,8.31,8.5,8.5,495000
2000-11-30,8.36,8.56,8.12,8.31,8.31,311200
2000-12-01,8.53,9.22,8.47,9.0,9.0,268800
2000-12-04,9.0,9.0,8.19,8.55,8.55,387400
2000-12-05,8.56,9.25,8.56,8.81,8.81,358000
2000-12-06,8.72,8.81,8.66,8.75,8.75,155800
2000-12-07,8.75,8.81,8.72,8.78,8.78,206400
2000-12-08,8.78,9.25,8.75,9.19,9.19,570600
2000-12-11,9.25,10.19,9.22,10.09,10.09,1285000
2000-12-12,10.12,11.12,10.0,11.03,11.03,2484400
2000-12-13,11.03,11.06,10.19,11.03,11.03,2002200
2000-12-14,10.92,11.12,10.66,11.0,11.0,1498000
2000-12-15,10.84,11.0,10.62,11.0,11.0,4383200
2000-12-18,10.95,11.09,10.72,10.97,10.97,1121800
2000-12-19,11.0,11.31,10.88,11.12,11.12,1389000
2000-12-20,11.12,11.19,10.88,11.03,11.03,621800
2000-12-21,11.03,11.5,10.88,11.34,11.34,4163400
2000-12-22,11.31,11.62,11.28,11.5,11.5,2689200
2000-12-26,11.69,12.25,11.53,12.12,12.12,1763400
2000-12-27,12.17,12.31,11.81,12.25,12.25,1006800
2000-12-28,12.38,12.53,12.06,12.47,12.47,1207000
2000-12-29,12.5,13.62,12.47,13.38,13.38,2196200
