Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.12,28.17,26.5,26.67,15.32,879300
2000-01-03,26.67,26.75,24.92,26.67,15.32,3018300
2000-01-04,25.38,27.0,24.17,24.67,14.17,2965600
2000-01-05,24.75,26.5,24.67,26.12,15.01,4059300
2000-01-06,26.0,27.38,25.67,27.08,15.56,2601600
2000-01-07,27.04,27.62,26.25,27.62,15.87,1896600
2000-01-10,28.0,28.42,27.25,28.08,16.14,2195500
2000-01-11,27.5,28.25,26.88,27.17,15.61,2090800
2000-01-12,27.08,27.83,26.42,26.79,15.4,1555200
2000-01-13,26.83,28.33,26.79,28.25,16.23,2140600
2000-01-14,28.5,31.33,28.46,30.25,17.38,4524000
2000-01-18,29.92,30.88,29.5,30.0,17.24,3027900
2000-01-19,30.04,30.54,29.0,30.42,17.48,1935700
2000-01-20,30.67,31.92,29.88,30.88,17.74,2332900
2000-01-21,31.25,31.25,30.25,30.54,17.55,2760400
2000-01-24,30.46,30.5,26.96,27.04,15.54,3122800
2000-01-25,27.33,28.75,26.08,28.67,16.47,9579100
2000-01-26,28.71,29.67,28.5,28.62,16.45,3158800
2000-01-27,28.75,28.79,27.42,28.71,16.5,2693500
2000-01-28,28.5,29.42,27.75,28.0,16.12,1881700
2000-01-31,28.04,29.38,28.0,29.38,16.91,2032300
2000-02-01,29.33,29.92,28.5,29.33,16.89,2161600
2000-02-02,29.33,29.46,28.33,29.17,16.79,1418800
2000-02-03,29.12,29.38,28.0,28.75,16.55,2057400
2000-02-04,29.08,29.42,28.08,28.33,16.31,1588000
2000-02-07,28.25,28.71,27.88,28.5,16.41,1014300
2000-02-08,28.79,28.96,28.08,28.42,16.36,1663300
2000-02-09,28.17,28.42,27.67,27.67,15.93,1832200
2000-02-10,27.75,29.88,27.62,29.5,16.99,1975800
2000-02-11,29.46,30.62,28.17,28.42,16.36,2627100
2000-02-14,28.67,31.42,28.42,31.0,17.85,2310700
2000-02-15,30.71,31.0,29.12,30.92,17.8,3150000
2000-02-16,30.83,30.96,30.0,30.5,17.56,1566900
2000-02-17,30.96,32.42,30.0,32.33,18.62,2097900
