Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.09,9.09,8.74,8.75,4.61,686700
2000-01-03,8.64,8.79,8.35,8.59,4.52,3280500
2000-01-04,8.56,8.7,8.15,8.2,4.31,1701100
2000-01-05,8.17,8.75,8.16,8.53,4.49,2105200
2000-01-06,8.51,8.64,8.27,8.42,4.43,3530400
2000-01-07,8.41,8.74,8.2,8.74,4.6,2677200
2000-01-10,8.78,9.1,8.69,9.1,4.79,1783900
2000-01-11,9.0,9.0,8.26,8.42,4.43,1979200
2000-01-12,8.54,8.57,8.2,8.32,4.38,2087700
2000-01-13,8.3,8.69,8.27,8.62,4.53,1339800
2000-01-14,8.74,8.9,8.46,8.64,4.55,1392400
2000-01-18,8.59,8.84,8.49,8.77,4.61,1471000
2000-01-19,8.9,8.9,8.46,8.7,4.58,2015100
2000-01-20,8.78,8.79,8.3,8.49,4.47,1255500
2000-01-21,8.84,8.84,8.3,8.49,4.47,1930000
2000-01-24,8.52,8.54,8.07,8.16,4.29,2617600
2000-01-25,8.14,8.3,7.95,8.25,4.34,2735100
2000-01-26,8.37,8.4,8.04,8.1,4.26,1181400
2000-01-27,8.08,8.4,8.02,8.27,4.35,1944100
2000-01-28,8.0,8.12,7.85,7.93,4.17,2157400
2000-01-31,8.02,8.27,7.99,8.19,4.31,2354400
2000-02-01,8.44,8.52,8.25,8.37,4.4,2317500
2000-02-02,8.4,8.4,8.1,8.22,4.33,1709100
2000-02-03,8.31,8.46,8.19,8.4,4.42,2065500
2000-02-04,8.47,8.52,8.27,8.3,4.37,1908400
2000-02-07,8.27,8.42,8.27,8.36,4.4,3388000
2000-02-08,8.44,8.52,8.4,8.51,4.48,2185800
2000-02-09,8.49,8.52,8.38,8.41,4.42,2533200
2000-02-10,8.44,8.49,8.33,8.47,4.46,2244600
2000-02-11,8.47,8.51,8.37,8.37,4.41,1700200
2000-02-14,8.36,8.59,8.2,8.57,4.51,1763700
