Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,17.5,17.53,17.38,17.41,7.53,442600
2000-01-03,17.5,17.5,17.03,17.03,7.36,5351200
2000-01-04,17.06,17.31,17.03,17.16,7.42,2082200
2000-01-05,17.16,17.62,17.16,17.59,7.61,1492800
2000-01-06,17.59,17.81,17.56,17.66,7.63,1009000
2000-01-07,17.66,17.69,17.53,17.53,7.58,1071800
2000-01-10,17.59,17.69,17.47,17.5,7.57,1348200
2000-01-11,17.5,17.78,17.5,17.72,7.66,1622800
2000-01-12,17.72,17.97,17.72,17.75,7.67,1102800
2000-01-13,17.72,17.91,17.62,17.66,7.63,4397000
2000-01-14,17.53,17.59,17.34,17.38,7.51,1273800
2000-01-18,17.25,17.28,17.06,17.09,7.39,858400
2000-01-19,17.22,17.62,17.22,17.41,7.53,1135800
2000-01-20,17.38,17.53,17.25,17.44,7.54,1242400
2000-01-21,17.5,17.81,17.38,17.78,7.69,847600
2000-01-24,17.81,18.0,17.56,17.62,7.62,1162600
2000-01-25,17.66,17.66,16.94,17.34,7.5,1869200
2000-01-26,17.06,17.25,16.97,17.25,7.46,1537800
2000-01-27,17.19,17.38,16.97,17.3,7.48,1004800
2000-01-28,17.06,17.19,16.69,16.75,7.24,1273000
2000-01-31,16.75,17.19,16.72,17.19,7.43,829200
2000-02-01,17.22,17.28,16.94,17.22,7.44,732000
2000-02-02,17.16,17.22,16.91,16.97,7.34,622800
2000-02-03,16.94,17.38,16.94,17.22,7.44,1224000
2000-02-04,17.19,17.22,16.66,16.84,7.28,1105800
2000-02-07,16.62,16.84,16.59,16.75,7.24,911200
2000-02-08,16.72,16.94,16.66,16.75,7.24,524600
2000-02-09,16.62,16.81,16.47,16.56,7.16,1096200
2000-02-10,16.56,16.62,16.22,16.34,7.07,529000
2000-02-11,16.28,16.44,16.16,16.28,7.04,508000
2000-02-14,16.31,16.66,16.25,16.31,7.05,1059600
2000-02-15,16.25,16.34,16.03,16.12,6.97,648400
2000-02-16,16.09,16.16,16.0,16.03,6.93,503200
2000-02-17,16.22,16.22,15.72,15.81,6.84,665800
2000-02-18,15.56,15.69,15.31,15.34,6.63,1420800
2000-02-22,15.28,15.5,15.25,15.28,6.61,1152800
2000-02-23,15.16,15.16,14.94,14.97,6.47,1553600
2000-02-24,14.94,14.94,14.22,14.53,6.28,2501800
2000-02-25,14.53,14.56,14.16,14.25,6.16,766400
2000-02-28,14.25,14.5,14.25,14.47,6.26,1527200
2000-02-29,14.47,14.56,14.44,14.5,6.27,1906400
2000-03-01,14.47,14.5,14.19,14.28,6.17,1016400
2000-03-02,14.25,14.53,14.22,14.41,6.23,874800
2000-03-03,14.44,14.56,14.34,14.47,6.26,1685200
2000-03-06,14.31,14.34,13.38,13.53,5.85,1585600
2000-03-07,13.53,13.81,13.5,13.62,5.89,1056200
2000-03-08,13.22,13.59,13.16,13.38,5.9,2406600
2000-03-09,13.25,13.31,13.03,13.19,5.82,937200
2000-03-10,13.19,13.22,13.06,13.06,5.76,841600
2000-03-13,13.0,13.16,12.88,12.94,5.71,788800
2000-03-14,12.94,13.09,12.84,12.97,5.72,861200
2000-03-15,12.91,13.84,12.91,13.75,6.06,1681400
2000-03-16,13.81,14.91,13.78,14.81,6.53,1833200
2000-03-17,14.5,14.75,14.28,14.34,6.33,1996600
2000-03-20,14.44,14.66,14.25,14.28,6.3,1028000
2000-03-21,14.41,14.44,14.12,14.25,6.29,888800
2000-03-22,14.12,14.19,13.75,13.81,6.09,837400
2000-03-23,13.69,14.41,13.69,14.22,6.27,986000
2000-03-24,14.0,14.12,13.94,13.97,6.16,974000
2000-03-27,13.97,14.22,13.97,14.03,6.19,487800
2000-03-28,14.06,14.75,14.03,14.06,6.2,1455400
2000-03-29,14.12,14.75,14.12,14.72,6.49,1607200
2000-03-30,14.72,14.97,14.72,14.88,6.56,1374600
2000-03-31,14.78,15.06,14.56,14.81,6.53,1361800
2000-04-03,14.84,14.94,14.75,14.84,6.55,1007600
2000-04-04,14.81,15.38,14.62,15.03,6.63,1697200
2000-04-05,15.03,15.56,15.03,15.06,6.64,1034200
2000-04-06,15.09,15.22,14.81,15.0,6.62,770800
2000-04-07,14.94,15.03,14.62,14.72,6.49,1605800
2000-04-10,14.78,15.41,14.69,15.38,6.78,1027400
2000-04-11,15.31,15.78,15.31,15.62,6.89,1321200
2000-04-12,15.75,16.31,15.75,16.03,7.07,1055200
2000-04-13,15.94,16.84,15.84,16.75,7.39,1463400
2000-04-14,16.75,17.19,16.5,16.66,7.35,2024600
2000-04-17,16.56,16.81,16.12,16.81,7.42,1841800
2000-04-18,16.75,16.94,16.66,16.75,7.39,1230600
2000-04-19,16.66,16.84,16.53,16.78,7.4,1389400
2000-04-20,16.84,17.09,16.75,17.0,7.5,902000
2000-04-24,17.03,17.72,17.03,17.53,7.73,1000200
2000-04-25,17.5,18.28,17.38,18.12,7.99,1261400
2000-04-26,18.12,18.84,18.03,18.81,8.3,1712800
2000-04-27,18.78,18.88,18.31,18.41,8.12,2022200
2000-04-28,18.31,18.38,17.84,17.94,7.91,1382400
2000-05-01,17.91,17.94,17.56,17.62,7.77,1343600
2000-05-02,17.66,17.88,17.41,17.41,7.68,1372800
2000-05-03,17.34,17.56,17.31,17.34,7.65,1009800
2000-05-04,17.25,17.75,16.88,17.56,7.75,1588800
2000-05-05,17.5,17.53,17.09,17.19,7.58,806200
2000-05-08,17.12,17.84,17.12,17.62,7.77,1418000
2000-05-09,17.53,17.66,17.34,17.5,7.72,1031200
2000-05-10,17.47,17.81,17.47,17.62,7.77,1192400
2000-05-11,17.59,18.19,17.59,18.12,7.99,1891400
2000-05-12,18.12,18.19,17.84,18.0,7.94,1059000
2000-05-15,17.91,18.38,17.91,18.25,8.05,850400
2000-05-16,18.19,18.19,17.84,18.06,7.97,955000
2000-05-17,18.19,18.25,17.69,17.81,7.86,1076400
2000-05-18,17.81,18.5,17.78,18.19,8.02,903800
2000-05-19,18.06,18.47,18.0,18.38,8.1,1524600
2000-05-22,18.41,19.09,18.41,18.72,8.26,1620600
2000-05-23,18.62,18.62,18.28,18.44,8.13,2311800
2000-05-24,18.5,18.78,18.44,18.53,8.17,1665000
2000-05-25,18.59,18.59,18.25,18.56,8.19,1174000
2000-05-26,18.59,18.88,18.53,18.72,8.26,910200
2000-05-30,18.72,18.72,18.34,18.53,8.17,1453600
2000-05-31,18.62,18.81,18.56,18.62,8.21,1187600
2000-06-01,18.56,18.62,18.31,18.62,8.21,1175000
2000-06-02,18.59,18.75,18.28,18.31,8.08,866000
2000-06-05,18.22,18.22,17.5,17.66,7.79,762600
2000-06-06,17.56,18.09,17.44,18.0,7.94,1026400
2000-06-07,17.78,17.97,17.69,17.81,7.98,679200
2000-06-08,17.59,17.88,17.41,17.84,7.99,1375200
2000-06-09,17.78,18.19,17.78,18.09,8.1,700600
2000-06-12,18.16,18.28,18.12,18.17,8.14,659000
2000-06-13,18.19,18.47,18.09,18.16,8.13,748200
2000-06-14,18.09,18.09,17.75,17.75,7.95,709600
2000-06-15,17.72,18.31,17.72,18.25,8.17,969400
2000-06-16,18.12,18.44,17.84,18.0,8.06,1269400
2000-06-19,17.91,18.06,17.78,17.94,8.03,861200
2000-06-20,18.0,18.09,17.69,18.0,8.06,1005800
2000-06-21,18.0,18.31,18.0,18.0,8.06,1021000
2000-06-22,18.0,18.0,17.56,17.88,8.0,1003200
2000-06-23,17.81,18.22,17.69,18.12,8.12,1364400
2000-06-26,18.12,18.34,17.88,18.31,8.2,807800
2000-06-27,18.34,18.44,17.5,17.62,7.89,1491600
2000-06-28,17.56,18.31,17.34,18.2,8.15,1523200
2000-06-29,18.12,18.38,17.81,17.91,8.02,950800
2000-06-30,17.91,18.41,17.16,17.31,7.75,2149600
2000-07-03,17.41,17.94,17.41,17.78,7.96,724800
2000-07-05,18.09,18.25,17.41,17.62,7.89,1074000
2000-07-06,17.44,17.75,17.38,17.75,7.95,1177200
2000-07-07,17.69,18.03,17.69,17.91,8.02,657600
2000-07-10,17.84,18.25,17.84,18.19,8.14,1304600
2000-07-11,18.09,18.34,17.81,18.34,8.21,1366000
2000-07-12,18.28,18.31,18.03,18.19,8.14,568200
2000-07-13,18.06,18.31,18.0,18.25,8.17,720200
2000-07-14,18.31,18.41,17.78,17.88,8.0,1695400
2000-07-17,17.53,17.62,17.41,17.44,7.81,1213600
2000-07-18,17.5,17.62,17.41,17.5,7.84,1145400
2000-07-19,17.5,17.69,17.47,17.53,7.85,1235000
2000-07-20,17.56,17.69,17.41,17.69,7.92,1120400
2000-07-21,17.44,17.59,17.19,17.34,7.77,1269800
2000-07-24,17.28,17.28,16.81,17.0,7.61,1014000
2000-07-25,17.0,17.0,16.62,16.75,7.5,1440600
2000-07-26,16.97,16.97,16.44,16.51,7.39,1821200
2000-07-27,16.56,16.84,16.56,16.81,7.53,1378400
2000-07-28,16.72,17.16,16.66,16.75,7.5,995000
2000-07-31,16.88,17.25,16.56,16.81,7.53,1785400
2000-08-01,16.81,17.38,16.81,17.31,7.75,1000400
2000-08-02,17.28,17.69,17.25,17.44,7.81,1425200
2000-08-03,17.5,18.06,17.47,17.66,7.91,1123000
2000-08-04,17.56,17.97,17.34,17.75,7.95,1512000
2000-08-07,17.75,18.09,17.69,18.07,8.09,1040600
2000-08-08,18.16,18.19,17.88,18.12,8.12,711400
2000-08-09,18.03,18.12,17.84,17.9,8.01,673400
2000-08-10,17.97,18.06,17.78,17.98,8.05,527800
2000-08-11,18.03,18.28,18.03,18.07,8.09,808400
2000-08-14,18.0,18.22,17.91,17.97,8.05,868400
2000-08-15,17.94,18.31,17.91,18.09,8.1,1361800
2000-08-16,18.09,18.28,17.91,17.95,8.04,400800
2000-08-17,18.0,18.06,17.91,18.0,8.06,356600
2000-08-18,18.0,18.25,17.97,18.12,8.12,1142800
2000-08-21,18.12,18.25,18.06,18.22,8.16,1208200
2000-08-22,18.22,18.28,18.0,18.03,8.07,817200
2000-08-23,17.94,18.12,17.91,18.06,8.09,958400
2000-08-24,18.12,18.12,17.88,17.88,8.0,783400
2000-08-25,17.78,17.78,17.59,17.59,7.88,932200
2000-08-28,17.62,17.91,17.41,17.84,7.99,1424400
2000-08-29,17.88,17.94,17.69,17.75,7.95,1077000
2000-08-30,17.69,18.03,17.66,17.91,8.02,900000
2000-08-31,17.88,18.19,17.88,18.13,8.12,859400
2000-09-01,18.12,18.31,18.09,18.13,8.12,597600
2000-09-05,18.22,18.69,18.22,18.5,8.28,845800
2000-09-06,18.34,18.88,18.34,18.78,8.53,3094400
2000-09-07,18.75,19.06,18.69,19.06,8.66,1167200
2000-09-08,19.06,19.92,19.06,19.92,9.05,1582000
2000-09-11,19.91,20.41,19.91,20.29,9.22,1835400
2000-09-12,20.34,20.69,19.97,20.31,9.23,2336000
2000-09-13,20.34,20.88,20.34,20.56,9.34,2066400
2000-09-14,20.47,20.94,20.16,20.91,9.5,2395800
2000-09-15,20.91,21.84,20.91,21.54,9.79,2780200
2000-09-18,21.5,21.62,21.28,21.49,9.77,2478600
2000-09-19,21.38,21.41,20.28,20.31,9.23,2834000
2000-09-20,20.25,20.25,19.53,19.78,8.99,1900200
2000-09-21,19.84,20.19,19.59,19.72,8.96,843800
2000-09-22,20.0,20.69,20.0,20.62,9.37,4154800
2000-09-25,20.59,20.81,20.31,20.62,9.37,892800
2000-09-26,20.66,21.81,20.66,21.5,9.77,1924400
2000-09-27,21.56,21.97,21.28,21.91,9.96,2495600
2000-09-28,21.88,22.53,21.62,22.06,10.03,1412800
2000-09-29,22.06,22.84,22.03,22.35,10.16,2071400
2000-10-02,22.62,23.0,22.0,22.75,10.34,1698000
2000-10-03,22.62,22.75,21.88,21.88,9.94,1278800
2000-10-04,21.88,22.38,20.94,21.44,9.74,1862000
2000-10-05,21.47,21.91,20.72,20.75,9.43,1226000
2000-10-06,20.88,21.25,20.75,21.0,9.54,1544400
2000-10-09,21.0,21.5,20.84,21.06,9.57,1734600
2000-10-10,21.06,21.81,21.06,21.38,9.71,1338200
2000-10-11,21.5,22.03,21.19,21.5,9.77,1712600
2000-10-12,21.72,21.97,21.16,21.41,9.73,1283400
2000-10-13,21.69,21.97,21.59,21.78,9.9,834200
2000-10-16,21.69,22.31,21.69,22.31,10.14,1059200
2000-10-17,22.28,22.69,22.0,22.03,10.01,2751200
2000-10-18,21.94,22.0,20.81,20.94,9.51,2891600
2000-10-19,21.0,21.0,20.47,20.59,9.36,2037200
2000-10-20,20.59,20.91,20.53,20.59,9.36,901200
2000-10-23,20.56,21.12,20.53,20.91,9.5,1818600
2000-10-24,20.94,21.31,20.69,20.75,9.43,1660600
2000-10-25,20.69,21.09,20.38,20.5,9.32,943400
2000-10-26,20.5,20.59,19.84,19.94,9.06,1034000
2000-10-27,19.97,20.34,19.56,20.25,9.2,1459600
2000-10-30,20.38,20.91,20.38,20.88,9.49,671200
2000-10-31,20.84,20.94,20.38,20.75,9.43,1240000
2000-11-01,20.88,21.34,20.69,20.81,9.46,1359400
2000-11-02,20.75,20.75,20.38,20.41,9.27,794600
2000-11-03,20.41,20.66,19.97,20.0,9.09,1826800
2000-11-06,19.97,20.34,19.84,19.94,9.06,1162800
2000-11-07,20.03,20.16,19.56,19.72,8.96,1116800
2000-11-08,19.72,20.03,19.5,19.81,9.0,1224200
2000-11-09,19.84,19.97,19.44,19.91,9.05,1307400
2000-11-10,19.84,20.19,19.72,19.97,9.07,1006200
2000-11-13,19.75,20.28,19.75,19.97,9.07,986400
2000-11-14,19.84,19.84,19.5,19.56,8.89,902600
2000-11-15,19.47,20.03,19.47,19.75,8.97,900400
2000-11-16,19.88,20.09,19.75,19.88,9.03,757400
2000-11-17,20.0,20.53,19.94,20.47,9.3,1004600
2000-11-20,20.59,20.88,20.44,20.69,9.4,1255600
2000-11-21,20.59,20.62,20.09,20.44,9.29,739400
2000-11-22,20.44,20.72,20.44,20.59,9.36,719000
2000-11-24,20.59,20.59,20.34,20.5,9.32,441600
2000-11-27,20.81,20.84,20.34,20.34,9.24,1125400
2000-11-28,20.38,20.81,20.34,20.81,9.46,1376400
2000-11-29,20.75,21.12,20.75,21.09,9.59,1012600
2000-11-30,21.22,21.72,21.03,21.38,9.71,1436800
2000-12-01,21.38,21.38,20.75,21.12,9.6,827400
2000-12-04,20.97,21.5,20.94,21.28,9.67,1265800
2000-12-05,21.28,21.62,21.19,21.56,9.8,2694600
2000-12-06,21.62,22.44,21.28,22.44,10.33,5675400
2000-12-07,23.0,23.0,22.41,22.5,10.35,2763800
2000-12-08,22.5,22.5,22.28,22.41,10.31,1225400
2000-12-11,22.41,22.44,22.06,22.34,10.28,1146800
2000-12-12,22.34,22.59,22.34,22.59,10.4,1354200
2000-12-13,22.59,23.0,22.41,22.97,10.57,1678800
2000-12-14,22.84,23.06,22.66,22.97,10.57,2294600
2000-12-15,22.97,23.19,22.91,22.94,10.56,2096200
2000-12-18,22.81,23.19,22.72,22.97,10.57,1356800
2000-12-19,23.06,23.12,22.84,23.03,10.6,1967200
2000-12-20,23.0,24.22,22.97,24.16,11.12,2522200
2000-12-21,24.19,24.19,23.81,24.12,11.1,1776200
2000-12-22,24.03,24.62,23.72,24.62,11.33,1083600
2000-12-26,24.62,25.0,24.22,24.94,11.48,1183800
2000-12-27,24.81,24.97,24.62,24.81,11.42,1035200
2000-12-28,24.88,24.91,24.38,24.5,11.27,1340800
2000-12-29,24.41,24.5,24.09,24.31,11.19,1329000
2001-01-02,24.25,24.25,23.31,23.34,10.74,1143600
2001-01-03,23.34,23.75,21.47,21.56,9.92,2640200
2001-01-04,21.56,21.56,19.78,19.84,9.13,2356800
2001-01-05,19.97,20.81,19.94,20.22,9.3,2542800
2001-01-08,20.25,20.88,20.25,20.75,9.55,1508600
2001-01-09,20.69,20.91,20.38,20.91,9.62,1759800
2001-01-10,20.78,21.16,20.47,20.75,9.55,1705600
2001-01-11,20.84,20.84,19.03,19.09,8.79,3523800
2001-01-12,19.16,19.69,18.81,19.56,9.0,2491800
2001-01-16,19.5,19.69,18.44,19.53,8.99,2862200
2001-01-17,19.44,19.69,19.22,19.5,8.97,2489800
2001-01-18,19.47,19.88,19.44,19.81,9.12,1340600
2001-01-19,19.69,20.03,19.31,20.0,9.2,2095600
2001-01-22,20.03,20.44,19.84,20.34,9.36,1408400
2001-01-23,20.38,21.06,20.38,20.5,9.43,1324200
2001-01-24,20.62,21.19,20.62,20.97,9.65,1150600
2001-01-25,21.19,21.47,20.91,21.16,9.74,1090600
2001-01-26,21.28,21.47,20.5,21.16,9.74,1442200
2001-01-29,21.16,21.65,21.15,21.32,9.81,844800
2001-01-30,21.25,21.27,20.91,20.97,9.65,785400
2001-01-31,20.88,20.88,20.1,20.45,9.41,1758000
2001-02-01,20.5,20.6,20.17,20.51,9.44,1283800
2001-02-02,20.5,20.69,20.24,20.4,9.39,1492600
2001-02-05,20.42,20.8,20.42,20.52,9.44,1377400
2001-02-06,20.52,20.9,20.36,20.63,9.49,750200
2001-02-07,20.75,21.19,20.75,20.89,9.61,860400
2001-02-08,20.92,21.58,20.92,21.55,9.92,921800
2001-02-09,21.52,22.14,21.51,22.02,10.14,1225400
2001-02-12,22.0,22.32,21.52,21.89,10.07,1036800
2001-02-13,21.81,22.19,21.5,21.85,10.05,904200
2001-02-14,21.8,22.0,21.58,21.76,10.02,1023600
2001-02-15,21.67,21.73,21.38,21.59,9.94,671400
2001-02-16,21.92,22.2,21.88,22.02,10.14,956400
2001-02-20,22.02,22.5,21.95,22.34,10.28,1183400
2001-02-21,22.34,22.88,22.34,22.36,10.29,1346200
2001-02-22,22.47,22.84,22.0,22.04,10.14,2162400
2001-02-23,22.1,22.41,21.52,21.92,10.09,1550400
2001-02-26,22.02,22.37,21.91,22.0,10.13,957600
2001-02-27,22.0,22.45,22.0,22.42,10.32,1500200
2001-02-28,22.5,22.6,22.11,22.41,10.31,1372800
2001-03-01,22.3,22.58,22.1,22.41,10.31,1610400
2001-03-02,22.62,22.73,22.15,22.48,10.34,1291400
