Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,35.5,35.69,35.25,35.25,21.78,1223500
2000-01-03,35.38,37.38,35.0,36.88,22.78,5298400
2000-01-04,36.56,37.56,35.75,35.94,22.2,4555700
2000-01-05,35.81,36.31,34.88,35.06,21.66,5701900
2000-01-06,34.75,36.88,34.5,36.62,22.63,6863100
2000-01-07,36.88,38.62,36.69,37.62,23.25,10527800
2000-01-10,38.12,38.19,36.62,36.88,22.78,6402500
2000-01-11,37.25,37.62,36.62,36.75,22.71,5607800
2000-01-12,36.75,37.25,36.31,36.31,22.44,4267300
2000-01-13,36.31,36.62,35.94,35.94,22.2,3144200
2000-01-14,36.06,36.81,35.94,36.19,22.36,5413700
2000-01-18,35.94,37.0,35.56,36.25,22.4,4821600
2000-01-19,36.88,36.88,35.94,36.44,22.51,3999700
2000-01-20,36.44,36.44,36.0,36.12,22.32,3106100
2000-01-21,36.19,36.44,35.75,36.12,22.32,4454400
2000-01-24,36.19,36.38,34.81,35.31,21.82,3785000
2000-01-25,35.31,35.38,33.88,34.31,21.2,4356500
2000-01-26,34.31,34.94,33.75,33.94,20.97,3174100
2000-01-27,34.0,34.31,33.25,33.81,20.89,2610100
2000-01-28,33.56,34.0,33.19,33.25,20.54,4090800
2000-01-31,33.5,34.38,33.25,34.12,21.09,2989600
2000-02-01,34.0,34.31,33.69,34.0,21.01,3602600
2000-02-02,33.75,33.94,32.94,33.0,20.39,3289100
2000-02-03,33.0,33.38,32.62,33.06,20.43,3662900
2000-02-04,33.62,34.12,32.62,32.75,20.24,3885600
2000-02-07,32.88,33.19,32.25,32.38,20.0,3999700
2000-02-08,33.31,33.75,33.0,33.31,20.58,5010500
2000-02-09,35.0,35.12,33.75,34.0,21.01,8432500
2000-02-10,34.88,34.88,34.06,34.62,21.39,5909500
2000-02-11,35.0,35.12,34.0,34.38,21.24,5530400
2000-02-14,34.19,34.5,33.94,34.06,21.05,3493300
2000-02-15,34.0,34.88,34.0,34.19,21.12,3909600
2000-02-16,34.12,34.81,33.94,34.0,21.01,4606800
2000-02-17,34.56,34.81,34.25,34.31,21.2,2847700
2000-02-18,34.38,34.75,33.94,34.25,21.16,3664500
2000-02-22,34.31,34.88,34.12,34.69,21.43,2929400
2000-02-23,34.31,34.75,34.0,34.19,21.12,3249300
2000-02-24,34.06,34.38,33.19,34.0,21.01,3612800
2000-02-25,34.0,34.38,32.69,32.75,20.24,4205500
2000-02-28,33.19,33.88,32.75,33.25,20.54,3654700
2000-02-29,32.88,33.06,32.12,32.12,19.85,4635500
2000-03-01,32.0,32.94,31.88,32.56,20.12,5496400
2000-03-02,32.69,32.88,31.56,31.56,19.5,5170400
2000-03-03,32.5,32.5,31.31,31.62,19.54,4626600
2000-03-06,31.06,31.44,30.69,31.0,19.15,4457900
2000-03-07,31.0,31.5,29.69,30.62,18.92,7053200
2000-03-08,31.0,31.5,30.06,30.5,18.93,5159800
2000-03-09,30.75,31.75,30.62,31.38,19.47,3913200
2000-03-10,31.06,31.38,30.5,30.75,19.08,3649100
2000-03-13,30.12,31.19,30.12,31.12,19.32,4308000
2000-03-14,30.62,30.75,30.12,30.69,19.05,4602900
2000-03-15,30.44,33.19,30.31,33.19,20.6,5463800
2000-03-16,33.0,34.19,32.25,34.06,21.14,5410300
2000-03-17,33.0,33.94,32.81,33.0,20.48,4464500
2000-03-20,32.5,33.62,32.25,33.25,20.64,2643800
2000-03-21,33.38,34.31,32.62,34.31,21.29,5479700
2000-03-22,34.31,34.38,32.75,33.5,20.79,3431700
2000-03-23,32.88,34.0,32.75,33.5,20.79,3792400
2000-03-24,33.0,33.5,32.56,32.94,20.44,3345700
2000-03-27,32.75,32.94,31.56,32.36,20.08,3397100
2000-03-28,31.69,33.12,31.56,32.5,20.17,4814300
2000-03-29,32.38,33.69,32.38,33.25,20.64,4254400
2000-03-30,33.94,35.94,33.81,35.94,22.3,6850900
2000-03-31,36.0,36.06,34.56,34.88,21.64,4957600
2000-04-03,34.62,36.38,34.62,36.12,22.42,4337100
2000-04-04,36.12,37.25,35.44,36.44,22.61,5803400
2000-04-05,37.0,37.38,36.5,36.75,22.81,4780500
2000-04-06,36.69,37.31,36.12,36.81,22.85,4050000
2000-04-07,36.44,36.56,35.31,36.0,22.34,3829600
2000-04-10,36.0,36.94,35.88,36.25,22.5,2549500
2000-04-11,36.06,37.19,36.06,37.06,23.0,2408600
2000-04-12,36.25,37.88,36.25,37.25,23.12,4071700
2000-04-13,36.56,36.94,36.25,36.44,22.61,2835500
2000-04-14,36.69,36.69,35.5,36.44,22.61,3407300
2000-04-17,35.81,36.62,34.62,36.62,22.73,3648700
2000-04-18,36.12,36.25,35.0,35.94,22.3,2980300
