Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,33.42,34.29,33.04,34.21,24.45,192900
2000-01-03,34.21,34.21,32.33,32.54,23.26,593400
2000-01-04,32.54,32.83,31.25,31.25,22.34,217600
2000-01-05,31.42,31.83,31.08,31.25,22.34,420900
2000-01-06,31.33,31.83,30.75,31.83,22.75,1203400
2000-01-07,34.67,36.0,34.5,34.75,24.84,2630100
2000-01-10,34.75,35.62,33.83,34.33,24.54,774900
2000-01-11,34.17,34.54,33.33,33.46,23.91,523500
2000-01-12,33.62,34.12,33.58,33.92,24.24,1078900
2000-01-13,33.96,33.96,33.21,33.5,23.94,551500
2000-01-14,33.58,33.58,32.42,33.08,23.65,741100
2000-01-18,32.67,32.79,30.38,31.12,22.25,1312800
2000-01-19,30.67,31.92,30.5,31.92,22.81,899200
2000-01-20,32.67,32.67,31.54,31.71,22.66,862800
2000-01-21,31.71,32.0,30.67,31.17,22.28,755200
2000-01-24,31.21,31.21,29.42,29.54,21.12,783900
2000-01-25,29.58,29.67,28.5,28.75,20.55,556000
2000-01-26,28.88,29.75,27.88,29.38,21.0,1097700
2000-01-27,29.33,30.0,29.0,29.25,20.91,442500
2000-01-28,29.08,29.08,28.0,28.12,20.1,567100
2000-01-31,28.08,29.08,27.79,28.83,20.61,387900
2000-02-01,28.75,29.62,28.75,29.42,21.03,705400
2000-02-02,29.42,29.83,28.5,28.71,20.52,306100
2000-02-03,28.79,29.04,27.92,28.38,20.28,320400
2000-02-04,28.54,28.67,27.62,27.96,19.98,404400
2000-02-07,28.0,28.29,26.83,27.29,19.51,653200
2000-02-08,27.29,28.17,27.29,27.29,19.51,587700
2000-02-09,27.42,27.46,25.46,25.79,18.43,1052100
2000-02-10,26.12,26.17,25.08,25.21,18.02,828600
2000-02-11,25.21,25.21,23.58,23.67,16.92,843300
2000-02-14,23.83,25.88,23.75,25.46,18.2,763600
2000-02-15,25.62,27.96,25.62,27.79,19.86,1480000
2000-02-16,27.67,28.92,27.67,27.96,19.98,1201000
2000-02-17,28.12,28.12,26.67,27.0,19.3,483900
2000-02-18,27.5,28.29,27.38,27.46,19.63,796900
2000-02-22,27.0,27.75,27.0,27.54,19.77,776500
2000-02-23,27.54,27.58,27.08,27.5,19.74,603900
2000-02-24,26.83,26.83,24.67,24.96,17.91,771900
2000-02-25,25.12,25.5,22.75,22.88,16.42,1359900
2000-02-28,23.17,23.67,22.75,23.29,16.72,2224000
2000-02-29,23.29,24.5,23.0,24.17,17.34,1242700
2000-03-01,23.92,24.88,23.88,24.71,17.73,785700
2000-03-02,24.79,24.79,23.0,23.79,17.08,760000
2000-03-03,23.79,25.17,23.58,23.96,17.2,803700
2000-03-06,24.58,24.58,23.31,23.62,16.96,533100
2000-03-07,23.5,23.5,22.71,22.71,16.3,629800
2000-03-08,22.88,23.5,22.75,23.5,16.87,493800
2000-03-09,23.67,24.17,23.62,24.0,17.23,708600
2000-03-10,23.92,24.12,23.58,23.67,16.99,440700
2000-03-13,23.08,23.54,23.04,23.33,16.75,484800
2000-03-14,23.5,23.5,22.62,22.62,16.24,292500
2000-03-15,22.67,24.92,22.62,24.33,17.46,1545300
2000-03-16,24.38,27.08,24.38,26.83,19.26,803500
2000-03-17,25.67,26.33,24.71,25.33,18.18,1132800
2000-03-20,25.33,26.33,25.33,26.17,18.78,479800
2000-03-21,26.08,26.25,25.33,25.71,18.45,417400
2000-03-22,25.71,25.71,24.71,24.92,17.88,560100
2000-03-23,24.83,25.75,24.58,25.71,18.45,553800
2000-03-24,25.83,26.25,25.67,26.08,18.72,497500
2000-03-27,26.08,26.29,25.08,25.33,18.18,218800
