Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,44.56,45.0,44.44,44.5,25.05,280900
2000-01-03,44.0,44.0,41.69,42.19,23.75,703500
2000-01-04,42.12,42.12,40.0,40.88,23.01,1318500
2000-01-05,40.81,41.56,40.81,41.06,23.12,1078900
2000-01-06,40.88,43.5,40.88,43.0,24.21,1490700
2000-01-07,43.0,43.5,42.56,43.06,24.24,1128000
2000-01-10,44.0,44.0,41.5,41.56,23.4,945800
2000-01-11,41.5,41.62,40.88,41.12,23.15,548000
2000-01-12,41.25,42.25,41.12,42.0,23.91,831400
2000-01-13,43.5,46.0,42.94,45.81,26.08,1703500
2000-01-14,47.25,47.38,45.75,46.75,26.61,1377200
2000-01-18,46.75,46.75,45.81,45.94,26.15,1056000
2000-01-19,45.94,46.56,45.31,45.31,25.79,845200
2000-01-20,45.5,45.5,43.62,44.0,25.04,998900
2000-01-21,44.06,44.12,42.94,43.88,24.97,1203300
2000-01-24,44.0,44.12,43.25,43.44,24.72,1352700
2000-01-25,43.69,44.25,43.62,44.06,25.08,1014300
2000-01-26,43.88,45.19,43.75,45.19,25.72,989300
2000-01-27,45.5,46.94,45.06,46.69,26.57,1424300
2000-01-28,46.25,46.5,45.56,45.88,26.11,1545700
2000-01-31,45.88,48.0,45.75,48.0,27.32,1292500
2000-02-01,48.0,48.5,47.5,48.25,27.46,802400
2000-02-02,48.0,48.19,46.5,46.69,26.57,1043000
2000-02-03,46.5,46.81,45.25,45.5,25.9,1148700
2000-02-04,45.62,45.94,44.44,44.56,25.36,757400
2000-02-07,44.56,44.56,43.06,44.12,25.12,611800
2000-02-08,44.38,45.94,44.38,45.06,25.65,786200
2000-02-09,44.88,45.19,44.06,44.06,25.08,682700
2000-02-10,44.25,44.5,42.25,42.69,24.3,733400
2000-02-11,42.69,43.5,41.81,42.12,23.98,554600
2000-02-14,42.12,42.31,41.38,41.62,23.69,464800
2000-02-15,41.56,43.25,41.5,43.12,24.55,570800
2000-02-16,43.06,43.12,41.94,42.0,23.91,559400
2000-02-17,43.12,43.12,41.38,41.75,23.76,635000
2000-02-18,41.0,41.19,39.0,40.0,22.77,1069600
2000-02-22,39.62,40.0,38.81,39.5,22.48,854600
2000-02-23,39.56,39.62,38.38,39.12,22.27,671000
2000-02-24,39.06,39.12,38.0,38.0,21.63,755000
2000-02-25,38.25,39.25,37.62,37.62,21.42,847900
2000-02-28,38.12,39.69,38.06,39.06,22.23,922400
2000-02-29,39.25,39.25,38.62,38.69,22.02,955200
2000-03-01,38.62,39.0,37.88,38.75,22.06,755900
2000-03-02,38.69,39.0,38.0,38.88,22.13,703100
2000-03-03,39.5,39.5,38.38,38.94,22.16,565800
2000-03-06,39.0,39.25,38.12,38.12,21.7,442600
2000-03-07,38.12,38.12,36.5,36.69,20.88,698800
