Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.75,30.75,30.5,30.56,12.77,84800
2000-01-03,30.31,30.31,29.38,29.75,12.43,246300
2000-01-04,29.56,30.12,29.56,30.12,12.59,347800
2000-01-05,29.88,31.25,29.88,30.94,12.93,453000
2000-01-06,30.81,31.19,30.81,31.12,13.0,139300
2000-01-07,31.12,32.06,30.88,32.0,13.37,303300
2000-01-10,31.75,31.88,31.38,31.56,13.19,178800
2000-01-11,31.56,31.69,30.88,31.25,13.06,150800
2000-01-12,31.12,32.0,31.06,31.75,13.27,143500
2000-01-13,31.75,31.75,30.81,31.06,12.98,1107400
2000-01-14,31.0,31.0,30.62,30.88,12.9,204300
2000-01-18,30.88,31.0,30.0,30.12,12.59,348600
2000-01-19,29.69,31.06,29.69,31.06,12.98,208500
2000-01-20,31.19,31.5,30.31,30.38,12.69,326300
2000-01-21,30.94,31.12,30.5,30.88,12.9,233400
2000-01-24,30.88,32.06,30.69,31.69,13.24,520000
2000-01-25,31.94,32.31,30.06,30.31,12.67,519900
2000-01-26,30.5,31.25,30.25,30.88,12.9,308700
2000-01-27,31.12,31.88,31.0,31.62,13.21,841900
2000-01-28,30.88,30.94,29.81,29.94,12.65,1628400
2000-01-31,30.31,30.88,29.75,30.88,13.04,585300
2000-02-01,30.75,31.0,30.56,31.0,13.1,170600
2000-02-02,30.94,31.31,30.88,31.0,13.1,169100
2000-02-03,31.12,31.94,31.12,31.69,13.39,460800
2000-02-04,31.69,31.69,30.62,30.81,13.02,202500
2000-02-07,30.81,30.88,30.56,30.62,12.94,94800
2000-02-08,30.62,31.0,30.62,30.94,13.07,228700
2000-02-09,30.81,31.62,30.12,30.81,13.02,382300
2000-02-10,30.94,31.19,30.0,30.44,12.86,802100
2000-02-11,30.44,30.56,30.06,30.44,12.86,160800
2000-02-14,30.5,30.5,30.31,30.38,12.83,342600
2000-02-15,30.38,30.5,30.0,30.31,12.81,104900
2000-02-16,30.19,30.25,29.44,30.0,12.67,251100
2000-02-17,30.0,30.06,29.38,29.62,12.52,236700
2000-02-18,29.5,29.56,28.25,28.88,12.2,284400
2000-02-22,29.12,29.38,28.81,28.94,12.23,262700
2000-02-23,28.81,28.81,27.88,28.25,11.94,185800
2000-02-24,28.25,28.25,26.81,27.38,11.57,135700
2000-02-25,27.0,27.06,26.25,26.25,11.09,252100
2000-02-28,26.5,27.88,26.38,27.69,11.7,243900
2000-02-29,27.5,27.88,27.31,27.5,11.62,224500
2000-03-01,27.62,27.94,27.25,27.38,11.57,679300
