Date,Open,High,Low,Close,Adj Close,Volume
2001-12-13,29.1,30.0,29.0,29.3,19.28,49466000
2001-12-14,29.9,30.1,29.52,29.68,19.53,9676300
2001-12-17,29.95,29.95,29.4,29.45,19.37,5110900
2001-12-18,29.5,29.95,29.39,29.95,19.7,5167700
2001-12-19,29.85,30.19,29.62,30.15,19.84,3693200
2001-12-20,30.25,30.98,30.12,30.17,19.85,3914200
2001-12-21,30.4,30.99,30.25,30.99,20.39,3429100
2001-12-24,30.75,31.49,30.75,31.45,20.69,976900
2001-12-26,31.5,32.74,31.5,32.2,21.18,2456300
2001-12-27,32.2,32.97,31.52,32.85,21.61,4447500
2001-12-28,32.86,33.1,32.58,32.94,21.67,4174800
2001-12-31,33.11,33.74,32.72,33.19,21.84,5532800
2002-01-02,32.61,32.8,31.12,31.3,20.59,5168900
2002-01-03,31.3,32.75,30.82,31.25,20.56,2906500
2002-01-04,31.2,32.0,31.1,31.95,21.02,3086000
2002-01-07,31.75,32.05,31.37,31.95,21.02,2449300
2002-01-08,31.25,31.85,31.25,31.78,20.91,1766500
2002-01-09,31.95,31.95,31.25,31.3,20.59,1639100
2002-01-10,31.12,31.68,31.01,31.01,20.4,1689400
2002-01-11,31.01,31.15,30.75,30.9,20.33,1966200
2002-01-14,30.75,30.75,29.53,30.05,19.77,3160000
2002-01-15,30.4,31.12,29.92,30.78,20.25,1962400
2002-01-16,30.58,31.15,30.45,30.68,20.18,1881100
2002-01-17,30.88,31.0,30.3,30.52,20.08,1739800
2002-01-18,30.4,30.45,29.75,30.25,19.9,1531400
2002-01-22,30.49,31.25,30.4,31.25,20.56,2322700
2002-01-23,31.65,31.7,30.52,30.52,20.08,2460800
2002-01-24,30.6,30.67,30.0,30.25,19.9,3064100
2002-01-25,30.0,30.5,29.9,30.43,20.02,2373600
2002-01-28,30.65,31.04,30.55,30.93,20.35,2450800
2002-01-29,30.0,30.89,30.0,30.39,19.99,2512800
2002-01-30,30.5,30.57,29.8,30.15,19.84,3533700
