Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.5,18.83,18.33,18.83,18.75,79600
2000-01-03,18.83,18.83,18.17,18.79,18.71,96000
2000-01-04,18.62,18.75,18.33,18.75,18.67,246400
2000-01-05,18.58,19.25,18.5,19.04,18.96,219900
2000-01-06,18.96,19.17,18.67,18.67,18.58,159900
2000-01-07,19.08,19.08,18.25,18.58,18.5,98200
2000-01-10,18.5,18.71,17.92,18.71,18.62,92200
2000-01-11,18.88,20.25,18.88,19.54,19.45,268900
2000-01-12,19.62,20.08,19.46,19.83,19.74,130600
2000-01-13,19.92,19.96,19.62,19.92,19.83,254100
2000-01-14,20.0,20.33,19.96,20.25,20.16,233700
2000-01-18,20.21,20.21,19.5,19.54,19.45,114000
2000-01-19,19.5,19.92,18.71,19.88,19.79,124000
2000-01-20,23.25,25.33,22.71,24.04,23.93,1948000
2000-01-21,24.21,24.92,23.0,23.5,23.39,477000
2000-01-24,23.67,24.08,23.08,23.5,23.39,245100
2000-01-25,23.58,24.5,23.38,23.79,23.69,202000
2000-01-26,23.75,23.79,23.46,23.79,23.69,136000
2000-01-27,23.83,23.83,22.67,22.75,22.65,77500
2000-01-28,22.75,22.75,22.25,22.42,22.32,71400
2000-01-31,22.25,22.25,21.62,21.83,21.74,61200
2000-02-01,21.75,22.75,21.67,22.38,22.28,205300
2000-02-02,22.42,23.25,22.25,23.25,23.15,413500
2000-02-03,23.21,23.83,23.0,23.38,23.27,336000
2000-02-04,23.46,23.46,22.67,22.75,22.65,178300
2000-02-07,22.83,23.17,22.83,23.0,22.9,98400
2000-02-08,23.04,23.96,23.04,23.92,23.81,204100
2000-02-09,24.0,25.25,23.96,24.42,24.31,326800
2000-02-10,24.42,24.83,23.92,24.0,23.89,94500
2000-02-11,24.04,24.17,23.67,23.79,23.69,42100
2000-02-14,23.62,23.62,23.33,23.42,23.31,143400
2000-02-15,23.25,23.42,23.12,23.25,23.15,129400
2000-02-16,23.33,23.33,23.0,23.0,22.9,138300
2000-02-17,23.08,23.17,22.79,22.96,22.86,123600
