Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.56,9.0,8.56,8.94,8.54,201200
2000-01-03,8.56,8.62,8.25,8.44,8.06,149600
2000-01-04,8.38,8.56,8.12,8.56,8.18,140100
2000-01-05,8.62,8.75,8.12,8.31,7.94,199900
2000-01-06,8.31,8.75,8.31,8.5,8.12,216200
2000-01-07,8.56,8.81,8.5,8.75,8.36,164900
2000-01-10,8.62,8.62,8.38,8.5,8.12,107300
2000-01-11,8.38,8.69,8.31,8.62,8.24,80900
2000-01-12,8.62,8.69,8.19,8.19,7.82,186600
2000-01-13,8.44,8.44,8.31,8.44,8.06,153100
2000-01-14,8.38,8.81,8.31,8.69,8.3,391900
2000-01-18,8.94,9.31,8.69,9.31,8.9,449100
2000-01-19,9.38,9.62,8.75,9.12,8.72,490600
2000-01-20,9.0,9.0,8.69,9.0,8.6,279300
2000-01-21,9.0,9.44,9.0,9.44,9.02,449000
2000-01-24,9.44,10.19,9.44,9.5,9.08,390900
2000-01-25,9.62,9.88,9.38,9.75,9.32,208800
2000-01-26,10.12,10.19,9.81,9.81,9.38,331700
2000-01-27,9.81,9.88,8.81,8.81,8.42,215000
2000-01-28,8.88,9.12,8.62,8.62,8.24,190000
2000-01-31,8.62,8.81,8.56,8.56,8.18,164200
2000-02-01,8.62,8.94,8.44,8.94,8.54,134100
2000-02-02,9.0,9.5,9.0,9.31,8.9,232100
2000-02-03,9.44,9.44,8.75,9.0,8.6,137100
2000-02-04,9.12,9.25,8.56,8.88,8.48,99400
2000-02-07,8.94,8.94,8.31,8.69,8.3,133900
2000-02-08,8.69,8.69,8.31,8.38,8.0,189200
2000-02-09,8.38,8.38,8.12,8.12,7.76,108500
2000-02-10,8.06,8.38,7.94,8.31,7.94,155800
2000-02-11,8.31,8.31,8.0,8.12,7.76,154300
2000-02-14,8.0,8.06,7.75,7.88,7.53,206900
2000-02-15,8.0,8.12,7.75,8.06,7.7,665400
2000-02-16,8.0,8.0,7.69,7.75,7.41,617200
2000-02-17,7.81,7.94,7.5,7.69,7.35,211200
2000-02-18,7.75,7.81,6.75,6.88,6.57,630400
2000-02-22,7.12,7.69,7.06,7.44,7.11,411400
2000-02-23,7.62,7.88,7.25,7.69,7.35,468400
2000-02-24,7.56,7.75,7.44,7.75,7.41,273800
2000-02-25,7.69,7.94,7.38,7.44,7.11,210700
2000-02-28,7.25,7.75,7.19,7.69,7.35,146600
2000-02-29,7.62,8.38,7.5,8.31,7.94,363300
2000-03-01,8.19,9.0,7.88,8.44,8.06,387800
2000-03-02,8.31,8.81,8.25,8.75,8.36,385300
2000-03-03,8.69,8.75,8.19,8.19,7.82,217400
2000-03-06,8.31,8.5,8.19,8.38,8.0,200300
2000-03-07,8.31,9.56,8.31,9.06,8.66,551500
2000-03-08,9.0,9.12,8.69,9.12,8.72,383800
2000-03-09,9.12,9.5,8.88,9.44,9.02,337800
2000-03-10,9.44,9.69,8.94,8.94,8.54,184000
2000-03-13,9.19,9.19,8.44,8.44,8.06,111500
2000-03-14,8.56,9.12,8.56,8.75,8.36,205100
2000-03-15,8.75,8.94,8.31,8.56,8.18,296100
2000-03-16,8.75,9.25,8.56,9.25,8.84,218400
2000-03-17,8.62,9.25,8.62,9.0,8.6,384900
2000-03-20,9.12,9.12,8.56,8.81,8.42,190400
2000-03-21,8.81,9.12,8.69,9.0,8.6,232400
2000-03-22,9.0,9.25,9.0,9.25,8.84,230500
2000-03-23,9.25,9.44,9.0,9.12,8.72,124100
2000-03-24,9.06,9.69,9.06,9.38,8.96,174500
2000-03-27,9.25,9.38,9.06,9.25,8.84,80900
2000-03-28,9.25,9.38,8.88,9.0,8.6,196300
