Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,85.5,90.56,83.62,88.06,62.79,72674200
2000-01-03,99.62,100.0,87.0,89.66,63.93,91334000
2000-01-04,86.28,87.66,80.0,81.03,57.78,63567400
2000-01-05,79.94,81.62,69.5,78.22,55.77,93778400
2000-01-06,74.25,78.0,69.88,70.03,49.94,58782600
2000-01-07,67.0,75.25,66.46,75.0,53.48,68198600
2000-01-10,81.0,81.5,76.25,79.69,56.82,35360800
2000-01-11,78.0,78.94,70.75,72.22,51.5,30575800
2000-01-12,72.5,73.75,68.03,69.12,49.29,34455600
2000-01-13,72.19,72.81,68.81,71.56,51.03,25146800
2000-01-14,73.81,74.47,69.75,70.22,50.07,26209200
2000-01-18,68.72,70.62,67.5,69.53,49.58,28503000
2000-01-19,68.56,73.5,68.5,73.31,52.28,30728400
2000-01-20,74.62,78.0,73.56,77.81,55.48,39224000
2000-01-21,79.12,80.22,75.5,77.47,55.24,34955000
2000-01-24,77.88,78.5,69.81,70.03,49.94,32170600
2000-01-25,71.81,74.97,70.0,74.5,53.12,39671400
2000-01-26,64.5,65.44,60.0,62.31,44.43,136953200
2000-01-27,63.34,64.0,58.69,60.0,42.78,62571000
2000-01-28,60.53,60.69,52.81,55.28,39.42,85675000
2000-01-31,56.31,63.75,56.09,63.5,45.28,80518000
2000-02-01,65.75,70.0,65.46,68.03,48.51,69648400
2000-02-02,68.44,72.75,68.0,71.03,50.65,57368200
2000-02-03,72.56,74.0,66.0,69.59,49.62,52571000
2000-02-04,70.94,70.94,67.5,68.72,49.0,30028800
2000-02-07,67.22,67.62,65.12,66.72,47.57,20868400
2000-02-08,66.75,69.81,66.72,69.53,49.58,21450800
2000-02-09,69.75,70.0,66.5,66.66,47.53,20141200
2000-02-10,67.28,68.56,66.5,68.47,48.82,15072200
2000-02-11,67.54,68.25,65.75,66.0,47.06,12419400
2000-02-14,64.69,65.0,62.5,63.56,45.32,23353600
2000-02-15,62.18,63.84,60.03,63.31,45.14,30036000
2000-02-16,62.69,65.75,60.5,60.94,43.45,30052000
2000-02-17,62.56,65.5,61.0,65.0,46.35,34971600
2000-02-18,66.01,69.38,65.88,67.25,47.95,42991600
2000-02-22,66.25,67.88,63.12,65.28,46.55,24472000
2000-02-23,66.69,73.75,65.38,73.44,52.36,52349200
2000-02-24,68.44,71.12,67.5,69.84,49.8,51715400
2000-02-25,68.12,71.0,66.69,66.78,47.62,23405600
2000-02-28,68.75,73.75,68.75,71.62,51.07,36400800
2000-02-29,73.0,74.0,69.12,71.22,50.78,31323400
2000-03-01,70.25,70.66,68.27,69.5,49.56,20865400
2000-03-02,69.44,69.56,66.0,66.09,47.13,20560800
2000-03-03,65.5,67.5,63.0,65.94,47.02,33932600
2000-03-06,64.75,69.0,64.0,66.62,47.51,23576200
2000-03-07,67.25,67.38,63.75,64.0,45.63,21447000
2000-03-08,65.31,65.81,62.49,64.56,46.04,22876000
2000-03-09,63.59,64.62,62.38,63.5,45.28,17427800
2000-03-10,62.59,72.75,61.0,68.06,48.53,83012800
2000-03-13,64.19,68.0,63.56,65.09,46.41,35140400
2000-03-14,66.06,67.0,62.5,62.56,44.61,24239800
2000-03-15,63.0,66.5,62.75,64.0,45.63,31392000
2000-03-16,65.22,67.0,63.25,66.44,47.37,23705600
2000-03-17,66.38,68.75,66.31,68.12,48.58,31121600
2000-03-20,67.16,67.97,64.0,64.81,46.21,18187800
2000-03-21,63.88,67.5,62.88,67.31,48.0,18525200
2000-03-22,66.84,67.88,65.25,67.44,48.09,19331800
2000-03-23,66.28,72.31,66.12,72.06,51.38,42424400
2000-03-24,71.75,76.21,71.19,73.0,52.05,50165800
2000-03-27,73.84,78.0,73.25,74.47,53.1,37870000
2000-03-28,74.88,78.5,73.5,77.41,55.19,41268000
2000-03-29,79.12,81.28,76.09,78.75,56.15,50245600
2000-03-30,75.94,78.62,69.62,72.62,51.78,41385600
2000-03-31,74.91,76.75,72.5,74.66,53.23,34407000
2000-04-03,74.34,76.0,69.03,70.38,50.18,26965400
2000-04-04,70.94,73.75,62.0,73.31,52.28,42759000
2000-04-05,70.38,72.5,68.56,70.62,50.36,23548800
2000-04-06,70.69,71.5,68.5,69.56,49.6,16193600
2000-04-07,70.94,76.38,70.0,76.12,54.28,31462600
2000-04-10,75.69,75.91,70.12,70.59,50.34,20188800
2000-04-11,67.75,73.75,66.97,68.72,49.0,22864800
2000-04-12,68.97,70.5,62.5,62.56,44.61,31838800
2000-04-13,64.0,67.81,61.5,63.25,45.1,30230600
2000-04-14,61.5,65.38,51.5,52.59,37.5,66002600
2000-04-17,49.22,58.72,49.06,58.44,41.67,64758800
2000-04-18,57.76,60.62,53.5,56.09,40.0,44492400
2000-04-19,59.62,62.94,56.5,57.38,40.91,59833800
2000-04-20,57.97,59.25,53.25,54.75,39.04,38979800
2000-04-24,51.5,52.0,46.12,49.81,35.52,64246400
