Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.2,20.5,19.79,20.35,11.07,400000
2000-01-03,20.45,20.45,19.03,19.03,10.36,1288100
2000-01-04,19.09,19.09,18.17,18.48,10.05,1564200
2000-01-05,18.43,19.29,18.17,18.38,10.0,634500
2000-01-06,18.12,18.68,17.97,18.43,10.03,957000
2000-01-07,18.48,18.78,18.22,18.63,10.14,733700
2000-01-10,18.93,19.03,17.72,17.82,9.7,1070100
2000-01-11,18.02,18.22,18.02,18.12,9.86,862600
2000-01-12,18.28,18.53,18.12,18.43,10.03,493900
2000-01-13,18.48,19.34,18.43,19.14,10.41,757600
2000-01-14,19.19,19.69,19.14,19.54,10.63,871200
2000-01-18,19.49,19.59,19.49,19.49,10.6,878000
2000-01-19,19.54,19.84,19.54,19.69,10.71,711300
2000-01-20,19.34,19.59,18.33,18.68,10.16,627500
2000-01-21,19.03,19.29,18.58,18.68,10.16,965400
2000-01-24,18.58,18.78,18.12,18.4,10.01,692200
2000-01-25,18.48,18.83,18.07,18.53,10.08,596900
2000-01-26,18.63,19.14,18.43,19.14,10.41,597900
2000-01-27,19.09,19.29,18.93,19.19,10.44,751200
2000-01-28,19.19,19.19,18.22,18.43,10.03,905300
2000-01-31,18.73,19.69,18.53,19.64,10.69,832600
2000-02-01,19.44,19.74,19.34,19.64,10.69,569500
2000-02-02,19.39,19.54,19.24,19.34,10.52,711700
2000-02-03,19.29,19.64,19.19,19.39,10.55,561800
2000-02-04,19.36,19.49,19.03,19.03,10.36,560600
2000-02-07,19.03,19.09,18.83,18.88,10.27,422200
2000-02-08,19.03,19.29,18.93,19.11,10.4,458500
2000-02-09,19.14,19.49,19.03,19.39,10.55,1194900
2000-02-10,19.24,19.49,18.98,19.29,10.49,1329000
2000-02-11,19.19,19.49,19.03,19.14,10.41,656500
2000-02-14,19.14,19.24,18.73,18.83,10.25,854500
2000-02-15,18.83,19.09,18.58,18.98,10.33,645400
2000-02-16,18.93,19.14,18.83,18.98,10.33,539800
2000-02-17,19.03,19.09,18.22,18.53,10.08,557600
2000-02-18,18.28,18.33,17.57,17.62,9.59,985700
2000-02-22,17.72,17.82,17.57,17.67,9.61,654700
2000-02-23,17.72,17.72,17.21,17.21,9.36,829800
2000-02-24,17.21,17.31,16.5,16.86,9.17,1043200
2000-02-25,16.86,17.11,16.4,16.45,8.95,1078400
2000-02-28,16.45,17.21,16.4,17.21,9.36,988100
2000-02-29,17.21,17.21,16.2,16.4,8.92,1066200
2000-03-01,16.5,16.5,15.9,16.1,8.76,621900
2000-03-02,16.2,16.2,15.54,15.59,8.48,989400
2000-03-03,15.85,15.9,15.49,15.64,8.51,1517100
2000-03-06,15.59,15.79,15.39,15.69,8.54,1669400
2000-03-07,15.85,15.85,15.39,15.49,8.43,836000
2000-03-08,15.49,15.54,14.83,14.93,8.13,1262500
2000-03-09,14.93,15.69,14.83,15.59,8.48,932400
2000-03-10,15.59,15.79,15.34,15.44,8.4,502900
2000-03-13,15.59,15.9,15.29,15.69,8.54,896100
2000-03-14,15.64,15.85,15.59,15.69,8.54,508200
2000-03-15,15.69,17.01,15.54,16.66,9.19,1197800
2000-03-16,16.81,19.19,16.81,18.98,10.47,1364100
2000-03-17,18.68,19.44,18.22,18.33,10.11,1459100
2000-03-20,18.22,18.33,17.21,17.67,9.75,556100
2000-03-21,17.62,18.43,17.57,18.4,10.15,705200
2000-03-22,18.38,18.63,17.82,18.43,10.17,575400
2000-03-23,18.58,18.73,17.41,18.68,10.31,451800
2000-03-24,18.53,18.68,18.43,18.43,10.17,403300
2000-03-27,18.58,18.72,17.72,17.82,9.83,503700
2000-03-28,17.77,18.38,17.36,17.97,9.92,536100
2000-03-29,18.07,18.38,17.82,18.12,10.0,434900
2000-03-30,18.12,18.22,17.57,17.77,9.8,359300
2000-03-31,17.82,18.83,17.43,18.48,10.2,590700
2000-04-03,18.53,20.65,18.48,19.84,10.95,1347800
2000-04-04,19.64,19.95,18.88,19.44,10.73,747500
2000-04-05,19.34,19.54,18.73,18.9,10.43,742400
2000-04-06,18.98,19.24,18.28,18.58,10.25,591200
2000-04-07,18.68,18.68,17.67,17.77,9.8,616800
2000-04-10,18.17,18.22,17.72,17.87,9.86,403000
2000-04-11,17.82,18.17,17.67,17.77,9.8,430600
2000-04-12,17.92,18.58,17.67,17.91,9.88,826900
2000-04-13,17.77,17.92,17.47,17.69,9.76,421700
2000-04-14,17.43,17.52,16.4,16.72,9.22,564900
2000-04-17,16.71,16.96,16.15,16.67,9.2,945200
2000-04-18,16.71,17.26,16.3,17.21,9.5,710800
2000-04-19,17.31,17.36,16.81,16.96,9.36,454000
2000-04-20,17.01,17.31,16.76,17.11,9.44,465000
2000-04-24,16.96,17.92,16.86,17.57,9.69,908400
2000-04-25,17.57,17.97,17.57,17.82,9.83,1479900
2000-04-26,17.82,17.82,17.52,17.57,9.69,535400
2000-04-27,17.52,17.52,16.5,16.91,9.33,518400
2000-04-28,17.03,17.06,16.3,16.55,9.13,602100
2000-05-01,16.5,17.01,16.4,16.71,9.22,636300
2000-05-02,16.81,16.81,16.35,16.5,9.11,278200
2000-05-03,16.25,16.71,16.2,16.5,9.11,641000
2000-05-04,16.55,16.55,16.05,16.3,8.99,422700
2000-05-05,16.35,16.35,15.54,15.54,8.58,760300
2000-05-08,15.59,16.81,15.49,16.5,9.11,564000
2000-05-09,16.55,16.91,16.3,16.5,9.11,361200
2000-05-10,16.45,16.6,16.05,16.1,8.88,244400
2000-05-11,16.2,16.71,16.1,16.4,9.05,375800
2000-05-12,16.55,16.86,16.4,16.71,9.22,438100
