Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.11,8.31,7.83,8.28,6.28,196200
2000-01-03,8.19,8.19,7.67,7.83,5.94,231900
2000-01-04,7.72,7.81,7.42,7.56,5.73,735300
2000-01-05,7.44,7.47,7.26,7.47,5.66,269700
2000-01-06,7.58,7.67,7.44,7.47,5.66,351600
2000-01-07,7.36,7.58,7.33,7.56,5.73,540600
2000-01-10,7.61,7.78,7.56,7.61,5.77,182700
2000-01-11,7.61,7.75,7.56,7.69,5.83,226300
2000-01-12,7.78,7.81,7.64,7.78,5.9,180900
2000-01-13,7.78,8.28,7.78,8.25,6.25,303000
2000-01-14,8.11,8.33,7.78,7.78,5.9,471700
2000-01-18,7.69,8.22,7.67,8.06,6.11,323500
2000-01-19,8.11,8.33,7.78,7.81,5.92,409000
2000-01-20,7.89,7.94,7.56,7.72,5.85,571600
2000-01-21,7.72,7.78,7.47,7.64,5.79,908100
2000-01-24,7.56,7.83,7.56,7.78,5.9,308700
2000-01-25,7.83,8.0,7.69,8.0,6.06,625900
2000-01-26,7.97,8.75,7.83,8.11,6.15,886500
2000-01-27,8.22,9.08,8.22,8.69,6.59,1553800
2000-01-28,8.61,8.64,8.33,8.33,6.32,284800
2000-01-31,8.28,8.47,8.22,8.44,6.4,420000
2000-02-01,8.44,8.44,8.14,8.28,6.28,200800
2000-02-02,8.25,8.42,8.17,8.36,6.34,190300
2000-02-03,8.42,8.53,8.42,8.53,6.46,202500
2000-02-04,8.53,8.86,8.53,8.83,6.7,373900
2000-02-07,8.81,8.86,8.56,8.75,6.63,249300
2000-02-08,8.75,8.78,8.53,8.56,6.49,240700
2000-02-09,8.53,8.61,8.28,8.33,6.32,231000
2000-02-10,8.39,8.64,8.11,8.39,6.36,208500
2000-02-11,8.31,8.58,8.08,8.19,6.21,285300
2000-02-14,8.25,8.44,8.03,8.17,6.19,172900
2000-02-15,8.22,8.47,8.03,8.39,6.36,190900
2000-02-16,8.36,8.36,8.17,8.25,6.25,113800
2000-02-17,8.25,8.67,8.19,8.22,6.23,261000
2000-02-18,8.25,8.25,8.0,8.0,6.06,302800
2000-02-22,8.08,8.08,7.86,8.03,6.09,282700
2000-02-23,8.06,8.36,8.0,8.17,6.19,410400
2000-02-24,8.22,8.31,8.03,8.22,6.23,341100
2000-02-25,8.17,8.28,8.0,8.0,6.06,131500
2000-02-28,8.08,8.42,8.03,8.42,6.38,245800
2000-02-29,8.44,8.83,8.36,8.78,6.65,455800
2000-03-01,8.83,9.19,8.81,8.92,6.76,681900
2000-03-02,8.97,9.03,8.67,8.97,6.8,134200
2000-03-03,8.89,9.14,8.69,9.14,6.93,308400
2000-03-06,9.03,9.22,8.75,9.22,6.99,176800
2000-03-07,9.11,9.11,8.58,8.58,6.51,140400
2000-03-08,8.58,8.69,8.36,8.42,6.38,258400
2000-03-09,8.31,8.56,8.22,8.53,6.46,293400
2000-03-10,8.61,8.72,8.44,8.44,6.4,438000
2000-03-13,8.47,8.47,8.25,8.39,6.36,207000
2000-03-14,8.31,8.5,8.22,8.36,6.34,135900
2000-03-15,8.31,8.42,8.25,8.36,6.34,122100
2000-03-16,8.5,8.97,8.5,8.92,6.76,438400
2000-03-17,8.5,8.97,8.5,8.83,6.72,245400
2000-03-20,8.83,9.17,8.64,8.97,6.83,511600
2000-03-21,8.81,8.89,8.67,8.89,6.76,213000
2000-03-22,8.86,8.89,8.78,8.89,6.76,203100
2000-03-23,8.89,9.06,8.72,8.86,6.74,416200
2000-03-24,8.89,9.69,8.86,9.67,7.36,877900
2000-03-27,9.56,9.67,8.94,9.17,6.98,491500
2000-03-28,9.22,9.22,8.53,8.94,6.81,782200
2000-03-29,9.06,9.17,8.61,8.97,6.83,513400
2000-03-30,8.97,8.97,8.75,8.86,6.74,470200
2000-03-31,8.92,9.25,8.89,9.22,7.02,699000
2000-04-03,9.17,9.44,8.94,9.08,6.91,314500
2000-04-04,8.64,8.92,8.03,8.53,6.49,713200
2000-04-05,8.44,8.69,8.33,8.69,6.62,144000
2000-04-06,8.5,8.89,8.5,8.83,6.72,160200
2000-04-07,8.75,8.75,8.39,8.53,6.49,208300
2000-04-10,8.53,8.86,8.53,8.61,6.55,273300
2000-04-11,8.72,8.72,8.25,8.44,6.43,210100
2000-04-12,8.56,8.75,8.31,8.42,6.4,334900
2000-04-13,8.42,8.44,8.22,8.25,6.28,126000
2000-04-14,8.17,8.17,7.11,7.53,5.73,929700
2000-04-17,7.53,7.72,7.44,7.61,5.79,351600
2000-04-18,7.53,8.31,7.5,7.94,6.05,405900
2000-04-19,8.11,8.17,7.89,7.97,6.07,298500
2000-04-20,7.86,8.11,7.86,7.92,6.02,263200
2000-04-24,7.94,8.08,7.72,8.0,6.09,223600
2000-04-25,8.06,8.58,8.06,8.5,6.47,445900
