Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.72,18.91,18.72,18.91,16.58,22400
2000-01-03,18.91,18.97,17.44,17.78,15.59,88000
2000-01-04,17.5,17.69,16.75,16.97,14.88,153200
2000-01-05,16.97,16.97,16.34,16.75,14.69,262200
2000-01-06,16.75,16.84,16.56,16.75,14.69,211800
2000-01-07,16.69,17.0,16.62,17.0,14.91,181600
2000-01-10,17.12,17.19,16.88,17.16,15.04,107000
2000-01-11,17.12,17.12,16.78,16.94,14.85,79000
2000-01-12,17.0,17.03,16.69,17.03,14.96,101600
2000-01-13,17.03,17.03,16.75,16.88,14.83,107400
2000-01-14,16.88,16.97,16.75,16.84,14.8,111400
2000-01-18,16.91,17.0,16.72,16.72,14.69,73200
2000-01-19,16.72,16.81,16.66,16.72,14.69,51800
2000-01-20,16.66,17.28,16.56,17.28,15.18,101000
2000-01-21,17.28,18.28,17.28,18.25,16.04,197400
2000-01-24,18.25,18.62,18.03,18.09,15.9,301600
2000-01-25,18.0,18.12,17.38,17.41,15.29,315200
2000-01-26,17.47,18.22,17.47,17.88,15.71,118600
2000-01-27,17.75,17.78,17.28,17.28,15.18,133600
2000-01-28,17.22,17.5,16.88,17.31,15.21,86400
2000-01-31,17.22,17.22,16.38,16.78,14.74,118200
2000-02-01,16.78,16.78,16.41,16.72,14.69,191800
2000-02-02,16.81,17.06,16.69,17.06,14.99,67800
2000-02-03,17.12,17.88,17.06,17.88,15.71,145400
2000-02-04,18.0,18.69,18.0,18.03,15.84,195000
2000-02-07,17.97,18.22,17.81,17.94,15.76,64800
2000-02-08,17.94,18.16,17.56,17.72,15.57,109000
2000-02-09,17.84,17.84,16.12,16.69,14.66,541200
2000-02-10,16.69,16.75,16.19,16.56,14.55,489000
2000-02-11,16.56,16.59,15.38,15.62,13.73,239200
2000-02-14,15.62,16.66,15.09,16.56,14.55,365600
2000-02-15,16.62,16.62,16.5,16.62,14.61,49400
2000-02-16,16.62,16.69,16.56,16.66,14.63,125400
2000-02-17,16.69,16.69,16.31,16.56,14.55,104600
2000-02-18,16.44,16.44,15.47,15.47,13.59,109800
2000-02-22,15.47,15.47,14.94,15.47,13.59,192800
2000-02-23,15.47,15.84,15.47,15.84,13.92,100400
2000-02-24,15.91,15.91,15.31,15.38,13.51,89400
2000-02-25,15.31,15.31,14.38,14.44,12.69,317400
2000-02-28,14.44,14.44,13.34,13.72,12.05,504600
2000-02-29,13.66,13.81,13.62,13.62,11.97,265400
2000-03-01,13.5,13.5,12.91,13.31,11.7,319000
2000-03-02,13.41,15.5,13.25,15.5,13.62,678600
2000-03-03,15.41,17.34,15.41,17.03,14.96,493600
2000-03-06,16.91,16.91,15.94,16.16,14.2,207200
2000-03-07,16.09,16.09,15.62,15.72,13.81,170600
2000-03-08,15.66,15.66,15.0,15.38,13.51,281600
2000-03-09,15.38,15.38,15.06,15.22,13.37,96600
2000-03-10,15.28,16.0,15.22,15.91,13.98,53000
2000-03-13,15.88,16.75,15.69,16.47,14.47,232800
2000-03-14,16.38,16.41,15.72,15.88,13.95,101000
2000-03-15,15.78,16.09,15.5,16.09,14.14,109400
2000-03-16,16.09,17.5,16.09,17.5,15.38,109600
2000-03-17,17.5,17.53,16.91,17.06,14.99,127800
2000-03-20,16.94,17.03,16.69,16.88,14.83,77400
2000-03-21,16.78,16.97,16.34,16.91,14.85,175000
2000-03-22,16.97,16.97,16.62,16.72,14.69,174200
2000-03-23,16.72,17.06,16.62,16.88,14.83,139200
2000-03-24,16.94,17.06,16.88,16.91,14.85,86800
2000-03-27,16.91,16.91,16.75,16.75,14.72,67200
2000-03-28,16.75,17.38,16.67,17.06,14.99,201800
2000-03-29,16.97,17.0,16.31,16.56,14.55,212800
2000-03-30,16.56,16.94,16.0,16.59,14.58,121200
2000-03-31,16.59,17.06,16.5,16.97,14.91,241200
2000-04-03,17.0,17.0,16.22,16.31,14.33,130200
2000-04-04,16.31,16.31,15.56,15.66,13.76,152400
2000-04-05,15.66,15.66,15.0,15.44,13.56,304400
2000-04-06,15.5,15.52,15.06,15.31,13.45,217400
2000-04-07,15.38,15.44,15.03,15.09,13.26,52800
2000-04-10,15.19,15.25,15.0,15.0,13.18,69600
2000-04-11,15.0,15.78,14.97,15.5,13.62,74200
2000-04-12,15.44,15.47,15.0,15.0,13.21,126200
2000-04-13,15.0,15.16,14.84,15.12,13.32,199600
2000-04-14,15.06,15.09,14.81,15.0,13.21,213000
2000-04-17,15.0,15.28,14.78,15.28,13.46,129400
2000-04-18,15.22,16.0,15.09,15.66,13.79,196400
2000-04-19,15.56,15.75,15.44,15.75,13.87,90400
2000-04-20,15.88,15.97,15.81,15.94,14.03,72400
2000-04-24,15.88,15.88,15.03,15.03,13.24,206400
2000-04-25,15.03,15.38,15.03,15.38,13.54,234000
2000-04-26,15.31,15.62,15.09,15.25,13.43,102400
2000-04-27,15.31,15.88,15.25,15.59,13.73,75000
2000-04-28,15.72,15.75,15.56,15.75,13.87,26200
2000-05-01,15.75,16.78,15.59,16.72,14.72,223800
2000-05-02,16.59,16.62,16.38,16.53,14.56,110000
2000-05-03,16.47,16.62,16.47,16.5,14.53,141800
2000-05-04,16.5,16.5,16.25,16.47,14.5,65200
2000-05-05,16.47,16.75,16.47,16.72,14.72,86400
2000-05-08,16.66,16.84,16.47,16.47,14.5,234800
2000-05-09,16.47,16.5,16.12,16.22,14.28,243400
2000-05-10,16.22,16.5,16.19,16.5,14.53,90400
2000-05-11,16.5,17.0,16.5,17.0,14.97,268600
2000-05-12,17.0,17.06,16.72,16.81,14.81,62200
2000-05-15,16.81,17.0,16.81,16.84,14.83,110200
2000-05-16,16.81,17.03,16.81,17.0,14.97,60000
2000-05-17,17.0,17.5,16.91,17.47,15.38,77600
2000-05-18,17.34,17.34,16.88,17.12,15.08,81600
2000-05-19,17.0,17.47,16.75,17.19,15.14,211200
2000-05-22,17.22,17.25,16.34,16.5,14.53,128200
