Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.5,9.62,9.46,9.5,6.49,445300
2000-01-03,9.75,9.75,9.25,9.42,6.43,767100
2000-01-04,9.29,9.29,8.71,8.83,6.03,673900
2000-01-05,8.92,8.96,8.58,8.67,5.92,782700
2000-01-06,8.67,8.71,8.5,8.62,5.89,1115500
2000-01-07,8.62,9.08,8.62,9.08,6.2,892600
2000-01-10,9.0,9.17,8.75,9.12,6.23,401500
2000-01-11,9.12,9.33,8.83,8.92,6.09,783400
2000-01-12,8.92,8.96,8.83,8.96,6.12,461500
2000-01-13,8.92,9.21,8.83,9.0,6.15,919800
2000-01-14,8.92,8.96,8.83,8.96,6.12,1282300
2000-01-18,9.0,9.12,8.75,8.83,6.03,1297800
2000-01-19,8.75,8.83,8.54,8.67,5.92,790800
2000-01-20,8.67,8.75,8.58,8.67,5.92,1080300
2000-01-21,8.71,8.75,8.5,8.67,5.92,616500
2000-01-24,8.67,8.67,8.38,8.46,5.78,526300
2000-01-25,8.5,8.5,8.17,8.33,5.69,529000
2000-01-26,8.25,8.25,7.71,7.92,5.41,2514700
2000-01-27,8.25,8.58,7.96,8.0,5.46,3865300
2000-01-28,8.0,8.17,7.67,7.83,5.35,3408700
2000-01-31,7.83,8.0,7.75,7.83,5.35,1712200
2000-02-01,7.92,7.92,7.42,7.42,5.07,2837400
2000-02-02,7.42,7.67,7.42,7.46,5.09,1602600
2000-02-03,7.38,7.42,7.08,7.21,4.92,4669900
2000-02-04,7.29,7.71,7.25,7.67,5.24,1280500
2000-02-07,7.67,7.71,7.58,7.58,5.18,739800
2000-02-08,7.67,7.71,7.54,7.54,5.15,980800
2000-02-09,7.5,7.5,7.25,7.33,5.01,918000
2000-02-10,7.29,7.33,6.54,6.92,4.72,5055300
2000-02-11,6.92,7.04,6.67,6.71,4.58,2683200
2000-02-14,6.88,6.96,6.71,6.96,4.75,1523700
2000-02-15,6.88,7.29,6.71,7.29,4.98,1507500
2000-02-16,7.29,7.42,7.04,7.29,4.98,609000
2000-02-17,7.29,7.67,7.08,7.67,5.24,1972000
2000-02-18,7.75,7.75,6.83,7.25,4.95,1413400
2000-02-22,7.38,7.54,7.04,7.54,5.15,471900
2000-02-23,7.46,7.96,7.42,7.71,5.27,1312500
2000-02-24,7.79,7.79,7.38,7.54,5.15,899700
2000-02-25,7.38,7.75,7.33,7.54,5.15,746700
2000-02-28,7.5,7.54,7.08,7.12,4.87,900700
2000-02-29,7.12,7.25,6.96,7.17,4.9,773800
2000-03-01,7.0,7.08,6.71,7.08,4.84,2198400
2000-03-02,7.0,7.0,6.75,6.96,4.75,1086400
2000-03-03,7.04,7.17,6.92,7.17,4.9,638200
2000-03-06,7.17,7.25,7.0,7.08,4.84,778600
2000-03-07,7.17,7.17,6.62,6.88,4.7,1148500
2000-03-08,6.79,7.0,6.42,6.92,4.72,2219100
2000-03-09,7.0,7.46,6.92,7.42,5.07,1218000
2000-03-10,7.38,7.42,7.17,7.29,4.98,1098000
2000-03-13,7.21,7.58,7.21,7.42,5.07,782700
2000-03-14,7.42,7.46,6.79,6.92,4.72,869200
2000-03-15,6.92,6.96,6.79,6.83,4.67,917100
2000-03-16,6.83,7.0,6.75,7.0,4.78,2507700
2000-03-17,7.0,7.17,6.92,6.96,4.75,1267600
2000-03-20,6.96,7.25,6.83,7.17,4.9,1592200
2000-03-21,7.08,7.08,6.83,6.92,4.72,806800
2000-03-22,6.96,7.17,6.92,7.04,4.81,1406500
2000-03-23,7.08,7.38,7.04,7.21,4.92,1690800
2000-03-24,7.29,7.33,6.75,6.88,4.7,1765300
2000-03-27,6.83,7.42,6.79,7.29,4.98,1579000
2000-03-28,7.33,7.42,7.17,7.25,4.95,888600
2000-03-29,7.17,7.17,7.04,7.08,4.84,1063200
2000-03-30,7.08,7.12,6.92,7.08,4.84,394500
2000-03-31,7.08,7.29,7.04,7.29,4.98,770200
2000-04-03,7.38,7.96,7.12,7.96,5.44,1520100
2000-04-04,7.88,8.04,7.25,7.75,5.29,1512000
2000-04-05,7.67,7.96,7.58,7.79,5.32,2017600
2000-04-06,8.17,8.5,8.0,8.29,5.66,2514000
2000-04-07,8.33,8.67,8.33,8.62,5.89,1400200
2000-04-10,8.67,8.67,8.5,8.62,5.89,1025400
2000-04-11,8.62,8.62,8.42,8.5,5.81,652600
2000-04-12,8.5,8.5,8.08,8.21,5.61,1318800
2000-04-13,8.29,8.42,8.17,8.33,5.69,554100
2000-04-14,8.08,8.25,7.71,8.12,5.55,972000
2000-04-17,7.83,8.33,7.83,8.29,5.66,805600
2000-04-18,8.29,8.88,8.29,8.38,5.72,1889100
2000-04-19,8.33,8.38,8.17,8.17,5.58,617200
2000-04-20,8.25,8.38,8.17,8.29,5.66,1010200
2000-04-24,8.25,8.46,7.96,8.42,5.75,763200
2000-04-25,8.12,8.54,8.08,8.46,5.78,455800
2000-04-26,8.54,9.12,8.33,8.71,5.95,1917000
2000-04-27,8.58,8.92,8.46,8.83,6.03,1540600
2000-04-28,9.29,9.29,8.92,9.12,6.23,1324300
2000-05-01,9.08,9.54,9.08,9.33,6.38,1567000
2000-05-02,9.33,9.38,9.25,9.33,6.38,441100
2000-05-03,9.17,9.17,8.96,9.04,6.18,1849600
