Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,26.25,26.56,26.19,26.56,16.14,668800
2000-01-03,26.62,26.75,25.75,26.12,15.87,887000
2000-01-04,26.12,26.62,25.94,25.94,15.76,877700
2000-01-05,25.62,26.31,25.5,26.25,15.95,970500
2000-01-06,26.25,26.56,25.88,26.38,16.02,1218100
2000-01-07,26.62,28.38,26.5,27.94,16.97,1549500
2000-01-10,28.31,28.5,27.56,27.62,16.78,794200
2000-01-11,27.56,27.88,27.19,27.56,16.74,790700
2000-01-12,27.56,27.62,26.31,26.5,16.1,1326800
2000-01-13,26.56,26.69,26.0,26.19,15.91,1042500
2000-01-14,25.94,26.06,25.19,25.38,15.41,1100800
2000-01-18,23.0,23.0,18.81,19.0,11.54,8621000
2000-01-19,19.0,19.75,18.88,19.69,11.96,8641600
2000-01-20,19.94,20.19,18.44,18.75,11.39,6643600
2000-01-21,19.0,19.62,18.62,19.62,11.92,5781400
2000-01-24,19.94,20.12,18.19,18.31,11.12,4579600
2000-01-25,19.5,20.25,18.75,20.0,12.15,3517200
2000-01-26,20.5,21.94,20.31,21.5,13.06,3084700
2000-01-27,22.0,23.38,21.94,23.06,14.01,3148500
2000-01-28,23.12,24.56,22.75,24.06,14.62,1733500
2000-01-31,24.12,24.12,22.19,22.81,13.86,2113800
2000-02-01,22.75,22.75,21.44,21.94,13.33,1889700
2000-02-02,21.94,22.56,21.5,22.5,13.67,862600
2000-02-03,22.38,22.44,21.44,22.19,13.48,1382600
2000-02-04,22.19,22.19,21.62,22.0,13.36,1460700
2000-02-07,22.75,22.75,21.25,21.62,13.14,1188000
2000-02-08,21.75,22.31,21.25,21.56,13.1,1830900
2000-02-09,21.5,22.0,21.12,21.25,12.91,2175900
2000-02-10,21.31,21.5,20.94,20.94,12.72,994400
2000-02-11,20.94,21.0,20.75,20.88,12.68,589100
2000-02-14,20.94,21.0,20.31,20.38,12.38,1008600
2000-02-15,20.5,20.75,20.25,20.25,12.3,1528400
2000-02-16,20.38,20.5,20.0,20.0,12.15,753800
2000-02-17,20.31,20.44,19.88,19.88,12.07,825100
2000-02-18,19.88,20.12,19.44,19.69,11.96,999700
