Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,18.0,18.75,17.62,18.75,18.72,161000
2000-01-03,18.56,19.19,17.62,18.0,17.97,233800
2000-01-04,17.94,18.12,16.5,17.75,17.73,195500
2000-01-05,16.62,17.0,16.5,17.0,16.98,166700
2000-01-06,16.88,17.0,16.69,16.94,16.91,410900
2000-01-07,16.81,18.56,16.75,18.38,18.35,508600
2000-01-10,21.88,22.62,21.0,22.0,21.97,1448400
2000-01-11,22.72,27.12,22.25,25.88,25.84,713300
2000-01-12,27.5,27.81,22.5,22.75,22.72,433600
2000-01-13,24.12,26.5,23.0,25.44,25.4,150300
2000-01-14,25.47,26.5,24.0,25.06,25.03,124900
2000-01-18,23.25,27.94,23.12,27.94,27.9,270800
2000-01-19,27.94,27.94,26.12,26.88,26.84,114300
2000-01-20,26.38,27.0,26.25,26.88,26.84,276100
2000-01-21,27.25,27.5,26.5,26.88,26.84,539600
2000-01-24,26.88,29.94,26.5,28.38,28.34,165500
2000-01-25,28.44,31.38,28.44,30.5,30.46,226400
2000-01-26,31.56,34.0,30.56,31.5,31.46,244600
2000-01-27,32.0,32.25,27.88,28.94,28.9,289100
2000-01-28,26.88,30.38,26.75,30.25,30.21,3695000
2000-01-31,29.75,30.75,28.75,30.31,30.27,972000
2000-02-01,31.97,33.75,31.0,33.12,33.08,675100
2000-02-02,33.94,34.0,32.62,34.0,33.95,974600
2000-02-03,34.06,35.0,34.0,35.0,34.95,889800
2000-02-04,35.0,35.0,33.75,34.5,34.45,465100
2000-02-07,34.75,36.5,34.75,35.38,35.33,770400
2000-02-08,35.5,35.5,33.38,34.62,34.58,176200
2000-02-09,34.31,34.62,31.25,33.75,33.7,660500
2000-02-10,33.88,35.75,33.62,34.75,34.7,333700
2000-02-11,35.25,35.38,34.75,34.88,34.83,650300
2000-02-14,35.25,35.7,34.12,34.88,34.83,253000
2000-02-15,35.0,35.06,33.69,35.06,35.01,183000
2000-02-16,35.12,35.12,32.44,34.12,34.08,99000
2000-02-17,33.0,33.94,31.5,31.62,31.58,425900
2000-02-18,31.78,31.81,27.75,27.75,27.71,387000
2000-02-22,30.0,31.0,29.38,30.12,30.08,832800
2000-02-23,30.31,31.5,30.0,30.88,30.83,691500
2000-02-24,33.0,33.38,32.25,33.25,33.2,437000
2000-02-25,34.12,36.38,34.06,36.0,35.95,698400
2000-02-28,36.5,36.5,35.25,36.0,35.95,621000
2000-02-29,36.81,41.38,36.5,40.5,40.44,422200
2000-03-01,41.0,45.88,41.0,43.38,43.31,321400
2000-03-02,43.25,43.88,42.75,42.88,42.82,402100
2000-03-03,43.5,45.0,42.88,44.12,44.06,195400
2000-03-06,44.25,44.25,42.38,43.25,43.19,222400
2000-03-07,43.81,45.0,43.0,44.75,44.69,235100
2000-03-08,45.12,52.0,44.5,48.12,48.06,418000
2000-03-09,49.38,50.0,47.25,47.38,47.31,349400
2000-03-10,48.0,52.0,47.25,49.62,49.56,477600
2000-03-13,49.5,54.75,49.0,53.75,53.67,289600
2000-03-14,54.62,54.75,51.88,52.5,52.43,487300
2000-03-15,52.56,52.94,47.75,48.94,48.87,378000
2000-03-16,49.38,50.0,42.62,45.38,45.31,351800
2000-03-17,45.25,50.62,45.12,50.06,49.99,770400
2000-03-20,50.19,51.25,49.25,49.25,49.18,468700
2000-03-21,49.25,49.31,47.0,47.19,47.12,241400
2000-03-22,47.25,49.0,47.12,48.06,48.0,441800
2000-03-23,49.0,49.62,48.25,48.62,48.56,306500
2000-03-24,48.5,48.98,45.12,46.25,46.19,222100
2000-03-27,45.5,49.19,45.5,49.06,48.99,685700
2000-03-28,49.69,50.5,48.25,48.94,48.87,259800
2000-03-29,49.0,49.25,45.25,45.5,45.44,224700
2000-03-30,45.12,45.31,36.25,40.0,39.94,451200
2000-03-31,40.25,44.5,40.25,44.0,43.94,310400
2000-04-03,44.12,45.0,41.5,41.5,41.44,244100
2000-04-04,41.69,42.38,31.5,38.62,38.57,680300
2000-04-05,37.0,41.38,36.5,39.75,39.69,427100
2000-04-06,40.94,43.0,40.75,42.69,42.63,227500
2000-04-07,43.0,45.12,42.75,45.12,45.06,158400
2000-04-10,48.5,49.0,43.0,43.12,43.06,310800
2000-04-11,42.88,43.5,38.5,38.62,38.57,313800
2000-04-12,39.06,40.5,38.62,39.88,39.82,1033600
2000-04-13,40.62,42.25,38.38,38.5,38.45,367200
2000-04-14,35.5,36.5,34.0,35.88,35.82,335300
2000-04-17,34.0,34.25,33.0,34.25,34.2,383400
2000-04-18,33.0,41.12,33.0,40.12,40.07,536000
2000-04-19,40.25,41.25,36.81,36.81,36.76,99700
2000-04-20,37.5,38.0,36.12,37.25,37.2,129800
2000-04-24,36.25,39.94,34.25,39.94,39.88,108600
2000-04-25,40.0,40.0,37.12,37.25,37.2,96900
2000-04-26,38.12,39.69,38.12,39.12,39.07,509300
2000-04-27,38.5,42.75,38.06,42.75,42.69,427800
2000-04-28,42.75,43.25,40.62,40.62,40.57,50500
2000-05-01,40.75,42.62,40.62,41.12,41.07,51700
2000-05-02,40.75,42.62,40.62,41.38,41.32,79800
2000-05-03,40.75,42.0,38.88,42.0,41.94,81400
2000-05-04,42.12,43.62,41.38,43.25,43.19,76100
2000-05-05,42.75,45.0,41.25,44.75,44.69,87200
2000-05-08,43.06,48.38,43.0,48.0,47.93,373200
2000-05-09,48.75,48.75,44.0,46.38,46.31,207500
2000-05-10,46.0,46.0,41.62,41.94,41.88,142000
2000-05-11,41.25,44.62,38.88,43.62,43.56,3096000
2000-05-12,44.25,44.88,41.06,41.44,41.38,145400
2000-05-15,40.5,41.5,40.38,40.75,40.69,102000
2000-05-16,41.5,42.12,41.0,42.06,42.0,148200
2000-05-17,42.0,44.0,41.0,42.88,42.82,66900
2000-05-18,43.06,44.0,41.31,41.75,41.69,146600
2000-05-19,40.0,40.5,39.88,40.0,39.94,107300
2000-05-22,39.88,40.0,39.0,39.25,39.2,266100
2000-05-23,39.06,40.62,38.88,39.0,38.95,138600
2000-05-24,38.88,39.5,37.5,39.5,39.44,190500
2000-05-25,38.0,38.03,36.12,37.62,37.57,670700
2000-05-26,37.5,37.69,36.38,37.06,37.01,420100
2000-05-30,37.5,38.5,37.25,38.5,38.45,251500
2000-05-31,38.25,38.56,37.0,37.25,37.2,341600
2000-06-01,36.75,37.5,36.5,37.19,37.14,221800
2000-06-02,37.19,38.5,37.19,38.12,38.07,386900
2000-06-05,38.31,38.62,37.88,38.12,38.07,231300
2000-06-06,38.75,40.38,38.12,39.62,39.57,605200
