Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,3.02,3.1,2.97,3.03,2.6,13036800
2000-01-03,2.98,3.09,2.91,3.08,2.64,24232000
2000-01-04,3.01,3.11,2.97,2.98,2.56,21564800
2000-01-05,2.99,3.08,2.96,3.02,2.59,28206400
2000-01-06,3.0,3.2,3.0,3.13,2.69,30825600
2000-01-07,3.09,3.12,3.03,3.12,2.67,26044800
2000-01-10,3.23,3.34,3.23,3.25,2.79,29031200
2000-01-11,3.24,3.26,3.15,3.16,2.71,19623200
2000-01-12,3.17,3.22,3.09,3.16,2.71,17745600
2000-01-13,3.17,3.41,3.17,3.39,2.91,21556000
2000-01-14,3.4,3.45,3.29,3.3,2.83,22196800
2000-01-18,3.27,3.33,3.16,3.26,2.79,10513600
2000-01-19,3.26,3.33,3.18,3.19,2.73,15800800
2000-01-20,3.2,3.22,3.07,3.13,2.69,18167200
2000-01-21,3.16,3.17,3.09,3.12,2.68,11176000
2000-01-24,3.12,3.2,2.89,3.07,2.63,31140000
2000-01-25,3.04,3.38,2.98,3.25,2.79,47650400
2000-01-26,3.37,3.67,3.34,3.62,3.11,75863200
2000-01-27,3.61,3.64,3.54,3.61,3.09,37517600
2000-01-28,3.62,3.77,3.62,3.73,3.19,60170400
2000-01-31,3.74,4.0,3.73,4.0,3.43,51054400
2000-02-01,3.97,4.05,3.93,4.04,3.46,30592000
2000-02-02,4.03,4.06,3.86,3.98,3.41,20413600
2000-02-03,3.98,4.0,3.8,3.93,3.37,20513600
2000-02-04,4.06,4.34,3.94,4.3,3.68,51308800
2000-02-07,4.29,4.31,4.17,4.28,3.67,19449600
2000-02-08,4.28,4.38,4.26,4.38,3.75,21536000
2000-02-09,4.35,4.36,4.26,4.31,3.7,17676000
2000-02-10,4.31,4.34,3.95,4.0,3.43,24207200
2000-02-11,3.98,4.19,3.98,4.11,3.52,19193600
2000-02-14,4.17,4.35,4.11,4.24,3.64,20843200
2000-02-15,4.24,4.36,4.05,4.33,3.71,16425600
2000-02-16,4.33,4.34,4.27,4.27,3.66,16617600
2000-02-17,4.3,4.34,4.25,4.33,3.71,11840800
2000-02-18,4.32,4.38,4.06,4.14,3.55,17745600
2000-02-22,4.11,4.21,4.04,4.15,3.56,13170400
2000-02-23,4.12,4.38,4.09,4.36,3.74,18372800
2000-02-24,4.36,4.52,4.21,4.38,3.76,24721600
2000-02-25,4.35,4.38,4.19,4.22,3.62,9384000
2000-02-28,4.19,4.27,4.09,4.26,3.65,13456000
2000-02-29,4.22,4.43,4.2,4.39,3.76,13168000
2000-03-01,4.39,4.48,4.31,4.34,3.72,10548000
2000-03-02,4.32,4.32,4.08,4.16,3.56,13367200
2000-03-03,4.2,4.72,4.2,4.65,3.99,28210400
2000-03-06,4.62,4.62,4.46,4.48,3.84,11278400
2000-03-07,4.49,4.52,4.25,4.27,3.66,12872000
2000-03-08,4.26,4.34,4.14,4.23,3.63,15707200
2000-03-09,4.22,4.53,4.12,4.52,3.87,13624800
2000-03-10,4.46,4.5,4.33,4.45,3.82,9488000
2000-03-13,4.32,4.44,4.28,4.34,3.72,14124800
2000-03-14,4.37,4.43,4.17,4.18,3.58,9474400
2000-03-15,4.16,4.49,4.16,4.4,3.77,14703200
2000-03-16,4.4,4.87,4.4,4.8,4.11,35879200
2000-03-17,4.69,4.77,4.55,4.63,3.97,19867200
2000-03-20,4.56,4.59,4.38,4.4,3.77,10842400
2000-03-21,4.42,4.88,4.4,4.88,4.18,21850400
2000-03-22,4.8,4.98,4.69,4.89,4.19,24861600
2000-03-23,4.83,5.0,4.81,4.92,4.22,18564800
2000-03-24,4.95,5.0,4.7,4.83,4.14,13520000
2000-03-27,4.85,5.05,4.84,4.89,4.19,17021600
2000-03-28,4.91,4.98,4.69,4.74,4.07,9432000
2000-03-29,4.77,5.0,4.71,4.96,4.25,12658400
2000-03-30,4.91,5.21,4.91,4.97,4.26,25609600
2000-03-31,4.98,5.66,4.91,5.6,4.8,36625600
2000-04-03,5.02,5.28,4.91,5.18,4.44,35332000
2000-04-04,5.14,5.44,4.94,5.43,4.66,39746400
2000-04-05,5.33,5.33,4.91,4.95,4.24,25903200
2000-04-06,4.99,5.03,4.56,4.7,4.03,19013600
2000-04-07,4.75,5.02,4.75,5.01,4.29,18377600
2000-04-10,5.03,5.04,4.57,4.58,3.92,13938400
2000-04-11,4.58,4.88,4.47,4.74,4.07,10528000
2000-04-12,4.75,4.82,4.67,4.7,4.03,11848800
2000-04-13,4.71,5.02,4.7,4.98,4.27,27032000
2000-04-14,4.87,4.88,4.23,4.4,3.77,20801600
2000-04-17,4.28,4.57,4.18,4.52,3.87,19577600
2000-04-18,4.53,4.7,4.45,4.68,4.01,12808800
2000-04-19,4.65,4.87,4.59,4.66,3.99,16598400
2000-04-20,4.66,4.75,4.5,4.68,4.01,8062400
2000-04-24,4.62,5.08,4.61,4.99,4.28,15964000
2000-04-25,4.81,4.92,4.38,4.77,4.09,29955200
2000-04-26,4.71,4.73,4.56,4.64,3.98,18652000
2000-04-27,4.51,4.64,4.43,4.63,3.97,22625600
2000-04-28,4.21,4.26,3.75,3.78,3.24,131648000
2000-05-01,3.88,3.91,3.77,3.87,3.32,59110400
2000-05-02,4.02,4.19,3.98,3.99,3.42,32888000
2000-05-03,4.02,4.02,3.88,3.98,3.41,19873600
2000-05-04,3.96,4.23,3.95,4.18,3.58,24694400
2000-05-05,4.12,4.22,3.98,4.21,3.61,17266400
2000-05-08,4.2,4.2,4.09,4.12,3.54,13504800
2000-05-09,4.14,4.19,4.02,4.17,3.58,12227200
2000-05-10,4.16,4.2,4.03,4.07,3.49,10658400
