Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,20.31,21.0,20.25,21.0,14.99,307400
2000-01-03,20.75,20.81,19.75,20.12,14.37,574100
2000-01-04,20.0,20.06,18.88,19.38,13.83,646800
2000-01-05,19.44,19.81,19.38,19.44,13.87,622800
2000-01-06,20.06,20.25,19.56,19.75,14.1,583600
2000-01-07,19.62,20.06,19.12,19.5,13.92,949500
2000-01-10,19.5,20.0,19.06,19.06,13.61,1067900
2000-01-11,19.38,19.69,19.25,19.31,13.79,1181500
2000-01-12,19.38,19.75,19.25,19.31,13.79,709000
2000-01-13,19.31,19.38,19.0,19.12,13.65,813500
2000-01-14,19.31,19.38,18.75,18.88,13.47,937800
2000-01-18,18.62,18.88,18.25,18.56,13.25,691400
2000-01-19,18.56,18.69,18.31,18.38,13.12,642000
2000-01-20,18.38,18.38,17.38,17.62,12.58,858700
2000-01-21,18.0,18.25,17.69,17.88,12.76,1121300
2000-01-24,17.88,18.31,17.66,17.94,12.8,651600
2000-01-25,17.88,18.44,17.62,18.0,12.85,835000
2000-01-26,18.0,18.38,17.75,17.81,12.71,526000
2000-01-27,17.81,18.19,17.69,17.94,12.8,501700
2000-01-28,17.88,17.94,17.44,17.44,12.45,476100
2000-01-31,17.44,18.12,17.38,17.62,12.58,668900
2000-02-01,17.5,18.5,17.5,18.44,13.16,746000
2000-02-02,18.25,18.38,17.44,17.5,12.49,1205500
2000-02-03,17.62,19.69,17.12,19.62,14.01,2110800
2000-02-04,20.62,20.69,20.12,20.12,14.37,1715100
2000-02-07,20.19,20.19,20.0,20.19,14.41,577100
2000-02-08,20.0,20.0,19.12,19.38,13.83,710700
2000-02-09,19.38,19.44,18.75,19.19,13.7,763500
2000-02-10,19.19,19.69,19.12,19.38,13.83,450400
2000-02-11,19.38,19.44,18.56,18.69,13.34,492800
2000-02-14,19.0,19.12,18.56,18.94,13.52,735400
2000-02-15,19.0,20.0,18.94,20.0,14.28,1031700
2000-02-16,20.0,20.0,19.38,19.56,13.96,464200
2000-02-17,19.62,20.38,19.56,20.25,14.45,618800
2000-02-18,20.06,20.19,19.56,19.81,14.14,723800
2000-02-22,19.94,20.0,19.69,19.88,14.19,542000
2000-02-23,20.12,20.12,19.38,20.0,14.28,888100
2000-02-24,19.75,19.75,19.0,19.19,13.79,620900
2000-02-25,19.38,19.75,18.94,19.06,13.7,931400
2000-02-28,19.06,19.56,19.06,19.12,13.74,637300
2000-02-29,19.5,19.5,19.0,19.12,13.74,551900
2000-03-01,19.62,19.62,19.12,19.38,13.92,488300
2000-03-02,19.38,19.69,18.81,19.06,13.7,629600
2000-03-03,18.94,20.5,18.88,19.94,14.33,610900
2000-03-06,19.69,19.81,18.94,19.06,13.7,496600
2000-03-07,19.31,19.31,18.56,18.81,13.52,703800
2000-03-08,18.81,19.28,18.31,18.75,13.47,1095500
2000-03-09,18.5,19.12,18.38,18.88,13.56,422100
2000-03-10,19.12,19.38,18.88,18.94,13.61,554900
2000-03-13,18.75,19.12,18.5,19.12,13.74,415200
2000-03-14,19.0,19.25,18.69,18.81,13.52,811900
2000-03-15,19.0,20.94,18.81,20.62,14.82,729700
2000-03-16,20.62,23.0,20.62,22.88,16.44,965300
2000-03-17,22.75,22.81,21.5,21.75,15.63,786000
2000-03-20,21.88,22.38,21.69,21.88,15.72,392800
2000-03-21,21.88,22.44,21.81,22.25,15.99,458100
2000-03-22,22.38,22.38,21.25,21.38,15.36,545100
2000-03-23,22.12,22.31,21.69,21.94,15.77,954300
2000-03-24,22.5,22.88,21.94,22.31,16.04,1362700
2000-03-27,22.31,22.5,21.81,21.94,15.77,1028100
2000-03-28,21.94,22.44,21.62,22.31,16.04,605100
2000-03-29,22.25,22.44,22.0,22.19,15.95,703700
2000-03-30,21.88,22.25,21.62,21.94,15.77,962700
2000-03-31,22.06,22.5,21.94,22.12,15.9,681700
2000-04-03,21.94,22.5,21.88,22.25,15.99,571900
2000-04-04,22.06,22.62,21.19,22.06,15.86,838500
2000-04-05,22.0,23.75,21.94,23.56,16.93,1296600
2000-04-06,24.0,24.94,23.69,23.94,17.2,1083000
2000-04-07,24.0,24.0,23.38,23.38,16.8,431000
