Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.38,19.5,19.38,19.5,10.87,17800
2000-01-03,19.5,19.62,19.12,19.12,10.66,21000
2000-01-04,19.12,19.25,18.62,18.88,10.53,9800
2000-01-05,18.88,18.88,18.62,18.75,10.46,19200
2000-01-06,18.75,19.12,18.5,19.12,10.66,25200
2000-01-07,19.12,19.25,19.12,19.25,10.73,4200
2000-01-10,19.25,19.38,19.0,19.0,10.6,21800
2000-01-11,19.0,19.12,18.88,19.0,10.6,34200
2000-01-12,19.0,19.12,18.88,19.12,10.66,15400
2000-01-13,19.12,19.38,19.12,19.12,10.66,9400
2000-01-14,19.12,19.25,19.12,19.25,10.73,6200
2000-01-18,19.25,19.25,19.12,19.25,10.73,13400
2000-01-19,19.25,19.5,19.12,19.5,10.87,15600
2000-01-20,19.5,19.5,19.12,19.25,10.73,11600
2000-01-21,19.25,19.25,19.0,19.12,10.66,12400
2000-01-24,19.12,19.12,18.62,18.62,10.39,10600
2000-01-25,18.62,18.75,18.38,18.38,10.25,8000
2000-01-26,18.38,18.62,18.38,18.62,10.39,10800
2000-01-27,18.62,18.62,18.38,18.38,10.25,9400
2000-01-28,18.38,18.5,18.0,18.12,10.11,15000
2000-01-31,18.12,18.12,17.0,17.5,9.76,101600
2000-02-01,17.5,17.62,17.25,17.5,9.76,27800
2000-02-02,17.5,17.62,17.38,17.5,9.76,10000
2000-02-03,17.5,17.62,17.38,17.5,9.76,11600
2000-02-04,17.5,17.88,17.38,17.75,9.9,7600
2000-02-07,17.75,18.12,17.75,18.12,10.11,9800
2000-02-08,18.12,18.12,17.5,18.12,10.11,23400
2000-02-09,18.12,18.5,18.0,18.38,10.25,12200
2000-02-10,18.25,18.25,17.38,17.88,9.97,15400
2000-02-11,17.88,17.88,17.25,17.38,9.69,20600
2000-02-14,17.38,17.38,16.88,17.25,9.7,18400
2000-02-15,17.25,17.88,17.25,17.88,10.05,17400
2000-02-16,17.88,18.12,17.88,18.0,10.12,5000
2000-02-17,18.0,18.38,17.62,18.25,10.27,13400
2000-02-18,18.12,18.12,17.25,17.25,9.7,15000
2000-02-22,17.25,17.38,16.75,16.88,9.49,15400
2000-02-23,16.88,17.25,16.62,17.12,9.63,11600
2000-02-24,17.12,17.25,17.0,17.12,9.63,2400
2000-02-25,17.0,17.0,16.88,17.0,9.56,4800
2000-02-28,17.0,17.12,16.62,17.12,9.63,13800
2000-02-29,17.12,17.12,16.88,17.12,9.63,10600
2000-03-01,17.12,17.38,17.0,17.0,9.56,19400
2000-03-02,17.0,17.38,17.0,17.0,9.56,5400
2000-03-03,17.0,17.12,17.0,17.0,9.56,23000
2000-03-06,16.88,16.88,16.38,16.62,9.35,22800
2000-03-07,16.62,16.62,16.25,16.38,9.21,18200
2000-03-08,16.38,16.62,16.12,16.62,9.35,10000
2000-03-09,16.75,17.0,16.75,16.75,9.42,9400
2000-03-10,16.62,16.62,16.25,16.62,9.35,16200
2000-03-13,16.62,16.62,16.5,16.62,9.35,6400
2000-03-14,16.62,16.62,16.62,16.62,9.35,8800
2000-03-15,16.62,16.62,16.62,16.62,9.35,15000
2000-03-16,16.62,16.88,16.62,16.88,9.49,33600
2000-03-17,16.5,16.5,16.25,16.38,9.21,26000
2000-03-20,16.5,16.62,16.5,16.5,9.28,25600
2000-03-21,16.5,16.5,16.25,16.5,9.28,8800
2000-03-22,16.5,16.5,15.88,16.0,9.0,13400
2000-03-23,16.0,16.25,15.62,15.62,8.79,8600
2000-03-24,15.62,15.62,15.12,15.12,8.51,8400
2000-03-27,15.12,15.25,15.0,15.25,8.58,58800
2000-03-28,15.25,15.25,15.0,15.0,8.44,12800
2000-03-29,15.12,15.5,15.12,15.38,8.65,22400
2000-03-30,15.38,17.0,15.38,17.0,9.56,33400
2000-03-31,17.0,18.38,17.0,18.0,10.12,68000
2000-04-03,18.0,18.12,17.5,17.88,10.05,24000
2000-04-04,17.88,18.25,17.75,17.75,9.98,15600
2000-04-05,17.75,17.75,17.12,17.12,9.63,7800
2000-04-06,17.12,17.62,17.0,17.0,9.56,20400
2000-04-07,17.0,17.0,16.88,17.0,9.56,8400
2000-04-10,16.62,16.62,15.75,16.5,9.28,30600
2000-04-11,16.5,16.75,16.38,16.5,9.28,9800
2000-04-12,16.5,17.0,16.5,16.5,9.28,10800
2000-04-13,16.5,16.5,16.12,16.38,9.21,9800
2000-04-14,16.12,16.12,15.88,16.0,9.0,13200
2000-04-17,16.0,16.25,16.0,16.12,9.07,15200
2000-04-18,16.12,16.12,15.5,15.5,8.72,10400
2000-04-19,15.5,16.12,15.5,16.0,9.0,11000
2000-04-20,16.0,16.25,16.0,16.0,9.0,18600
2000-04-24,16.0,16.12,15.88,16.0,9.0,8400
2000-04-25,16.0,16.88,15.5,16.88,9.49,26400
2000-04-26,16.88,16.88,16.12,16.25,9.14,16800
2000-04-27,16.12,16.12,15.5,15.88,8.93,24200
2000-04-28,15.88,16.0,15.5,16.0,9.0,9800
2000-05-01,16.0,16.0,15.75,16.0,9.0,12800
2000-05-02,16.0,16.12,15.88,16.0,9.0,5600
2000-05-03,16.0,16.88,15.88,16.0,9.0,13800
2000-05-04,16.25,17.88,16.25,17.88,10.05,31600
2000-05-05,17.88,18.12,16.5,16.62,9.35,58400
2000-05-08,16.62,16.62,16.0,16.5,9.28,13800
2000-05-09,16.5,16.88,16.5,16.62,9.35,66200
2000-05-10,16.62,17.12,16.5,16.5,9.28,22800
2000-05-11,16.5,16.62,16.38,16.5,9.28,7800
2000-05-12,16.5,16.62,16.25,16.62,9.35,15800
2000-05-15,16.62,17.0,16.38,16.62,9.35,17200
2000-05-16,16.62,17.5,16.38,17.5,9.94,179800
2000-05-17,17.5,17.5,17.0,17.12,9.73,91400
2000-05-18,17.12,17.12,16.88,17.0,9.66,30200
2000-05-19,17.12,17.5,17.12,17.38,9.87,68800
2000-05-22,17.25,17.25,17.0,17.12,9.73,13600
2000-05-23,17.12,17.5,17.12,17.12,9.73,15000
2000-05-24,17.12,18.25,17.0,18.25,10.37,36600
2000-05-25,18.12,18.12,17.75,18.0,10.22,14000
2000-05-26,18.0,18.12,17.62,18.0,10.22,11000
2000-05-30,18.0,18.0,17.75,17.88,10.15,12600
2000-05-31,17.88,17.88,17.5,17.62,10.01,45600
2000-06-01,17.75,18.0,17.75,17.88,10.15,27000
2000-06-02,18.0,18.12,18.0,18.12,10.29,13000
2000-06-05,18.12,18.25,17.62,17.75,10.08,9800
2000-06-06,17.75,17.75,17.5,17.5,9.94,14400
2000-06-07,17.5,17.88,17.5,17.88,10.15,14600
2000-06-08,17.75,17.75,17.62,17.75,10.08,1800
2000-06-09,17.75,17.75,17.38,17.62,10.01,3200
2000-06-12,17.62,17.75,17.5,17.5,9.94,5400
2000-06-13,17.5,17.62,17.38,17.62,10.01,7600
2000-06-14,17.62,17.88,17.38,17.38,9.87,7400
2000-06-15,17.38,17.62,17.38,17.62,10.01,21000
2000-06-16,17.5,17.5,17.25,17.5,9.94,57200
2000-06-19,17.5,17.88,17.25,17.75,10.08,11400
2000-06-20,17.62,17.62,17.38,17.38,9.87,19200
2000-06-21,17.38,17.75,17.38,17.5,9.94,11200
2000-06-22,17.5,17.5,17.38,17.38,9.87,18600
2000-06-23,17.38,17.38,17.25,17.38,9.87,16600
2000-06-26,17.38,17.75,17.38,17.75,10.08,10000
2000-06-27,17.88,18.12,17.88,18.0,10.22,21400
2000-06-28,18.0,18.5,18.0,18.38,10.44,17200
2000-06-29,18.38,18.62,18.38,18.62,10.58,22000
2000-06-30,18.62,19.25,18.5,19.25,10.93,151000
2000-07-03,19.25,19.38,19.25,19.38,11.0,14600
2000-07-05,19.38,19.5,19.0,19.25,10.93,58400
2000-07-06,19.25,19.25,18.38,18.38,10.44,12000
2000-07-07,18.38,18.88,18.25,18.75,10.65,14800
2000-07-10,18.75,19.0,18.5,18.75,10.65,12800
2000-07-11,18.62,18.62,18.12,18.38,10.44,8200
2000-07-12,18.38,18.38,17.75,18.38,10.44,19400
2000-07-13,18.38,18.5,18.12,18.12,10.29,11200
2000-07-14,18.12,18.25,18.12,18.12,10.29,6000
2000-07-17,18.12,18.5,18.0,18.12,10.29,10200
2000-07-18,18.12,18.12,18.0,18.12,10.29,3200
2000-07-19,18.12,18.12,17.88,18.0,10.22,12400
2000-07-20,18.0,18.25,18.0,18.25,10.37,4400
2000-07-21,18.25,18.25,17.88,18.0,10.22,6800
2000-07-24,18.0,18.0,17.75,17.88,10.15,9200
2000-07-25,17.88,18.12,17.75,17.88,10.15,25800
2000-07-26,17.88,18.0,17.75,18.0,10.22,20800
2000-07-27,18.0,18.0,17.75,18.0,10.22,10800
2000-07-28,18.0,18.12,17.62,18.0,10.22,12000
2000-07-31,18.0,18.25,18.0,18.0,10.22,20400
2000-08-01,18.0,18.12,18.0,18.0,10.22,10400
2000-08-02,18.0,18.38,18.0,18.25,10.37,21200
2000-08-03,18.25,18.38,18.12,18.38,10.44,21000
2000-08-04,18.38,18.5,18.12,18.5,10.51,15600
2000-08-07,18.5,18.5,18.12,18.25,10.37,21000
2000-08-08,18.25,18.38,18.25,18.38,10.44,6000
2000-08-09,18.38,18.5,18.25,18.5,10.51,3600
2000-08-10,18.38,18.38,18.12,18.25,10.37,22600
2000-08-11,18.25,18.62,18.0,18.62,10.58,22800
2000-08-14,18.62,18.88,18.62,18.62,10.58,32000
2000-08-15,18.62,18.75,18.0,18.12,10.29,10400
2000-08-16,18.12,18.12,17.88,18.12,10.39,9800
2000-08-17,18.25,18.62,18.25,18.5,10.6,22200
2000-08-18,18.5,18.62,18.25,18.5,10.6,23600
2000-08-21,18.5,18.5,18.38,18.5,10.6,3400
2000-08-22,18.5,18.5,18.38,18.5,10.6,5400
2000-08-23,18.38,18.38,18.25,18.38,10.53,1600
