Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,32.69,33.56,31.5,33.38,33.38,812600
2000-01-03,33.75,34.31,32.06,32.78,32.78,2315600
2000-01-04,32.44,32.5,30.38,30.44,30.44,1291000
2000-01-05,30.38,31.5,29.75,30.7,30.7,3343800
2000-01-06,30.72,30.72,27.81,28.47,28.47,3107400
2000-01-07,28.56,29.47,28.0,28.75,28.75,1710800
2000-01-10,29.25,30.91,29.19,30.16,30.16,1718600
2000-01-11,29.94,31.0,28.94,28.97,28.97,2779000
2000-01-12,28.78,28.81,26.69,26.72,26.72,5133600
2000-01-13,27.63,27.75,26.72,27.53,27.53,4700000
2000-01-14,28.03,28.47,27.38,28.19,28.19,3285600
2000-01-18,28.0,28.19,27.44,27.59,27.59,3468600
2000-01-19,27.69,28.12,26.56,27.12,27.12,1484200
2000-01-20,27.25,28.22,27.12,27.28,27.28,2745600
2000-01-21,27.31,27.88,27.0,27.31,27.31,2167000
2000-01-24,27.69,27.69,26.44,26.44,26.44,2364600
2000-01-25,26.62,26.62,23.34,24.0,24.0,5453000
2000-01-26,23.81,24.06,22.31,23.81,23.81,5148200
2000-01-27,24.06,24.12,20.81,21.91,21.91,6114800
2000-01-28,22.09,22.12,21.41,21.67,21.67,4424000
2000-01-31,21.72,23.44,21.5,23.09,23.09,3203800
2000-02-01,23.31,23.31,22.62,23.28,23.28,1674600
2000-02-02,23.53,23.56,22.44,22.91,22.91,1407200
2000-02-03,23.0,23.94,22.84,23.41,23.41,2837000
2000-02-04,23.62,23.84,22.44,22.62,22.62,2051800
2000-02-07,22.62,22.75,21.5,21.75,21.75,2499800
2000-02-08,22.06,22.94,21.69,22.59,22.59,2225800
2000-02-09,22.94,24.25,22.91,24.09,24.09,3943000
2000-02-10,24.94,25.5,23.94,25.41,25.41,6048000
2000-02-11,26.12,26.38,25.0,25.28,25.28,4198400
2000-02-14,24.31,24.53,20.88,21.22,21.22,9699400
2000-02-15,23.12,23.41,21.25,21.31,21.31,19527200
2000-02-16,22.25,22.66,21.7,22.28,22.28,7291600
2000-02-17,23.25,23.66,22.47,23.25,23.25,7950800
2000-02-18,21.19,21.19,18.44,18.78,18.78,35009600
2000-02-22,20.12,20.5,19.22,19.47,19.47,11006000
2000-02-23,19.94,20.12,19.75,20.0,20.0,4836000
2000-02-24,20.45,20.5,20.0,20.03,20.03,5486400
2000-02-25,20.19,20.44,20.12,20.12,20.12,4211200
2000-02-28,20.41,20.47,19.62,20.0,20.0,3643000
2000-02-29,20.16,20.38,19.88,19.97,19.97,5297400
2000-03-01,20.16,20.38,19.94,20.03,20.03,3380000
2000-03-02,20.09,20.25,19.84,19.88,19.88,2198400
2000-03-03,20.03,20.25,19.72,19.94,19.94,2766000
2000-03-06,20.0,20.34,19.59,19.62,19.62,2464200
2000-03-07,19.88,19.94,19.25,19.44,19.44,2115600
2000-03-08,19.59,19.75,19.0,19.75,19.75,3656600
2000-03-09,19.81,21.06,19.41,20.97,20.97,2531800
2000-03-10,21.19,22.75,20.56,21.66,21.66,4713000
2000-03-13,21.56,22.53,20.75,21.53,21.53,3290200
2000-03-14,22.5,23.16,21.53,21.81,21.81,3621000
2000-03-15,22.62,22.75,21.0,21.53,21.53,3803200
2000-03-16,21.97,24.75,21.75,24.25,24.25,4743800
2000-03-17,23.62,26.25,23.62,24.75,24.75,5500800
2000-03-20,25.0,25.03,23.81,24.12,24.12,3648400
2000-03-21,23.97,25.19,23.25,25.09,25.09,2149600
2000-03-22,25.69,25.81,24.5,24.59,24.59,2471400
2000-03-23,24.41,25.0,23.75,24.5,24.5,3152200
2000-03-24,24.5,25.31,24.19,24.62,24.62,1371800
2000-03-27,24.91,24.96,24.25,24.56,24.56,1739800
2000-03-28,24.53,24.56,23.25,23.25,23.25,1405400
2000-03-29,23.5,23.5,21.75,22.53,22.53,1779800
2000-03-30,22.16,22.5,21.66,22.0,22.0,3142600
2000-03-31,22.38,24.56,21.91,24.38,24.38,2980000
2000-04-03,24.47,24.47,22.5,22.78,22.78,2650600
2000-04-04,23.5,23.53,19.88,22.0,22.0,5681800
2000-04-05,21.47,23.0,21.25,22.09,22.09,3248800
2000-04-06,22.62,23.19,21.5,21.88,21.88,2783400
2000-04-07,22.38,23.19,22.18,23.09,23.09,2387600
2000-04-10,23.0,23.09,21.75,22.12,22.12,2236000
