Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,21.17,21.35,21.12,21.29,8.94,142900
2000-01-03,21.17,21.41,20.71,21.0,8.82,348800
2000-01-04,20.94,21.06,20.3,20.77,8.72,360700
2000-01-05,20.42,21.0,20.42,20.94,8.79,246500
2000-01-06,21.0,21.46,20.88,21.46,9.01,218400
2000-01-07,21.41,22.45,21.35,22.39,9.4,309400
2000-01-10,22.51,22.62,21.99,22.62,9.5,324800
2000-01-11,22.86,22.97,22.45,22.57,9.47,383100
2000-01-12,22.33,22.57,22.22,22.57,9.47,420200
2000-01-13,22.39,22.57,22.22,22.57,9.47,328100
2000-01-14,22.57,22.91,22.51,22.91,9.62,411200
2000-01-18,22.91,23.15,22.74,23.03,9.67,400700
2000-01-19,22.97,23.2,22.91,23.15,9.72,250700
2000-01-20,23.2,23.26,23.03,23.26,9.77,176100
2000-01-21,23.15,23.55,23.15,23.55,9.89,356200
2000-01-24,23.44,23.67,23.15,23.32,9.79,231500
2000-01-25,23.32,23.44,23.03,23.09,9.69,299200
2000-01-26,23.03,23.15,22.97,23.15,9.72,192400
2000-01-27,23.26,23.32,23.09,23.26,9.77,253300
2000-01-28,23.26,23.26,23.03,23.15,9.72,119600
2000-01-31,23.2,23.26,22.86,22.91,9.62,139300
2000-02-01,23.03,23.2,22.86,23.03,9.67,382700
2000-02-02,22.51,22.68,22.33,22.51,9.65,435000
2000-02-03,22.62,22.86,22.28,22.86,9.8,503700
2000-02-04,22.8,23.03,22.74,22.97,9.85,367100
2000-02-07,22.97,23.03,22.74,22.86,9.8,263600
2000-02-08,22.68,22.91,22.39,22.62,9.7,458100
2000-02-09,22.57,22.68,22.33,22.57,9.67,292000
2000-02-10,22.74,23.15,22.33,22.45,9.62,194900
2000-02-11,22.33,22.45,22.16,22.22,9.52,260600
2000-02-14,22.16,22.16,21.7,21.87,9.37,242500
2000-02-15,21.81,21.81,21.58,21.64,9.27,322700
2000-02-16,21.41,21.7,21.23,21.41,9.17,312300
2000-02-17,21.46,21.7,21.35,21.58,9.25,329800
2000-02-18,21.58,21.7,21.35,21.41,9.17,177600
2000-02-22,21.7,21.81,21.35,21.35,9.15,260600
2000-02-23,21.41,21.7,21.17,21.52,9.22,259700
2000-02-24,21.75,21.75,21.35,21.52,9.22,101700
2000-02-25,21.7,21.75,21.52,21.75,9.32,190700
2000-02-28,21.81,21.93,21.64,21.81,9.35,306200
2000-02-29,21.64,21.81,21.58,21.7,9.3,377500
2000-03-01,21.75,21.81,21.64,21.7,9.3,194800
2000-03-02,21.46,21.7,21.46,21.64,9.27,127900
2000-03-03,21.64,21.93,21.64,21.81,9.35,130200
2000-03-06,21.58,21.87,21.58,21.75,9.32,127800
2000-03-07,21.7,21.81,21.23,21.46,9.2,241800
2000-03-08,21.7,21.81,21.12,21.52,9.22,115100
2000-03-09,21.29,21.58,21.0,21.29,9.12,289400
2000-03-10,21.35,21.46,21.06,21.35,9.15,137200
2000-03-13,21.52,21.52,21.06,21.12,9.05,167100
2000-03-14,21.12,21.35,20.94,21.06,9.02,163100
2000-03-15,21.06,21.29,21.0,21.29,9.12,139000
2000-03-16,21.17,21.52,21.17,21.46,9.2,365600
2000-03-17,21.46,21.64,21.17,21.35,9.15,204300
2000-03-20,21.35,21.46,21.23,21.35,9.15,144800
2000-03-21,21.23,21.81,21.23,21.7,9.3,153700
2000-03-22,21.87,21.99,21.46,21.58,9.25,159700
2000-03-23,21.35,21.99,21.23,21.81,9.35,147400
2000-03-24,21.58,21.93,21.46,21.87,9.37,192600
2000-03-27,21.7,21.93,21.41,21.58,9.25,157900
2000-03-28,21.41,21.58,21.23,21.58,9.25,488900
2000-03-29,21.7,21.7,21.29,21.52,9.22,150300
2000-03-30,21.41,21.81,21.41,21.81,9.35,192500
2000-03-31,21.81,22.28,21.64,21.64,9.27,196100
2000-04-03,21.93,22.22,21.7,21.81,9.35,232100
2000-04-04,21.75,21.93,21.58,21.81,9.35,143700
2000-04-05,21.99,22.04,21.58,21.64,9.27,713800
2000-04-06,21.87,21.93,21.58,21.81,9.35,1907800
2000-04-07,21.99,22.22,21.81,22.22,9.52,461000
2000-04-10,22.51,22.51,22.16,22.39,9.6,387900
2000-04-11,22.28,22.57,22.22,22.51,9.65,475200
2000-04-12,22.51,23.09,22.51,22.8,9.77,279600
2000-04-13,22.68,23.61,22.68,23.55,10.09,439600
2000-04-14,23.67,23.67,23.2,23.2,9.94,371600
2000-04-17,23.38,23.38,22.74,22.86,9.8,340500
2000-04-18,23.09,23.09,22.8,22.97,9.85,197000
