Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.34,30.84,30.34,30.81,20.73,261600
2000-01-03,30.5,30.53,28.75,29.22,19.66,778600
2000-01-04,28.97,29.06,27.88,27.88,18.76,1267800
2000-01-05,27.81,28.22,27.19,27.5,18.51,2723000
2000-01-06,27.69,27.72,26.75,26.75,18.0,1864000
2000-01-07,26.81,27.59,26.72,27.0,18.17,3660000
2000-01-10,27.44,29.41,27.28,28.88,19.43,1735200
2000-01-11,29.5,29.5,28.75,29.03,19.54,1713400
2000-01-12,29.0,29.59,28.75,29.25,19.68,1228800
2000-01-13,29.38,30.84,29.31,30.59,20.59,1551400
2000-01-14,30.47,30.75,28.94,29.38,19.77,1548000
2000-01-18,28.75,28.97,28.25,28.41,19.12,978400
2000-01-19,28.62,29.12,28.5,28.84,19.41,903800
2000-01-20,28.97,29.31,28.5,28.75,19.35,705200
2000-01-21,28.75,29.22,28.31,29.12,19.6,802400
2000-01-24,29.0,29.0,27.59,28.09,18.9,720600
2000-01-25,28.34,28.56,27.47,27.62,18.59,1083200
2000-01-26,28.38,29.88,28.06,29.47,19.83,1824200
2000-01-27,29.06,30.09,28.88,29.81,20.06,1752400
2000-01-28,29.31,29.84,29.0,29.12,19.6,1287800
2000-01-31,28.94,29.0,28.03,28.03,18.86,892000
2000-02-01,28.34,28.66,27.94,28.03,18.86,944000
2000-02-02,28.38,29.0,28.38,28.81,19.39,882000
2000-02-03,28.81,29.69,28.72,29.44,19.81,1086400
2000-02-04,29.47,29.66,28.59,28.75,19.35,843000
2000-02-07,28.31,28.78,28.09,28.09,18.9,809200
2000-02-08,28.22,28.75,28.0,28.06,18.88,1893400
2000-02-09,28.06,28.06,26.75,27.56,18.55,1887200
2000-02-10,27.5,28.0,27.19,27.75,18.67,1110800
2000-02-11,28.06,28.06,27.31,27.56,18.55,1109800
2000-02-14,27.5,27.91,27.34,27.5,18.51,1030200
2000-02-15,27.0,27.16,26.22,26.62,17.92,1461400
2000-02-16,26.38,26.53,25.97,26.25,17.66,1393800
2000-02-17,26.25,26.72,25.5,25.81,17.37,825800
2000-02-18,25.69,25.91,24.53,25.09,16.89,1981600
2000-02-22,24.97,25.41,24.16,25.09,16.89,1054800
2000-02-23,24.81,24.94,23.91,24.53,16.59,1710200
2000-02-24,24.0,24.09,22.5,23.25,15.72,2428400
2000-02-25,23.88,23.88,22.75,23.22,15.7,2064000
2000-02-28,23.22,23.44,22.66,23.25,15.72,1574400
2000-02-29,24.5,25.56,23.84,25.44,17.2,2914000
2000-03-01,25.31,26.06,24.94,25.06,16.94,1258800
2000-03-02,25.06,25.28,24.56,25.16,17.01,734000
2000-03-03,25.03,25.47,24.56,25.06,16.94,632000
2000-03-06,24.75,24.78,24.25,24.66,16.67,991600
2000-03-07,24.53,25.22,24.38,24.5,16.56,1039000
2000-03-08,24.62,24.62,23.69,23.94,16.18,631800
2000-03-09,23.91,25.25,23.81,24.91,16.84,913400
2000-03-10,24.78,25.19,24.16,24.5,16.56,1050400
2000-03-13,23.88,24.0,22.5,22.88,15.47,1296800
2000-03-14,22.97,23.5,22.75,23.25,15.72,991800
2000-03-15,22.94,23.75,22.34,23.19,15.68,1259200
2000-03-16,23.72,25.75,23.53,25.38,17.16,1280600
2000-03-17,25.12,25.19,23.81,24.66,16.67,1669000
2000-03-20,24.0,24.09,23.28,23.75,16.06,1283600
2000-03-21,23.5,23.66,22.25,22.91,15.49,2477400
2000-03-22,23.44,24.44,23.31,23.72,16.04,2219800
2000-03-23,23.69,25.09,23.69,24.66,16.67,1242200
2000-03-24,23.75,24.5,23.75,24.03,16.25,1033000
2000-03-27,23.91,23.97,22.88,23.06,15.59,1004800
2000-03-28,23.25,23.25,21.75,22.5,15.21,2671600
2000-03-29,22.5,23.22,22.41,23.0,15.55,1172000
2000-03-30,22.88,23.88,22.84,23.31,15.76,1201600
2000-03-31,23.19,23.22,22.12,22.75,15.38,1204800
2000-04-03,22.44,22.59,22.25,22.5,15.21,1394800
2000-04-04,22.88,23.81,22.5,23.0,15.55,1901600
2000-04-05,23.44,23.88,23.12,23.44,15.85,1456200
2000-04-06,23.25,24.25,23.25,23.84,16.12,987200
2000-04-07,23.81,24.06,23.25,23.44,15.85,600600
2000-04-10,23.19,23.31,22.41,22.69,15.34,1061200
2000-04-11,22.56,23.5,22.0,22.16,14.98,1514800
2000-04-12,22.41,23.28,22.41,22.62,15.3,1166800
2000-04-13,22.62,22.62,21.41,21.47,14.51,1637200
2000-04-14,21.59,22.12,21.38,21.53,14.56,1400600
2000-04-17,21.31,21.53,20.94,21.38,14.45,1317200
2000-04-18,22.06,24.94,22.03,24.44,16.52,4393800
2000-04-19,24.62,25.06,24.25,24.91,16.84,2053000
2000-04-20,25.0,25.53,24.47,24.75,16.73,1029600
2000-04-24,24.25,26.06,24.19,25.94,17.54,2541200
2000-04-25,25.31,27.47,25.19,27.19,18.38,2138800
2000-04-26,26.69,27.66,26.66,27.5,18.59,953200
2000-04-27,27.19,27.19,26.28,26.94,18.21,818800
