Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,68.94,69.12,68.56,68.81,42.1,222900
2000-01-03,68.0,68.06,63.5,64.69,39.58,900600
2000-01-04,62.38,63.25,61.62,62.31,38.12,787100
2000-01-05,62.44,62.75,61.25,61.62,37.7,914500
2000-01-06,61.25,62.81,61.0,62.44,38.2,1279900
2000-01-07,62.12,62.38,61.44,62.31,38.12,719000
2000-01-10,62.5,62.5,59.38,59.5,36.4,631000
2000-01-11,59.5,59.5,58.06,59.12,36.17,1103500
2000-01-12,59.25,61.31,59.25,60.12,36.79,988600
2000-01-13,60.94,62.12,60.75,61.5,37.63,647000
2000-01-14,63.0,63.75,62.56,63.0,38.54,592300
2000-01-18,62.5,62.75,61.38,61.75,37.78,755800
2000-01-19,61.69,63.12,60.12,60.19,36.82,981600
2000-01-20,60.44,60.44,58.38,58.56,35.83,569700
2000-01-21,59.56,59.56,58.06,58.44,35.75,673400
2000-01-24,58.44,58.62,55.5,55.88,34.19,656600
2000-01-25,57.0,57.25,56.38,56.81,34.76,786800
2000-01-26,56.81,59.06,56.12,58.25,35.64,827400
2000-01-27,58.88,60.0,58.38,58.88,36.02,641600
2000-01-28,59.0,59.0,57.0,57.19,34.99,847200
2000-01-31,57.88,59.81,57.38,59.56,36.44,1001500
2000-02-01,59.5,59.62,58.31,59.06,36.14,473500
2000-02-02,58.94,58.94,57.38,57.75,35.33,410200
2000-02-03,57.69,58.0,55.62,56.38,34.49,1068200
2000-02-04,56.5,56.56,55.0,55.0,33.65,687200
2000-02-07,55.0,55.12,53.38,54.25,33.19,614500
2000-02-08,54.25,56.44,54.25,56.12,34.34,613300
2000-02-09,56.0,56.0,54.0,54.0,33.04,439300
2000-02-10,54.19,55.56,53.0,53.25,32.58,1247600
2000-02-11,54.0,54.75,53.0,53.38,32.66,481800
2000-02-14,53.75,54.12,52.31,52.62,32.2,644500
2000-02-15,52.75,54.12,52.31,53.88,32.96,479300
2000-02-16,54.0,54.81,52.88,52.94,32.39,582000
2000-02-17,53.38,53.62,52.12,52.56,32.16,673600
2000-02-18,52.56,52.62,51.0,51.44,31.47,838000
2000-02-22,51.25,52.25,51.0,51.94,31.78,638600
2000-02-23,51.38,51.5,50.5,50.62,30.97,550600
2000-02-24,50.81,50.81,48.69,49.62,30.36,698400
2000-02-25,49.94,51.25,49.62,49.81,30.48,504000
2000-02-28,49.94,51.88,49.94,51.12,31.51,572500
2000-02-29,50.88,51.0,49.81,50.81,31.32,906000
2000-03-01,50.0,50.88,49.38,50.75,31.28,608700
2000-03-02,50.69,50.69,49.5,50.06,30.86,516400
2000-03-03,51.06,51.88,50.62,50.75,31.28,690500
2000-03-06,50.25,51.0,49.94,50.5,31.13,466800
2000-03-07,50.38,50.38,48.38,48.44,29.86,573400
2000-03-08,47.94,48.06,47.31,47.62,29.36,663800
2000-03-09,47.75,48.44,47.19,48.12,29.66,952700
2000-03-10,48.0,48.31,47.31,47.38,29.2,557100
2000-03-13,46.88,48.94,46.81,48.31,29.78,677400
2000-03-14,48.12,49.0,47.56,47.56,29.32,431400
2000-03-15,47.62,51.81,47.38,51.81,31.94,1166500
2000-03-16,53.5,58.12,53.19,56.94,35.1,1450500
2000-03-17,56.94,58.62,55.75,56.31,34.71,1096000
2000-03-20,56.88,56.88,54.5,55.44,34.17,966500
2000-03-21,55.5,58.81,55.5,57.81,35.64,727800
2000-03-22,57.69,58.88,56.5,58.62,36.14,462300
2000-03-23,58.25,60.94,57.94,60.69,37.41,679500
2000-03-24,60.44,61.69,59.38,60.06,37.02,477800
