Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.94,37.06,36.53,36.53,27.35,231800
2000-01-03,36.5,36.5,34.22,34.88,26.11,1295400
2000-01-04,34.75,34.75,32.56,32.94,24.66,1316000
2000-01-05,32.94,34.06,32.62,33.53,25.1,1039400
2000-01-06,33.5,35.19,33.41,34.94,26.16,1356200
2000-01-07,35.31,36.34,35.06,36.19,27.09,1162400
2000-01-10,35.88,36.41,35.81,35.97,26.93,1036600
2000-01-11,36.0,37.09,35.91,36.69,27.47,1381000
2000-01-12,36.19,37.5,36.19,37.28,27.91,1287800
2000-01-13,37.88,38.41,37.59,38.19,28.59,1416000
2000-01-14,38.62,39.69,38.19,39.53,29.59,1221800
2000-01-18,39.44,39.44,37.5,38.25,28.64,1975000
2000-01-19,38.25,38.75,37.94,38.19,28.59,1082000
2000-01-20,38.19,38.19,37.25,37.97,28.42,1067200
2000-01-21,38.22,38.62,37.59,38.47,28.8,1318200
2000-01-24,38.5,38.69,37.38,37.59,28.14,952800
2000-01-25,37.59,39.0,37.53,38.97,29.17,1167200
2000-01-26,38.75,40.41,38.53,40.41,30.25,808800
2000-01-27,40.72,41.38,40.38,41.38,30.97,1263000
2000-01-28,40.44,40.56,39.19,39.38,29.48,1276000
2000-01-31,38.94,40.25,38.75,40.09,30.02,1485600
2000-02-01,40.0,41.22,39.53,41.06,30.74,1055000
2000-02-02,40.94,41.28,40.16,41.12,30.79,1208000
2000-02-03,41.12,41.84,40.28,41.84,31.33,1018800
2000-02-04,41.88,42.22,40.03,40.41,30.25,1140000
2000-02-07,40.53,40.62,39.84,40.03,29.97,477400
2000-02-08,40.5,42.09,40.31,42.09,31.51,1227000
2000-02-09,41.38,41.38,40.19,40.25,30.13,644400
2000-02-10,40.12,40.34,39.12,39.56,29.62,744600
2000-02-11,39.69,40.38,39.06,39.28,29.41,593600
2000-02-14,39.16,39.5,38.44,39.38,29.48,921600
2000-02-15,39.5,40.22,39.06,40.09,30.02,966200
2000-02-16,39.75,40.0,39.38,39.69,29.71,573400
2000-02-17,39.81,40.09,38.41,38.84,29.08,646600
2000-02-18,38.5,38.59,36.75,37.03,27.72,1400600
2000-02-22,37.0,38.38,36.88,38.31,28.68,1375800
2000-02-23,37.75,37.84,37.06,37.06,27.75,1006800
2000-02-24,36.5,36.75,35.5,36.31,27.18,1386400
2000-02-25,36.31,37.25,35.5,35.88,26.86,1625800
2000-02-28,35.88,37.72,35.88,36.84,27.58,1349400
2000-02-29,36.72,37.0,35.88,36.44,27.28,969000
2000-03-01,36.31,36.38,35.62,36.12,27.04,839800
2000-03-02,36.19,36.31,35.72,36.09,27.02,417800
2000-03-03,36.69,36.97,36.03,36.06,27.0,1005200
2000-03-06,35.25,36.06,35.12,35.22,26.37,807200
2000-03-07,34.62,34.81,32.94,32.94,24.66,1607000
2000-03-08,32.81,32.84,31.22,31.69,23.72,2721000
2000-03-09,31.69,33.34,31.69,33.31,24.94,1055800
2000-03-10,33.56,34.0,33.09,33.81,25.31,1189400
2000-03-13,32.94,35.12,32.78,33.66,25.2,1246000
2000-03-14,33.56,34.22,32.84,33.16,24.82,600800
2000-03-15,33.62,37.31,33.62,36.41,27.25,2607200
2000-03-16,37.5,43.0,37.47,42.91,32.12,4875400
2000-03-17,42.78,44.16,42.19,43.19,32.33,3376400
2000-03-20,43.0,43.0,40.41,42.44,31.77,2233800
2000-03-21,41.19,44.38,41.06,43.62,32.66,2135600
2000-03-22,44.12,46.62,43.75,46.25,34.62,1571000
2000-03-23,45.59,50.75,45.31,50.22,37.6,2686000
2000-03-24,49.62,49.62,46.0,46.81,35.05,3182800
2000-03-27,47.31,47.34,44.66,46.03,34.46,1371800
2000-03-28,47.0,49.75,47.0,47.28,35.4,1717200
2000-03-29,48.44,49.47,47.78,48.38,36.22,1372000
2000-03-30,48.31,49.0,46.62,46.66,34.99,1184800
2000-03-31,47.5,49.84,47.5,48.44,36.32,1586600
2000-04-03,48.62,54.31,48.62,53.06,39.79,2409000
2000-04-04,51.5,53.12,48.72,51.12,38.34,3082800
2000-04-05,50.97,51.44,49.41,50.44,37.82,1430200
2000-04-06,50.47,50.62,47.38,48.47,36.35,1371800
2000-04-07,48.25,48.28,46.03,46.88,35.15,1270000
2000-04-10,46.81,49.38,46.31,48.75,36.56,1573400
2000-04-11,48.88,49.72,48.09,48.94,36.7,888200
2000-04-12,49.75,53.25,49.75,50.69,38.01,1929800
2000-04-13,50.69,50.69,48.41,48.53,36.39,1182400
2000-04-14,48.41,48.41,42.59,43.56,32.67,2731800
2000-04-17,44.06,46.19,44.06,45.09,33.81,2148200
2000-04-18,46.0,48.97,45.81,48.75,36.56,1861800
2000-04-19,48.5,48.5,46.44,46.81,35.1,809000
2000-04-20,46.88,48.06,46.75,47.97,35.97,747800
2000-04-24,47.06,49.88,47.06,49.78,37.33,1512200
2000-04-25,49.81,52.12,49.5,51.97,38.97,1579200
2000-04-26,51.94,51.94,49.75,49.97,37.47,1596400
2000-04-27,48.25,49.66,47.53,49.47,37.1,1989600
2000-04-28,49.06,49.75,47.91,48.44,36.32,1048400
2000-05-01,48.06,52.19,47.66,50.62,37.96,2306200
2000-05-02,50.25,53.88,50.0,51.69,38.76,2657400
2000-05-03,51.69,54.31,51.19,53.06,39.79,2714400
2000-05-04,53.0,53.25,51.62,52.78,39.58,1458600
2000-05-05,52.31,53.75,51.59,51.84,38.88,1367400
2000-05-08,51.72,53.97,51.25,53.41,40.05,1815600
2000-05-09,53.53,53.88,51.5,52.16,39.11,1558800
2000-05-10,52.16,52.41,51.22,51.91,38.92,1459400
2000-05-11,52.75,55.16,52.75,54.5,40.87,2050400
2000-05-12,54.38,56.94,53.94,55.09,41.31,2204400
2000-05-15,55.5,58.0,55.44,58.0,43.49,1970000
2000-05-16,58.0,58.69,55.12,55.91,41.92,2035200
2000-05-17,55.19,56.56,54.5,56.22,42.16,1622200
2000-05-18,56.22,58.59,56.22,56.47,42.34,1389200
2000-05-19,56.0,56.84,54.88,56.56,42.41,1617800
2000-05-22,56.56,58.0,56.06,58.0,43.49,1821800
2000-05-23,58.0,60.62,57.75,59.62,44.71,2004400
2000-05-24,61.5,61.5,58.75,59.5,44.62,2568600
2000-05-25,58.5,58.5,52.72,54.69,41.01,3830400
