Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,29.94,30.19,29.88,30.12,18.32,84100
2000-01-03,29.88,30.12,28.56,28.75,17.48,297300
2000-01-04,28.5,28.94,27.94,28.12,17.1,127000
2000-01-05,28.12,28.25,27.62,27.75,16.87,121300
2000-01-06,27.56,28.5,27.38,27.62,16.8,225100
2000-01-07,27.62,28.12,27.38,28.12,17.1,222500
2000-01-10,28.06,28.12,27.0,27.88,16.95,160800
2000-01-11,27.69,28.12,27.38,27.56,16.76,142000
2000-01-12,27.44,29.31,27.31,28.69,17.44,407000
2000-01-13,28.69,29.0,28.69,28.75,17.48,135700
2000-01-14,28.38,28.38,27.38,27.88,16.95,258700
2000-01-18,27.25,27.44,26.81,26.94,16.38,142700
2000-01-19,26.69,28.06,26.56,27.69,16.83,353800
2000-01-20,27.62,29.12,26.94,27.0,16.42,335600
2000-01-21,27.12,27.12,25.69,26.06,15.85,180300
2000-01-24,26.06,26.06,25.38,25.5,15.5,122300
2000-01-25,25.5,25.5,24.56,25.12,15.28,174000
2000-01-26,25.06,25.12,24.0,24.5,14.9,218000
2000-01-27,25.5,26.12,25.19,25.25,15.35,308700
2000-01-28,25.06,25.38,24.75,24.75,15.05,147800
2000-01-31,24.75,25.25,24.25,25.12,15.28,187700
2000-02-01,25.25,25.56,25.06,25.12,15.28,272300
2000-02-02,25.25,26.38,25.25,25.94,15.77,395100
2000-02-03,25.88,26.31,25.0,26.12,15.88,192500
2000-02-04,26.12,26.38,25.44,25.62,15.58,524300
2000-02-07,25.62,25.62,24.69,24.94,15.16,199700
2000-02-08,25.12,25.56,24.81,24.94,15.16,174200
2000-02-09,24.81,24.94,24.25,24.31,14.78,232500
2000-02-10,24.31,24.44,23.5,23.81,14.48,251400
2000-02-11,23.75,23.75,23.19,23.19,14.1,149200
2000-02-14,23.25,24.06,23.25,23.62,14.36,204000
2000-02-15,23.75,25.0,23.75,24.81,15.09,237700
2000-02-16,24.38,25.0,24.31,24.56,14.93,480300
2000-02-17,24.44,25.06,24.44,24.62,14.97,152900
2000-02-18,24.5,25.25,23.56,23.56,14.33,355000
2000-02-22,23.56,25.12,23.56,24.31,14.78,226900
2000-02-23,24.19,24.19,23.5,23.5,14.29,210500
2000-02-24,23.75,23.75,22.25,22.75,13.83,283600
2000-02-25,22.75,23.5,22.5,22.69,13.79,185700
2000-02-28,22.69,23.38,22.38,22.88,13.91,171900
2000-02-29,22.62,23.31,22.5,23.0,13.98,182500
2000-03-01,22.88,23.44,22.88,23.06,14.02,195800
2000-03-02,22.81,23.75,22.81,23.31,14.31,235700
2000-03-03,23.12,24.69,22.81,24.25,14.89,226700
2000-03-06,23.75,23.94,23.19,23.69,14.54,194600
