Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,23.0,24.0,22.6,23.0,21.47,56477500
2014-08-01,22.9,23.0,22.67,23.0,21.47,6458900
2014-08-04,23.1,23.13,22.9,23.0,21.47,3455900
2014-08-05,22.99,23.01,22.67,23.0,21.47,4450200
2014-08-06,22.8,22.98,22.67,22.98,21.45,6993400
2014-08-07,22.89,23.0,22.8,22.93,21.4,3186900
2014-08-08,22.93,23.03,22.8,22.95,21.42,2855000
2014-08-11,22.9,22.93,22.8,22.93,21.4,1767500
2014-08-12,22.89,23.0,22.83,23.0,21.47,1549700
2014-08-13,23.0,23.23,22.88,23.18,21.63,1659100
2014-08-14,23.2,23.22,22.95,23.01,21.47,1391700
2014-08-15,23.02,23.08,23.0,23.0,21.47,1948100
2014-08-18,23.06,23.17,23.02,23.17,21.62,1073700
2014-08-19,23.2,24.43,23.2,24.41,22.78,2851800
2014-08-20,24.3,25.59,24.26,25.19,23.51,3544500
2014-08-21,25.47,25.52,24.92,25.39,23.7,2358000
2014-08-22,25.25,25.43,25.1,25.36,23.67,891600
2014-08-25,25.37,25.4,24.88,25.12,23.44,1185400
2014-08-26,25.0,25.1,24.94,25.05,23.38,951000
2014-08-27,25.0,25.54,24.95,25.47,23.77,1230600
2014-08-28,25.4,25.84,25.31,25.69,23.98,981700
2014-08-29,25.81,25.94,25.45,25.79,24.07,981200
2014-09-02,25.7,25.9,25.52,25.79,24.07,1873200
2014-09-03,25.99,26.0,25.63,25.79,24.07,996500
2014-09-04,25.53,25.75,25.51,25.7,23.99,1117500
2014-09-05,25.7,26.02,25.62,25.77,24.05,1089800
2014-09-08,25.82,25.98,24.62,24.84,23.18,2534800
2014-09-09,25.3,25.6,24.7,25.04,23.37,3608600
2014-09-10,25.19,25.31,24.69,24.7,23.05,1974600
2014-09-11,24.75,25.02,24.63,24.65,23.01,2029100
2014-09-12,24.53,24.75,24.44,24.5,22.87,1106800
2014-09-15,24.35,24.38,23.92,24.15,22.54,1125600
2014-09-16,24.24,24.36,23.88,24.31,22.69,1512100
2014-09-17,24.45,24.69,24.36,24.55,22.91,940400
2014-09-18,24.57,24.84,24.56,24.67,23.02,879100
2014-09-19,24.85,25.49,24.71,25.41,23.71,5257900
2014-09-22,25.28,25.36,24.75,24.84,23.18,737000
2014-09-23,24.66,24.7,24.18,24.58,22.94,940000
2014-09-24,24.73,25.0,24.67,24.92,23.26,964600
2014-09-25,24.98,24.98,24.61,24.63,22.99,1350800
2014-09-26,24.61,24.8,24.34,24.77,23.12,1252800
2014-09-29,24.57,24.77,24.34,24.7,23.05,1482000
2014-09-30,24.87,25.12,24.21,24.55,22.91,8795100
2014-10-01,24.44,24.59,24.18,24.22,22.6,1196600
2014-10-02,24.35,24.69,23.76,24.58,22.94,1253000
2014-10-03,24.78,25.09,24.41,24.83,23.17,1737500
2014-10-06,24.86,25.1,24.75,25.0,23.33,1057100
2014-10-07,24.94,24.97,24.55,24.85,23.19,803600
2014-10-08,24.81,25.02,24.7,25.02,23.35,1074500
2014-10-09,25.02,25.06,24.43,24.55,22.91,2536300
2014-10-10,24.5,24.72,24.14,24.2,22.59,1561700
2014-10-13,24.26,24.77,24.2,24.46,22.83,1726100
2014-10-14,24.63,24.95,24.58,24.85,23.19,1036400
2014-10-15,24.74,24.97,24.03,24.52,22.88,1529300
2014-10-16,24.2,24.8,24.13,24.6,22.96,1889000
2014-10-17,24.72,25.1,24.65,24.78,23.13,981700
2014-10-20,24.75,24.85,24.4,24.71,23.06,938300
2014-10-21,24.77,25.26,24.71,25.17,23.49,1699700
2014-10-22,25.25,25.45,25.15,25.38,23.69,1546100
2014-10-23,25.47,25.91,25.44,25.81,24.09,970100
2014-10-24,25.75,26.36,25.75,26.11,24.37,1223100
2014-10-27,26.08,26.79,26.02,26.53,24.76,1011400
2014-10-28,26.73,27.1,26.6,26.85,25.06,1002300
2014-10-29,26.81,27.08,26.67,27.0,25.2,730100
2014-10-30,27.08,27.45,26.51,26.79,25.0,1039100
2014-10-31,27.05,27.11,26.85,27.02,25.22,934600
2014-11-03,27.08,27.76,26.85,27.34,25.52,983700
2014-11-04,27.3,27.45,26.25,27.01,25.21,999300
2014-11-05,27.19,27.5,26.7,27.47,25.64,587300
2014-11-06,27.51,27.77,27.27,27.58,25.74,993100
2014-11-07,27.72,28.17,27.25,28.15,26.27,1165800
2014-11-10,28.23,28.87,28.0,28.77,26.85,1474200
2014-11-11,28.8,29.26,28.7,29.11,27.17,1643700
2014-11-12,29.0,29.16,28.64,29.03,27.09,1033700
2014-11-13,29.01,29.23,28.82,28.99,27.06,1656800
2014-11-14,28.92,29.56,28.85,29.05,27.11,1912000
2014-11-17,29.05,29.25,28.83,29.13,27.19,1010300
2014-11-18,29.21,29.43,28.78,28.95,27.02,948900
2014-11-19,28.99,29.0,28.65,28.94,27.01,2141800
2014-11-20,28.96,29.35,28.91,29.24,27.29,1300600
2014-11-21,29.3,29.4,29.01,29.17,27.22,1003900
2014-11-24,29.27,29.41,28.85,28.97,27.04,1177500
2014-11-25,28.93,29.32,28.03,28.66,26.75,5938500
2014-11-26,28.83,29.08,28.74,28.8,26.88,1327400
2014-11-28,28.75,29.03,28.75,29.01,27.07,425200
2014-12-01,29.0,29.13,28.73,28.88,26.95,1020800
2014-12-02,28.94,29.31,28.89,29.05,27.11,1091200
2014-12-03,29.12,29.14,28.9,29.0,27.06,730200
2014-12-04,29.01,29.34,28.91,29.15,27.2,829000
2014-12-05,29.28,29.29,28.93,29.25,27.3,818700
2014-12-08,29.29,29.84,29.02,29.51,27.54,1644100
2014-12-09,29.53,29.64,29.2,29.52,27.55,1085700
2014-12-10,29.55,29.9,29.5,29.65,27.67,760000
2014-12-11,29.67,30.0,29.43,29.52,27.55,1057900
2014-12-12,29.33,29.48,28.93,29.0,27.06,1632500
2014-12-15,29.15,29.21,28.16,28.63,26.72,1310500
2014-12-16,28.6,28.66,28.15,28.44,26.54,2238500
2014-12-17,28.52,28.99,28.32,28.9,26.97,1311900
2014-12-18,29.38,29.88,28.94,29.75,27.76,1015700
2014-12-19,29.82,30.05,29.79,30.0,28.0,1337500
2014-12-22,29.61,29.97,29.5,29.85,27.86,770300
2014-12-23,30.04,30.3,29.72,30.0,28.0,504100
2014-12-24,30.11,30.17,29.97,30.11,28.1,78600
2014-12-26,30.17,30.62,30.07,30.5,28.46,426500
2014-12-29,30.45,30.64,30.27,30.46,28.43,296100
2014-12-30,30.49,30.5,29.89,30.0,28.0,517800
2014-12-31,30.11,30.13,29.68,29.75,27.76,430000
2015-01-02,29.79,29.8,29.35,29.48,27.51,580000
2015-01-05,29.38,29.62,28.68,29.25,27.3,1593900
2015-01-06,29.4,29.43,28.45,28.85,26.92,2198300
2015-01-07,29.52,29.68,28.91,29.2,27.25,1365100
2015-01-08,29.53,30.1,29.49,29.98,27.98,835000
2015-01-09,30.07,30.07,29.49,29.7,27.72,477600
2015-01-12,29.76,29.8,29.53,29.53,27.56,756800
2015-01-13,29.77,30.0,29.46,29.71,27.73,629700
2015-01-14,29.39,29.6,29.07,29.15,27.2,866800
2015-01-15,29.19,29.25,27.92,28.52,26.62,1093700
2015-01-16,28.34,29.05,28.21,28.99,27.06,425200
2015-01-20,28.99,29.19,28.61,29.1,27.16,958200
2015-01-21,29.1,29.29,28.97,29.18,27.23,863700
2015-01-22,29.22,29.5,28.43,29.05,27.11,2514800
2015-01-23,30.0,32.0,29.0,30.97,28.9,3170800
2015-01-26,30.8,31.46,30.72,31.33,29.24,3123200
2015-01-27,31.19,31.5,30.89,31.32,29.23,1401800
2015-01-28,31.76,31.76,31.1,31.25,29.16,1038100
2015-01-29,31.22,31.49,31.0,31.23,29.15,1383400
2015-01-30,31.11,31.33,30.77,30.86,28.8,1255100
2015-02-02,30.84,31.19,30.69,31.16,29.08,758800
2015-02-03,31.3,31.5,30.96,31.13,29.05,919900
2015-02-04,31.11,31.38,30.98,31.25,29.16,1276200
2015-02-05,31.27,32.08,31.13,32.0,29.86,1114100
2015-02-06,32.07,32.68,31.97,32.14,30.0,1115900
2015-02-09,32.12,32.4,32.01,32.4,30.24,1118100
2015-02-10,32.62,33.13,32.37,33.11,30.9,2354000
2015-02-11,33.25,33.61,33.01,33.55,31.31,2110800
2015-02-12,33.74,33.96,33.53,33.61,31.37,2334600
2015-02-13,33.39,33.57,32.62,32.8,30.61,1234700
2015-02-17,32.8,32.81,31.85,31.92,29.79,1728000
2015-02-18,31.8,32.2,31.75,31.91,29.78,1054500
2015-02-19,31.94,32.08,31.79,31.88,29.75,556200
2015-02-20,31.96,32.77,31.67,32.59,30.42,2082300
2015-02-23,32.56,32.71,32.25,32.62,30.44,868700
2015-02-24,32.46,33.0,31.91,32.36,30.2,1028800
2015-02-25,32.33,32.59,32.1,32.29,30.14,672500
2015-02-26,32.53,32.71,32.36,32.45,30.28,356800
2015-02-27,32.37,32.55,31.93,31.95,29.82,553100
2015-03-02,31.95,32.04,31.22,31.96,29.83,785700
2015-03-03,32.16,32.25,31.85,32.14,30.0,484600
2015-03-04,32.05,32.05,31.82,31.89,29.76,439600
2015-03-05,31.98,32.47,31.78,31.96,29.83,486000
2015-03-06,31.94,32.0,31.19,31.2,29.12,694100
2015-03-09,31.34,32.15,31.25,31.98,29.85,776300
2015-03-10,31.8,31.93,31.08,31.1,29.02,912300
2015-03-11,31.25,31.72,31.11,31.55,29.44,588900
2015-03-12,31.78,32.02,31.56,31.89,29.76,503200
2015-03-13,31.87,31.94,31.26,31.82,29.7,889900
2015-03-16,32.0,32.0,31.79,31.95,29.82,628200
