Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.5,19.81,19.41,19.78,11.96,550400
2000-01-03,19.5,19.5,19.0,19.06,11.52,1233200
2000-01-04,18.75,19.16,18.44,18.47,11.16,1054200
2000-01-05,18.5,19.09,18.5,18.62,11.29,1334200
2000-01-06,18.5,19.5,18.38,19.41,11.77,1557400
2000-01-07,19.41,19.47,19.09,19.44,11.79,1157400
2000-01-10,19.47,19.5,19.06,19.5,11.83,1400200
2000-01-11,19.44,19.56,19.31,19.5,11.83,1363600
2000-01-12,19.5,20.38,19.5,20.22,12.26,1722600
2000-01-13,20.0,20.19,19.84,20.06,12.17,829800
2000-01-14,20.28,20.28,19.62,19.69,11.94,1239200
2000-01-18,19.62,19.66,19.47,19.56,11.86,844000
2000-01-19,19.5,19.56,19.06,19.09,11.58,884600
2000-01-20,19.22,19.22,17.94,18.0,10.92,1828000
2000-01-21,17.56,17.94,17.5,17.75,10.76,2703000
2000-01-24,18.44,18.59,16.94,17.0,10.31,2744200
2000-01-25,17.09,17.62,17.06,17.22,10.44,2003400
2000-01-26,17.25,17.66,17.19,17.47,10.59,1293600
2000-01-27,17.47,17.91,17.03,17.25,10.46,1386000
2000-01-28,17.0,17.12,16.69,17.03,10.33,1614600
2000-01-31,17.03,17.78,16.84,17.78,10.78,1582400
2000-02-01,17.66,17.66,17.28,17.62,10.69,2481800
2000-02-02,17.88,18.44,17.66,17.69,10.73,2060000
2000-02-03,17.56,17.59,17.0,17.22,10.44,2103600
2000-02-04,17.09,17.19,16.81,16.88,10.23,1121400
2000-02-07,16.5,16.59,16.16,16.34,9.91,2348200
2000-02-08,16.47,16.5,16.12,16.38,9.93,1919400
2000-02-09,16.38,16.44,16.12,16.41,9.95,2264200
2000-02-10,16.41,16.69,16.31,16.53,10.03,2312000
2000-02-11,16.62,16.66,16.16,16.41,9.95,1191200
2000-02-14,16.28,16.5,16.19,16.41,9.95,953400
2000-02-15,16.53,16.94,16.53,16.84,10.21,1353400
2000-02-16,16.84,17.34,16.5,17.16,10.4,1615200
2000-02-17,17.03,17.53,16.81,17.53,10.63,1875000
2000-02-18,17.53,17.66,16.62,17.0,10.31,1341000
2000-02-22,16.81,17.09,16.62,17.0,10.31,1019000
2000-02-23,16.78,16.94,16.56,16.62,10.08,964600
2000-02-24,16.62,16.62,15.38,16.0,9.7,1657000
2000-02-25,16.0,16.34,15.81,15.91,9.65,1415800
2000-02-28,15.97,16.22,15.56,16.16,9.8,1515400
2000-02-29,16.19,16.56,15.81,16.41,9.95,1377600
2000-03-01,16.41,16.62,16.22,16.56,10.04,1021000
2000-03-02,16.66,16.66,15.94,16.06,9.74,1168800
2000-03-03,16.12,16.25,15.84,15.94,9.67,1654200
2000-03-06,15.5,15.53,14.47,14.75,8.94,2606600
2000-03-07,14.5,14.5,13.16,13.62,8.26,3850800
2000-03-08,13.25,13.91,13.06,13.88,8.41,2448600
2000-03-09,14.0,15.09,14.0,14.81,8.98,2168400
2000-03-10,14.69,14.81,14.0,14.41,8.74,2480800
2000-03-13,14.25,14.44,14.0,14.19,8.6,1972800
2000-03-14,14.81,15.19,14.12,14.19,8.6,2495800
2000-03-15,14.0,16.16,14.0,16.06,9.74,3033200
2000-03-16,15.81,17.34,15.62,17.25,10.46,3821400
2000-03-17,17.19,17.28,16.69,17.03,10.33,2534600
2000-03-20,17.09,17.09,16.53,16.84,10.21,1228000
2000-03-21,17.16,17.44,16.81,17.12,10.39,1533600
2000-03-22,17.12,17.16,16.56,17.16,10.4,1911600
2000-03-23,17.06,17.06,16.66,16.97,10.29,1190800
2000-03-24,17.0,17.62,16.97,17.16,10.4,2109600
2000-03-27,17.16,17.56,16.91,17.31,10.5,1129000
2000-03-28,17.31,17.47,16.97,17.0,10.31,2474600
2000-03-29,17.0,17.03,16.75,17.0,10.31,1530600
2000-03-30,17.0,18.0,16.91,17.88,10.84,2105600
2000-03-31,17.88,18.5,17.69,18.06,10.95,1965400
2000-04-03,17.91,18.38,17.56,18.28,11.09,1517000
2000-04-04,18.31,19.28,18.25,19.19,11.64,2570200
2000-04-05,19.03,19.22,18.88,19.0,11.56,1421000
2000-04-06,18.62,19.25,18.47,19.22,11.69,2152800
2000-04-07,19.0,19.12,18.62,18.88,11.48,1203600
2000-04-10,18.44,19.0,18.44,18.69,11.37,1360400
2000-04-11,18.72,19.12,18.72,18.97,11.54,1799200
2000-04-12,19.0,19.12,18.66,18.72,11.39,1801600
2000-04-13,18.84,18.84,18.19,18.19,11.06,1753000
2000-04-14,18.0,18.0,17.44,17.69,10.76,1466000
2000-04-17,17.56,18.0,17.19,17.97,10.93,1519400
2000-04-18,17.94,17.94,17.38,17.59,10.7,1496000
2000-04-19,17.62,18.0,17.53,17.97,10.93,1324600
2000-04-20,18.0,18.09,17.81,18.0,10.95,971200
2000-04-24,17.94,18.41,17.91,18.25,11.1,1361000
2000-04-25,18.31,18.91,18.19,18.62,11.33,1770600
2000-04-26,18.75,19.62,18.56,19.25,11.71,2507000
2000-04-27,19.22,19.47,18.78,18.88,11.48,2091000
2000-04-28,18.84,19.25,18.62,18.81,11.44,1793600
2000-05-01,18.75,19.28,18.72,19.0,11.56,1933200
2000-05-02,19.31,19.31,18.81,18.84,11.46,1601200
2000-05-03,18.81,19.69,18.81,19.19,11.67,1856800
2000-05-04,19.31,19.97,19.25,19.59,11.92,1607200
2000-05-05,19.47,19.69,19.22,19.22,11.69,1025800
2000-05-08,19.56,19.97,19.44,19.78,12.03,1049800
2000-05-09,19.91,19.97,19.59,19.78,12.03,1275600
2000-05-10,19.81,20.03,19.72,20.03,12.19,1711200
2000-05-11,19.97,21.0,19.94,20.5,12.47,2418200
2000-05-12,20.44,20.59,20.03,20.28,12.34,1557600
2000-05-15,20.28,20.62,20.09,20.22,12.3,1368800
2000-05-16,20.47,20.5,19.94,20.5,12.47,1557200
2000-05-17,20.5,20.5,20.06,20.28,12.34,996800
2000-05-18,20.38,20.69,20.31,20.52,12.48,2613800
2000-05-19,20.34,20.41,20.22,20.34,12.38,1590200
2000-05-22,20.47,20.47,20.25,20.31,12.36,1168000
2000-05-23,20.44,20.53,20.31,20.5,12.47,1145400
2000-05-24,20.44,21.0,20.44,20.97,12.76,1755000
2000-05-25,21.0,21.09,19.75,20.06,12.2,4034600
2000-05-26,20.38,20.84,20.16,20.66,12.57,1319600
2000-05-30,21.0,21.69,20.75,21.69,13.19,3044600
2000-05-31,21.5,21.5,20.84,21.06,12.81,1482200
