Date,Open,High,Low,Close,Adj Close,Volume
2007-06-14,37.0,39.26,37.0,38.85,29.72,662600
2007-06-15,39.1,39.1,38.25,38.8,29.68,1150000
2007-06-18,39.05,39.1,37.15,37.15,28.42,853600
2007-06-19,37.15,37.7,36.1,36.7,28.07,951000
2007-06-20,36.83,36.83,35.33,35.95,27.5,1721800
2007-06-21,36.0,36.7,35.75,36.7,28.07,537700
2007-06-22,37.0,39.5,36.8,38.95,29.8,250300
2007-06-25,39.1,40.0,38.25,39.25,30.03,203200
2007-06-26,39.31,39.8,39.2,39.5,30.22,119600
2007-06-27,39.5,39.8,39.0,39.75,30.41,270700
2007-06-28,39.75,39.95,39.5,39.6,30.29,151200
2007-06-29,39.83,39.9,38.75,39.06,29.88,1701900
2007-07-02,39.2,40.63,38.98,39.97,30.58,2000500
2007-07-03,39.98,40.61,39.08,39.66,30.34,3752400
2007-07-05,39.6,41.28,39.24,39.45,30.18,4277800
2007-07-06,39.4,39.92,38.8,39.82,30.46,3950700
2007-07-09,39.55,40.4,38.48,40.3,30.83,5369500
2007-07-10,39.5,39.5,38.48,39.0,29.83,5483200
2007-07-11,39.0,39.25,38.7,39.06,29.88,5964800
2007-07-12,38.95,39.06,38.31,39.01,29.84,4094400
2007-07-13,38.3,39.89,38.0,39.47,30.19,2064600
2007-07-16,38.0,39.85,37.07,39.3,30.06,2514800
2007-07-17,39.02,39.5,38.27,38.86,29.73,3913400
2007-07-18,36.95,38.86,36.6,37.94,29.02,4909400
2007-07-19,38.04,38.45,37.63,38.1,29.15,2078400
2007-07-20,38.1,38.18,37.87,38.03,29.09,3406800
2007-07-23,35.1,39.0,35.1,38.91,29.77,2164400
2007-07-24,38.72,39.22,38.13,38.4,29.38,2119000
2007-07-25,38.25,38.57,38.0,38.47,29.43,2421500
2007-07-26,38.0,38.3,36.72,37.56,28.73,3610800
2007-07-27,36.0,38.13,35.73,36.95,28.27,2912600
2007-07-30,36.4,36.45,35.58,36.05,27.58,2915500
2007-07-31,36.05,36.08,35.7,35.82,27.4,2148800
2007-08-01,34.92,36.0,34.76,35.22,26.94,3771700
2007-08-02,34.61,35.5,34.09,35.27,26.98,2519100
2007-08-03,35.1,35.43,35.0,35.09,26.84,2445000
2007-08-06,35.2,35.32,34.98,35.15,26.89,3896600
2007-08-07,34.85,35.38,34.0,34.85,26.66,2624200
2007-08-08,32.09,35.47,32.09,34.74,26.58,3355800
2007-08-09,34.3,34.77,33.62,33.73,25.8,2058600
2007-08-10,33.73,33.73,32.38,32.81,25.1,6034600
2007-08-13,33.0,33.25,32.39,32.99,25.24,3860000
2007-08-14,33.13,33.25,32.12,32.45,24.82,6021900
2007-08-15,32.53,33.24,32.5,32.96,25.21,4280500
2007-08-16,32.06,33.25,32.0,33.04,25.27,4133300
2007-08-17,33.9,35.23,33.5,35.1,26.85,3026600
2007-08-20,34.87,35.98,34.6,34.95,26.74,1948800
2007-08-21,33.9,34.97,33.85,34.67,26.52,2257600
2007-08-22,34.75,35.34,34.3,34.86,26.67,2233000
2007-08-23,35.25,35.53,34.87,35.36,27.05,3054100
2007-08-24,35.28,37.0,35.1,36.27,27.75,2105000
2007-08-27,36.2,36.56,35.4,35.47,27.13,1431200
2007-08-28,34.95,35.63,34.9,35.12,26.87,2243100
2007-08-29,35.32,35.5,34.81,35.36,27.05,1615900
2007-08-30,35.08,35.97,34.63,34.96,26.74,1590000
2007-08-31,34.53,35.55,34.0,34.87,26.67,2286900
2007-09-04,34.87,35.02,34.3,34.91,26.71,1909800
2007-09-05,34.5,34.77,33.95,34.69,26.54,2133000
2007-09-06,34.38,36.69,34.27,35.23,26.95,3414500
2007-09-07,34.8,34.81,33.15,33.5,25.63,1869400
2007-09-10,33.41,33.95,33.17,33.2,25.4,2339000
2007-09-11,33.27,33.46,32.6,33.04,25.27,1921100
2007-09-12,32.82,33.19,32.4,32.56,24.91,2867900
2007-09-13,33.01,33.22,32.65,32.89,25.16,2351800
2007-09-14,32.68,33.69,32.63,33.06,25.29,2744500
2007-09-17,32.8,33.31,32.59,33.14,25.35,2246100
2007-09-18,33.03,34.99,32.62,33.59,25.7,2236900
2007-09-19,33.95,34.59,32.54,33.07,25.3,13839200
2007-09-20,33.07,33.66,32.8,33.46,25.6,1813000
2007-09-21,33.86,33.97,33.18,33.45,25.59,2627700
2007-09-24,33.53,33.71,33.03,33.39,25.54,1549200
2007-09-25,33.33,33.77,33.14,33.77,25.83,1516500
2007-09-26,34.25,35.35,34.22,34.54,26.42,3838100
2007-09-27,34.74,35.75,34.54,35.18,26.91,2099800
2007-09-28,35.02,35.53,34.85,35.43,27.21,1689100
2007-10-01,35.7,36.64,34.93,36.28,27.86,2717400
2007-10-02,36.0,36.25,35.72,35.95,27.61,3089200
2007-10-03,35.96,36.0,35.25,35.66,27.39,2326900
2007-10-04,35.66,36.47,34.92,35.9,27.57,3080200
2007-10-05,35.85,36.89,35.81,36.05,27.69,2334300
2007-10-08,36.23,37.33,36.18,37.12,28.51,1454000
2007-10-09,37.12,37.33,36.57,36.73,28.21,1705100
2007-10-10,36.39,37.12,36.33,36.84,28.29,5578300
2007-10-11,37.0,37.24,36.35,36.65,28.15,2205100
2007-10-12,36.49,37.09,36.37,37.0,28.42,1053800
2007-10-15,37.15,37.43,36.81,36.97,28.39,1559500
2007-10-16,37.0,37.2,36.58,36.99,28.41,1651000
2007-10-17,37.1,37.5,36.6,36.9,28.34,3160400
2007-10-18,36.77,36.93,36.65,36.88,28.32,1985200
2007-10-19,36.82,36.92,36.06,36.24,27.83,2755100
2007-10-22,35.89,36.3,35.27,35.68,27.4,2174900
2007-10-23,35.9,36.1,35.0,35.12,26.97,1272900
2007-10-24,35.1,35.1,33.89,34.56,26.54,1403600
2007-10-25,34.64,34.65,33.77,34.04,26.14,1674200
2007-10-26,34.28,34.49,33.48,33.7,25.88,1261800
2007-10-29,33.94,34.6,33.87,34.38,26.4,1365500
2007-10-30,34.25,35.54,34.08,35.0,26.88,1200900
2007-10-31,34.95,35.76,34.73,35.67,27.4,1849800
2007-11-01,35.62,36.0,35.02,35.17,27.01,1795700
2007-11-02,34.75,35.74,34.75,35.37,27.17,1401800
2007-11-05,35.23,35.23,33.54,33.76,25.93,1598700
2007-11-06,33.76,33.77,32.65,33.77,25.94,1189300
2007-11-07,33.36,33.48,32.55,32.99,25.34,3030400
2007-11-08,33.02,33.38,32.85,33.14,25.45,3261500
2007-11-09,32.64,33.22,31.77,32.57,25.01,3085100
2007-11-12,32.45,32.61,31.31,31.36,24.09,1948100
2007-11-13,31.38,33.41,31.36,32.35,24.85,1823200
2007-11-14,32.61,33.06,32.47,32.5,24.96,2809200
2007-11-15,32.31,33.15,31.98,33.1,25.42,2679700
2007-11-16,34.87,35.86,34.11,35.02,26.9,6458800
2007-11-19,34.73,35.78,34.73,35.05,26.92,4377100
2007-11-20,35.04,35.36,34.66,35.2,27.03,2640700
2007-11-21,34.84,35.55,34.55,35.01,26.89,2227100
2007-11-23,35.17,35.43,34.79,35.43,27.21,662200
2007-11-26,35.36,35.95,34.48,34.64,26.6,2325800
2007-11-27,34.75,35.01,34.06,34.48,26.48,4715300
2007-11-28,34.67,35.96,34.28,35.69,27.41,3414200
2007-11-29,35.51,36.82,35.39,36.6,28.11,1798100
2007-11-30,36.67,37.45,36.37,37.39,28.72,2650500
2007-12-03,37.01,37.62,37.01,37.26,28.62,2239000
2007-12-04,36.96,37.26,36.67,36.8,28.26,1436000
2007-12-05,37.07,37.07,36.4,36.8,28.26,2212900
2007-12-06,36.79,37.97,36.72,37.63,28.9,1866100
2007-12-07,37.62,37.81,37.07,37.42,28.74,1468900
2007-12-10,37.45,37.49,36.6,37.38,28.71,1351600
2007-12-11,37.36,37.89,36.43,36.51,28.04,2054500
2007-12-12,37.24,37.44,36.55,37.14,28.52,1974900
