Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,36.88,37.12,36.69,36.72,25.53,1152800
2000-01-03,36.12,36.38,35.12,36.03,25.05,2870400
2000-01-04,34.75,35.34,34.31,34.47,23.96,3856400
2000-01-05,34.47,34.97,33.5,33.69,23.42,4330600
2000-01-06,33.0,33.12,31.84,32.09,22.31,8167400
2000-01-07,32.0,33.84,31.91,33.75,23.46,4402600
2000-01-10,33.25,33.75,32.78,33.09,23.01,2559600
2000-01-11,33.03,34.25,33.0,34.09,23.7,3790400
2000-01-12,34.16,34.38,33.56,33.72,23.44,3191400
2000-01-13,34.56,35.0,34.22,34.5,23.98,5080200
2000-01-14,35.0,35.22,34.44,34.62,24.07,2916600
2000-01-18,33.75,34.25,33.62,34.0,23.64,1939200
2000-01-19,34.03,35.91,33.5,34.97,24.31,3417000
2000-01-20,34.97,35.09,33.5,33.84,23.53,3005400
2000-01-21,34.38,34.5,32.25,32.41,22.53,5370200
2000-01-24,32.75,33.12,31.62,31.75,22.07,5629400
2000-01-25,32.25,32.72,31.44,32.56,22.64,4761400
2000-01-26,32.5,34.25,32.5,34.06,23.68,5087000
2000-01-27,33.97,34.0,32.91,33.66,23.4,4697200
2000-01-28,33.72,33.72,31.5,31.69,22.03,4666800
2000-01-31,31.88,33.12,31.69,32.94,22.9,3084800
2000-02-01,33.0,34.06,32.56,33.72,23.44,2733200
2000-02-02,33.75,34.56,33.03,34.0,23.64,3095800
2000-02-03,33.88,33.88,32.81,33.03,22.96,4748800
2000-02-04,33.47,33.75,31.88,32.31,22.46,4543600
2000-02-07,32.5,33.25,32.31,32.84,22.83,2819400
2000-02-08,32.84,34.38,32.81,34.34,23.88,3512200
2000-02-09,34.34,34.34,33.5,33.59,23.35,2085400
2000-02-10,33.66,34.12,33.06,33.22,23.09,1900000
2000-02-11,33.28,33.44,33.03,33.03,22.96,2102400
2000-02-14,33.06,33.06,32.19,32.62,22.68,1876800
2000-02-15,32.5,32.5,31.44,31.97,22.22,2811400
2000-02-16,31.88,32.62,30.72,30.91,21.52,3917000
2000-02-17,30.91,31.12,29.25,29.94,20.84,5698600
2000-02-18,29.94,30.38,29.09,29.5,20.54,5321600
2000-02-22,29.41,29.91,27.72,28.88,20.1,5649200
2000-02-23,29.12,29.16,28.34,28.41,19.78,3702200
2000-02-24,28.41,28.41,26.88,27.94,19.45,4127400
2000-02-25,28.03,28.38,27.44,27.94,19.45,4806600
2000-02-28,28.62,29.53,28.31,29.44,20.5,3935000
2000-02-29,29.44,30.25,29.06,29.5,20.54,3704400
2000-03-01,29.47,30.0,29.25,29.62,20.63,4027400
2000-03-02,29.69,31.19,29.69,30.12,20.98,4042600
2000-03-03,30.5,31.38,29.94,30.88,21.5,2528000
2000-03-06,30.97,31.09,29.97,30.38,21.15,2646000
2000-03-07,30.0,30.03,28.78,29.0,20.19,3787200
2000-03-08,28.44,29.09,28.44,29.09,20.26,5544800
2000-03-09,29.12,30.25,28.31,30.03,20.91,2846400
2000-03-10,30.25,31.0,30.22,30.41,21.17,2626600
2000-03-13,29.75,30.88,29.25,30.72,21.39,3464400
2000-03-14,30.72,31.47,30.19,30.47,21.21,2396800
2000-03-15,30.5,32.31,30.12,32.0,22.28,3036200
2000-03-16,32.5,35.62,32.5,35.56,24.76,5595000
2000-03-17,35.0,35.62,34.53,34.75,24.2,6235200
2000-03-20,34.56,34.62,33.0,33.19,23.11,5328200
2000-03-21,33.12,33.94,32.66,33.47,23.3,4826400
2000-03-22,33.19,33.69,32.47,33.34,23.22,3030600
2000-03-23,33.12,34.38,32.66,34.0,23.67,2861400
