Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,43.78,45.0,43.75,44.62,33.3,146400
2000-01-03,44.5,44.5,41.5,42.47,31.69,858800
2000-01-04,41.94,42.25,39.81,41.12,30.69,1052800
2000-01-05,41.19,41.19,39.78,40.12,29.94,692800
2000-01-06,41.62,42.0,37.75,38.5,28.73,2857800
2000-01-07,41.0,41.69,40.12,41.22,30.76,3704600
2000-01-10,41.75,44.44,41.53,44.0,32.83,1266200
2000-01-11,44.03,44.03,42.69,43.59,32.53,1796800
2000-01-12,43.88,43.88,42.25,42.88,31.99,777400
2000-01-13,42.75,43.88,42.44,43.16,32.2,469200
2000-01-14,43.5,44.0,43.22,43.81,32.69,463800
2000-01-18,43.31,44.06,42.81,43.59,32.53,619400
2000-01-19,43.38,43.69,43.09,43.25,32.27,429600
2000-01-20,43.38,43.41,40.75,41.47,30.94,1141800
2000-01-21,41.47,41.47,38.75,39.75,29.66,1570400
2000-01-24,39.75,40.25,35.5,37.25,27.8,2471800
2000-01-25,37.25,38.12,36.38,37.5,27.98,1158200
2000-01-26,37.88,38.94,37.88,38.34,28.61,1052200
2000-01-27,38.34,38.88,37.03,37.5,27.98,639600
2000-01-28,36.69,36.72,35.94,36.19,27.0,829400
2000-01-31,36.25,37.19,35.16,37.0,27.61,739200
2000-02-01,36.19,36.69,35.72,36.09,26.93,2163400
2000-02-02,35.97,36.25,34.56,34.56,25.79,1586800
2000-02-03,34.94,36.12,34.75,35.88,26.77,1660800
2000-02-04,36.81,37.0,35.5,35.81,26.72,758400
2000-02-07,35.47,35.47,33.78,34.97,26.09,908400
2000-02-08,35.38,35.56,33.97,34.38,25.65,984800
2000-02-09,34.62,34.69,33.03,33.16,24.74,647800
2000-02-10,33.25,34.31,33.19,33.72,25.16,1124600
2000-02-11,34.06,34.22,32.03,32.44,24.21,1389200
2000-02-14,32.75,33.88,31.62,33.38,24.9,890400
2000-02-15,33.38,33.38,32.5,32.91,24.55,384600
2000-02-16,32.91,32.91,29.97,30.97,23.11,1130200
2000-02-17,31.5,31.75,30.47,30.62,22.85,1171200
2000-02-18,30.78,31.0,27.53,28.22,21.06,2134600
2000-02-22,29.0,29.38,27.25,28.37,21.17,1749400
2000-02-23,30.19,30.25,29.06,29.66,22.13,1638200
2000-02-24,30.19,30.5,28.53,29.41,21.94,2171000
2000-02-25,29.47,30.22,29.47,29.62,22.11,923800
2000-02-28,29.59,32.09,28.97,31.75,23.69,1924600
2000-02-29,32.56,32.75,31.31,32.0,23.88,2176000
2000-03-01,32.5,34.5,31.5,34.34,25.63,2566600
2000-03-02,34.34,34.34,33.25,33.69,25.14,1359600
2000-03-03,33.94,34.47,33.62,34.25,25.56,784600
2000-03-06,34.25,34.25,32.25,32.72,24.41,746600
2000-03-07,33.0,33.47,30.31,30.97,23.11,1485000
2000-03-08,30.97,31.72,30.72,31.28,23.34,792000
