Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,2.52,2.59,2.5,2.55,2.04,3789600
2000-01-03,2.55,2.56,2.48,2.54,2.03,14484000
2000-01-04,2.51,2.53,2.33,2.41,1.92,18216800
2000-01-05,2.41,2.43,2.34,2.34,1.87,24022400
2000-01-06,2.5,2.59,2.46,2.48,1.98,26992000
2000-01-07,2.48,2.6,2.44,2.54,2.03,17420000
2000-01-10,2.52,2.54,2.49,2.5,2.0,15232800
2000-01-11,2.5,2.52,2.45,2.46,1.97,19578400
2000-01-12,2.46,2.47,2.44,2.44,1.95,16377600
2000-01-13,2.44,2.46,2.38,2.44,1.95,18737600
2000-01-14,2.43,2.49,2.42,2.46,1.97,9264800
2000-01-18,2.43,2.45,2.37,2.38,1.9,7888000
2000-01-19,2.41,2.42,2.3,2.3,1.84,14485600
2000-01-20,2.36,2.38,2.27,2.31,1.85,9239200
2000-01-21,2.28,2.29,2.11,2.16,1.72,43389600
2000-01-24,2.09,2.15,2.06,2.08,1.66,28382400
2000-01-25,2.08,2.15,2.07,2.12,1.7,13167200
2000-01-26,2.1,2.19,2.1,2.17,1.73,16465600
2000-01-27,2.16,2.23,2.11,2.14,1.71,12228800
2000-01-28,2.11,2.12,2.03,2.04,1.63,13932000
2000-01-31,2.05,2.06,2.01,2.04,1.63,11296800
2000-02-01,2.01,2.09,2.01,2.08,1.66,10495200
2000-02-02,2.09,2.22,2.01,2.19,1.75,11921600
2000-02-03,2.16,2.32,2.12,2.27,1.82,22321600
2000-02-04,2.27,2.33,2.16,2.29,1.83,21488800
2000-02-07,2.23,2.24,2.12,2.15,1.72,17973600
2000-02-08,2.17,2.22,2.17,2.2,1.76,13179200
2000-02-09,2.19,2.19,2.12,2.13,1.71,9064800
2000-02-10,2.12,2.19,2.05,2.16,1.73,9249600
2000-02-11,2.17,2.17,2.05,2.09,1.68,9435200
2000-02-14,2.1,2.11,2.04,2.09,1.67,6545600
2000-02-15,2.09,2.09,2.02,2.04,1.63,9323200
2000-02-16,2.05,2.05,1.94,1.95,1.56,13372000
2000-02-17,1.95,2.02,1.88,1.9,1.52,15456000
2000-02-18,1.92,1.95,1.88,1.89,1.51,13061600
2000-02-22,1.92,1.92,1.84,1.86,1.49,8357600
2000-02-23,1.88,1.9,1.84,1.84,1.47,6146400
2000-02-24,1.81,1.83,1.74,1.78,1.43,10845600
2000-02-25,1.78,1.84,1.74,1.77,1.41,13180800
2000-02-28,1.77,1.88,1.77,1.88,1.5,24096000
2000-02-29,1.89,2.03,1.89,1.99,1.59,26546400
2000-03-01,2.02,2.08,1.95,2.06,1.65,27174400
2000-03-02,2.07,2.16,2.06,2.09,1.68,15819200
2000-03-03,2.03,2.16,1.95,2.12,1.69,11916000
2000-03-06,2.09,2.09,2.02,2.05,1.64,7564000
2000-03-07,2.03,2.04,1.94,1.95,1.56,8252000
2000-03-08,1.88,1.97,1.85,1.97,1.58,17496800
2000-03-09,1.94,1.96,1.91,1.95,1.56,25407200
2000-03-10,1.91,1.94,1.9,1.91,1.53,16752800
2000-03-13,1.89,1.89,1.81,1.88,1.5,18860000
2000-03-14,1.87,1.92,1.84,1.89,1.51,15794400
2000-03-15,1.86,2.15,1.84,2.12,1.7,27708800
2000-03-16,2.22,2.62,2.2,2.5,2.0,50528800
2000-03-17,2.52,2.52,2.38,2.38,1.9,31469600
2000-03-20,2.41,2.47,2.38,2.46,1.97,13784800
2000-03-21,2.49,2.53,2.46,2.5,2.0,29170400
2000-03-22,2.49,2.5,2.44,2.49,1.99,20886400
2000-03-23,2.49,2.5,2.45,2.49,1.99,12995200
2000-03-24,2.5,2.62,2.48,2.61,2.09,19417600
2000-03-27,2.59,2.63,2.56,2.59,2.07,18944000
2000-03-28,2.62,2.8,2.6,2.63,2.11,20434400
2000-03-29,2.66,2.67,2.58,2.64,2.11,21820800
2000-03-30,2.63,3.0,2.63,2.87,2.29,36228800
2000-03-31,2.89,3.07,2.77,2.77,2.22,44549600
2000-04-03,2.81,3.0,2.81,2.98,2.38,18180000
2000-04-04,2.98,3.05,2.78,2.91,2.33,21895200
2000-04-05,2.95,2.98,2.88,2.96,2.37,9339200
2000-04-06,2.95,2.96,2.81,2.88,2.3,29628000
2000-04-07,2.88,2.95,2.82,2.86,2.29,18076800
2000-04-10,2.82,2.83,2.75,2.77,2.22,22452000
2000-04-11,2.75,2.77,2.66,2.72,2.18,20360800
2000-04-12,2.72,2.79,2.7,2.7,2.16,18223200
2000-04-13,2.73,2.77,2.63,2.63,2.11,26545600
2000-04-14,2.62,2.63,2.42,2.47,1.98,21734400
2000-04-17,2.5,2.52,2.48,2.5,2.0,16349600
2000-04-18,2.5,2.55,2.48,2.52,2.01,9162400
2000-04-19,2.55,2.59,2.52,2.55,2.04,7352800
2000-04-20,2.58,2.59,2.54,2.56,2.05,11044000
2000-04-24,2.53,2.59,2.52,2.55,2.04,11687200
2000-04-25,2.52,2.54,2.47,2.48,1.98,21580800
2000-04-26,2.49,2.5,2.3,2.32,1.86,20153600
2000-04-27,2.25,2.3,2.17,2.25,1.8,18437600
2000-04-28,2.41,2.48,2.37,2.4,1.92,15627200
2000-05-01,2.41,2.43,2.38,2.42,1.94,13691200
2000-05-02,2.38,2.4,2.26,2.38,1.91,17750400
2000-05-03,2.33,2.33,2.23,2.23,1.79,19820000
2000-05-04,2.34,2.39,2.3,2.34,1.87,13243200
2000-05-05,2.3,2.41,2.3,2.35,1.88,9849600
2000-05-08,2.34,2.35,2.25,2.27,1.82,16074400
2000-05-09,2.3,2.34,2.28,2.32,1.86,8495200
2000-05-10,2.3,2.32,2.27,2.28,1.83,9864800
2000-05-11,2.27,2.28,2.2,2.25,1.8,11016800
2000-05-12,2.27,2.28,2.24,2.26,1.81,9217600
2000-05-15,2.27,2.44,2.27,2.44,1.96,13791200
2000-05-16,2.55,2.58,2.47,2.5,2.01,19102400
2000-05-17,2.47,2.5,2.45,2.45,1.97,14739200
2000-05-18,2.39,2.51,2.39,2.5,2.01,16905600
2000-05-19,2.48,2.58,2.48,2.56,2.06,15934400
2000-05-22,2.58,2.61,2.52,2.55,2.04,8154400
2000-05-23,2.56,2.71,2.55,2.65,2.12,11828800
2000-05-24,2.66,2.66,2.57,2.61,2.09,17385600
2000-05-25,2.61,2.66,2.59,2.61,2.09,12440000
2000-05-26,2.61,2.61,2.59,2.59,2.07,3437600
