Date,Open,High,Low,Close,Adj Close,Volume
2000-10-06,2.55,2.58,2.34,2.44,1.81,7776800
2000-10-09,2.43,2.43,2.27,2.27,1.69,2759200
2000-10-10,2.25,2.38,2.25,2.3,1.71,2257600
2000-10-11,2.29,2.29,2.2,2.22,1.65,3709600
2000-10-12,2.19,2.19,2.0,2.11,1.57,4552000
2000-10-13,2.08,2.16,2.06,2.16,1.6,1595200
2000-10-16,2.16,2.19,2.14,2.16,1.61,1236800
2000-10-17,2.16,2.33,2.16,2.3,1.71,620000
2000-10-18,2.28,2.3,2.17,2.18,1.62,1392000
2000-10-19,2.2,2.2,2.12,2.13,1.59,1219200
2000-10-20,2.15,2.15,2.11,2.12,1.58,1064800
2000-10-23,2.12,2.12,2.09,2.09,1.56,1488800
2000-10-24,2.12,2.19,2.12,2.19,1.63,533600
2000-10-25,2.19,2.34,2.17,2.28,1.7,1664000
2000-10-26,2.27,2.27,2.2,2.27,1.69,338400
2000-10-27,2.29,2.45,2.27,2.44,1.81,400000
2000-10-30,2.41,2.69,2.41,2.69,2.0,741600
2000-10-31,2.81,3.03,2.81,2.92,2.17,3561600
2000-11-01,2.89,2.93,2.8,2.9,2.16,2935200
2000-11-02,2.91,3.02,2.89,2.98,2.22,914400
2000-11-03,2.95,3.16,2.88,3.16,2.35,2640800
2000-11-06,3.16,3.16,3.0,3.01,2.24,677600
2000-11-07,3.0,3.0,2.89,2.97,2.21,866400
2000-11-08,2.78,3.0,2.7,3.0,2.23,2896000
2000-11-09,3.0,3.03,2.92,2.99,2.23,1449600
2000-11-10,2.98,3.12,2.98,3.09,2.3,368000
2000-11-13,3.06,3.06,2.75,2.77,2.06,726400
2000-11-14,2.75,2.84,2.66,2.84,2.12,1000800
2000-11-15,2.86,2.91,2.8,2.88,2.14,736800
2000-11-16,2.86,2.88,2.86,2.87,2.13,72800
2000-11-17,2.89,2.92,2.85,2.92,2.17,272800
2000-11-20,2.91,2.91,2.75,2.84,2.12,264800
2000-11-21,2.84,2.84,2.82,2.83,2.11,712800
2000-11-22,2.84,2.88,2.81,2.88,2.14,404000
2000-11-24,2.88,2.88,2.87,2.88,2.14,242400
2000-11-27,2.91,2.98,2.88,2.97,2.21,833600
2000-11-28,2.95,3.02,2.94,2.94,2.19,1260800
2000-11-29,2.91,2.91,2.75,2.78,2.07,128000
2000-11-30,2.75,2.77,2.72,2.77,2.06,688000
2000-12-01,2.73,2.75,2.69,2.75,2.05,416800
2000-12-04,2.73,2.89,2.73,2.89,2.15,1025600
