Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,33.19,33.75,33.12,33.69,20.29,101100
2000-01-03,33.25,33.25,32.62,33.0,19.87,336400
2000-01-04,32.5,33.0,32.19,32.56,19.61,494400
2000-01-05,32.56,33.31,32.25,32.31,19.46,736000
2000-01-06,32.31,33.38,31.81,32.94,19.83,660400
2000-01-07,33.44,34.75,33.31,34.25,20.62,594700
2000-01-10,34.75,34.75,33.12,33.62,20.25,389900
2000-01-11,33.38,33.75,32.88,33.25,20.02,812900
2000-01-12,33.0,33.62,32.75,33.31,20.06,561500
2000-01-13,33.31,34.19,33.31,34.0,20.47,589600
2000-01-14,33.94,34.69,33.62,34.0,20.47,599300
2000-01-18,33.75,33.75,32.5,32.75,19.72,945900
2000-01-19,32.5,33.25,32.38,32.81,19.76,988100
2000-01-20,32.75,32.81,32.25,32.62,19.65,943400
2000-01-21,32.0,32.06,31.0,31.5,18.97,1000300
2000-01-24,31.62,32.44,31.31,32.12,19.34,586500
2000-01-25,32.12,32.81,31.25,31.38,18.89,609700
2000-01-26,31.44,32.44,31.19,32.38,19.5,503300
2000-01-27,32.0,32.38,29.81,30.56,18.4,1316500
2000-01-28,30.06,30.19,29.31,30.0,18.07,814900
2000-01-31,29.81,30.19,29.12,30.19,18.18,612200
2000-02-01,30.0,30.0,27.5,29.31,17.65,1023000
2000-02-02,29.38,29.38,27.5,27.88,16.79,1416900
2000-02-03,27.88,27.88,26.38,26.62,16.03,1374600
2000-02-04,26.75,27.19,25.75,26.75,16.11,1507200
2000-02-07,26.75,27.0,26.25,26.62,16.03,1126800
2000-02-08,26.75,26.81,26.12,26.31,15.84,1073900
2000-02-09,26.25,26.44,25.31,25.44,15.32,1127900
2000-02-10,25.0,25.25,24.19,24.5,14.75,3271100
2000-02-11,24.56,24.75,23.75,24.38,14.68,680900
2000-02-14,24.25,24.56,24.06,24.25,14.6,436300
2000-02-15,24.5,24.62,24.19,24.31,14.64,689700
2000-02-16,24.31,24.94,24.31,24.5,14.75,1297000
2000-02-17,24.88,25.12,24.25,24.62,14.83,562200
2000-02-18,24.56,24.69,23.12,23.62,14.23,529900
2000-02-22,23.62,24.5,23.06,23.88,14.38,966400
2000-02-23,23.75,24.12,23.5,23.75,14.3,1101500
2000-02-24,23.62,23.75,22.25,22.75,13.7,803000
2000-02-25,23.5,23.75,22.81,22.88,13.77,545200
2000-02-28,23.19,23.62,23.06,23.06,13.89,971800
2000-02-29,23.12,23.56,22.25,22.38,13.47,1211500
2000-03-01,22.5,23.25,21.75,22.56,13.59,1397000
2000-03-02,22.56,23.06,22.06,22.62,13.62,1166300
2000-03-03,22.56,23.44,22.31,22.56,13.59,668600
2000-03-06,22.31,22.69,22.19,22.44,13.51,793900
2000-03-07,22.44,22.69,22.06,22.06,13.29,885100
2000-03-08,22.12,22.5,21.38,21.75,13.1,661200
2000-03-09,21.38,23.19,21.31,22.75,13.7,1607800
2000-03-10,22.75,23.25,22.62,23.0,13.85,634300
2000-03-13,22.75,22.75,22.25,22.5,13.55,1183300
2000-03-14,22.5,23.5,22.12,22.31,13.44,1030100
2000-03-15,22.75,24.5,22.69,23.88,14.38,853100
2000-03-16,24.5,27.38,24.5,27.19,16.37,1798200
2000-03-17,27.19,27.75,26.12,26.62,16.03,1410200
2000-03-20,26.75,27.0,26.12,26.31,15.84,720700
2000-03-21,26.06,27.75,26.06,27.56,16.6,934700
2000-03-22,27.12,27.88,26.88,27.38,16.48,794500
2000-03-23,27.06,29.25,27.06,28.25,17.01,1290000
2000-03-24,28.88,29.94,28.62,29.5,17.76,754100
2000-03-27,29.25,29.56,29.06,29.5,17.76,1205100
2000-03-28,29.44,30.81,29.44,30.0,18.07,1754800
2000-03-29,29.62,30.0,29.56,29.94,18.19,775000
2000-03-30,30.5,33.0,30.31,32.62,19.82,1717400
2000-03-31,32.69,34.31,32.62,34.12,20.74,2262800
2000-04-03,34.0,34.38,33.44,34.0,20.66,1440600
2000-04-04,34.88,35.0,32.81,33.0,20.05,1644700
2000-04-05,33.12,33.5,32.69,32.69,19.86,754000
2000-04-06,32.94,33.0,31.75,32.25,19.6,1125800
2000-04-07,33.0,33.12,31.62,31.88,19.37,626200
2000-04-10,32.0,32.31,31.5,32.12,19.52,512100
2000-04-11,31.88,32.44,31.62,32.31,19.63,557300
2000-04-12,33.0,33.25,32.5,32.5,19.75,1086300
2000-04-13,32.75,32.94,32.12,32.88,19.98,729200
2000-04-14,32.25,32.25,29.88,30.0,18.23,756600
2000-04-17,31.0,31.0,29.62,30.06,18.27,996200
2000-04-18,30.0,31.0,29.69,30.88,18.76,622600
2000-04-19,30.56,30.62,29.62,29.88,18.15,678400
2000-04-20,29.75,30.88,29.31,30.69,18.65,1593500
2000-04-24,30.88,31.25,30.25,31.12,18.91,1222800
2000-04-25,31.12,33.12,31.12,33.0,20.05,1421500
2000-04-26,33.5,33.5,32.5,32.75,19.9,976300
2000-04-27,32.25,33.5,31.62,33.25,20.2,1988700
2000-04-28,33.5,36.38,33.06,35.62,21.65,1365100
2000-05-01,35.69,36.88,34.81,35.25,21.42,1281500
2000-05-02,35.56,35.75,34.88,35.44,21.53,1008000
2000-05-03,35.44,35.5,33.56,33.62,20.43,567800
