Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,16.31,16.56,16.19,16.25,12.72,457000
2000-01-03,16.38,16.38,16.0,16.06,12.58,235200
2000-01-04,16.0,16.12,15.94,16.0,12.53,188600
2000-01-05,16.0,16.31,16.0,16.06,12.58,168900
2000-01-06,16.19,16.31,16.0,16.19,12.67,177700
2000-01-07,16.31,16.94,16.31,16.94,13.26,170300
2000-01-10,16.94,16.94,16.69,16.75,13.11,204000
2000-01-11,16.5,16.94,16.5,16.88,13.21,182200
2000-01-12,16.81,16.94,16.5,16.56,12.97,90500
2000-01-13,17.38,17.38,17.0,17.19,13.46,602200
2000-01-14,17.19,17.19,16.12,16.31,12.77,227500
2000-01-18,16.31,16.38,15.94,16.0,12.53,228600
2000-01-19,16.0,16.06,15.75,15.75,12.33,199800
2000-01-20,15.88,15.94,15.62,15.62,12.23,215600
2000-01-21,15.69,15.69,15.38,15.44,12.09,152800
2000-01-24,15.38,15.5,14.81,14.81,11.6,293500
2000-01-25,14.88,14.88,13.62,14.25,11.16,723800
2000-01-26,14.25,14.56,13.88,14.0,10.96,262000
2000-01-27,14.0,14.25,13.81,14.19,11.11,239100
2000-01-28,14.25,14.31,13.88,14.25,11.16,251700
2000-01-31,14.38,14.38,13.56,13.69,10.72,506400
2000-02-01,13.69,14.0,13.69,13.88,10.86,348800
2000-02-02,14.0,14.12,13.5,13.56,10.62,717300
2000-02-03,13.62,13.75,13.12,13.25,10.37,486700
2000-02-04,13.12,13.25,12.94,13.0,10.18,442700
2000-02-07,13.0,13.0,12.56,12.88,10.08,217400
2000-02-08,12.88,12.88,12.56,12.81,10.03,539500
2000-02-09,12.88,12.94,12.44,12.5,9.79,280900
2000-02-10,12.38,12.56,11.75,11.94,9.35,414400
2000-02-11,11.94,12.0,11.0,11.25,8.81,826500
2000-02-14,11.25,11.44,10.75,11.0,8.61,605600
2000-02-15,11.0,11.12,10.75,10.81,8.47,714100
2000-02-16,10.94,11.0,10.75,10.88,8.51,423500
2000-02-17,10.94,11.06,10.62,10.75,8.42,518300
2000-02-18,10.75,10.81,10.56,10.69,8.37,353300
2000-02-22,10.81,10.94,10.5,10.62,8.32,443700
2000-02-23,10.62,10.62,9.81,9.94,7.78,455300
2000-02-24,10.0,10.06,9.75,9.94,7.78,769400
2000-02-25,10.12,11.56,10.12,10.94,8.56,720700
2000-02-28,11.62,11.75,10.75,10.88,8.55,394900
2000-02-29,10.88,11.25,10.31,10.31,8.1,688900
2000-03-01,10.44,11.0,10.25,10.56,8.3,377800
2000-03-02,10.62,10.81,10.31,10.44,8.2,395000
2000-03-03,10.56,10.75,10.19,10.44,8.2,321000
2000-03-06,10.44,10.62,10.06,10.06,7.91,361700
2000-03-07,10.06,10.31,9.75,9.88,7.76,443200
2000-03-08,9.94,10.19,9.88,10.0,7.86,665400
2000-03-09,10.12,10.62,10.0,10.12,7.96,532400
2000-03-10,10.0,10.12,9.12,9.38,7.37,837900
2000-03-13,9.5,9.88,9.31,9.38,7.37,304400
2000-03-14,9.56,9.75,9.25,9.31,7.32,421300
2000-03-15,9.0,9.0,8.5,9.0,7.07,1607400
2000-03-16,9.0,10.5,8.88,10.12,7.96,970200
2000-03-17,9.88,10.38,9.75,9.75,7.66,657400
2000-03-20,10.0,10.5,9.88,10.06,7.91,436500
2000-03-21,10.19,10.5,10.0,10.44,8.2,424100
2000-03-22,10.5,10.56,10.38,10.5,8.25,578700
2000-03-23,10.75,11.0,10.56,10.88,8.55,459900
2000-03-24,10.88,10.88,10.44,10.62,8.35,799700
2000-03-27,10.62,10.75,10.0,10.12,7.96,409200
2000-03-28,10.0,10.44,10.0,10.25,8.05,468100
2000-03-29,10.25,10.38,9.94,10.12,7.96,339700
2000-03-30,10.12,11.12,10.12,10.69,8.4,560900
2000-03-31,10.81,11.12,10.31,11.12,8.74,1130400
2000-04-03,11.12,11.19,10.12,10.25,8.05,485300
2000-04-04,10.38,10.75,10.38,10.75,8.45,291100
2000-04-05,10.88,11.12,10.56,11.12,8.74,372700
2000-04-06,11.0,11.0,10.25,10.38,8.15,469600
2000-04-07,10.12,10.38,10.06,10.12,7.96,304900
2000-04-10,10.5,10.5,10.12,10.19,8.01,192000
2000-04-11,10.31,10.38,10.06,10.38,8.15,170700
2000-04-12,10.44,10.56,10.0,10.06,7.91,203800
2000-04-13,10.19,10.88,10.12,10.81,8.5,483400
2000-04-14,10.81,10.81,10.12,10.12,7.96,253600
2000-04-17,10.19,10.5,10.0,10.44,8.2,325100
2000-04-18,10.31,10.38,10.12,10.38,8.15,165300
2000-04-19,10.44,10.44,10.12,10.31,8.1,196800
2000-04-20,10.19,10.56,10.19,10.44,8.2,146200
2000-04-24,10.56,10.62,10.25,10.44,8.2,257100
2000-04-25,10.5,11.12,10.5,11.0,8.64,355300
2000-04-26,11.0,11.25,11.0,11.0,8.64,459400
2000-04-27,11.0,11.38,10.94,11.0,8.64,961900
2000-04-28,11.06,11.06,10.44,10.44,8.2,384800
2000-05-01,10.56,10.94,10.44,10.44,8.2,194400
2000-05-02,10.5,10.69,10.31,10.38,8.15,138200
2000-05-03,10.38,10.75,10.25,10.25,8.05,370800
2000-05-04,10.56,10.88,10.44,10.75,8.45,438900
2000-05-05,10.75,10.75,10.0,10.38,8.15,343800
2000-05-08,10.44,10.44,10.0,10.19,8.01,172500
2000-05-09,10.12,10.31,9.81,10.19,8.01,465700
2000-05-10,10.06,10.5,9.94,10.38,8.15,256100
2000-05-11,10.5,10.81,10.31,10.62,8.35,601400
2000-05-12,10.62,10.75,10.25,10.5,8.25,197500
2000-05-15,10.56,10.62,10.19,10.19,8.01,287600
2000-05-16,10.31,10.5,10.19,10.5,8.25,159100
2000-05-17,10.44,10.5,10.19,10.44,8.2,180400
