Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,48.94,49.28,48.31,48.31,35.13,5705600.0
2000-01-03,49.75,51.94,48.06,51.44,37.41,10815600.0
2000-01-04,50.75,50.81,48.88,49.25,35.82,7952400.0
2000-01-05,49.25,49.62,47.81,48.06,34.95,12142400.0
2000-01-06,48.19,48.75,45.25,46.75,34.0,11758400.0
2000-01-07,46.28,47.56,45.69,47.0,34.18,12938800.0
2000-01-10,49.22,50.62,48.75,50.22,36.52,9371200.0
2000-01-11,50.25,51.44,49.28,49.75,36.18,7636400.0
2000-01-12,49.62,51.53,49.22,50.5,36.73,6697600.0
2000-01-13,51.25,51.91,49.31,51.19,37.23,6548200.0
2000-01-14,52.44,54.06,52.38,53.94,39.23,8829000.0
2000-01-18,52.5,55.69,52.5,55.19,40.13,8800800.0
2000-01-19,55.97,56.0,54.69,54.75,39.82,6658400.0
2000-01-20,56.0,57.53,55.41,56.44,41.04,9374600.0
2000-01-21,57.38,57.56,54.97,55.4,40.29,8594600.0
2000-01-24,57.25,58.75,54.0,55.44,40.32,10265000.0
2000-01-25,56.44,58.62,55.56,56.94,41.41,15104800.0
2000-01-26,56.66,56.75,54.94,56.25,40.91,8639600.0
2000-01-27,56.12,58.25,54.84,56.5,41.1,9990800.0
2000-01-28,56.03,56.62,52.47,53.56,38.97,9993400.0
2000-01-31,53.47,54.0,51.0,53.88,39.19,9603000.0
2000-02-01,53.81,56.69,52.94,56.56,41.15,7616600.0
2000-02-02,57.69,60.25,57.22,59.69,43.42,10920800.0
2000-02-03,60.5,67.25,60.28,67.0,48.74,14903400.0
2000-02-04,65.88,69.5,65.12,66.0,48.02,11947600.0
2000-02-07,65.62,67.72,65.62,67.25,48.92,7854400.0
2000-02-08,67.56,69.81,67.38,69.44,50.52,7639600.0
2000-02-09,69.56,71.56,69.06,70.44,51.24,9807600.0
2000-02-10,70.31,72.5,69.0,72.5,52.74,6801800.0
2000-02-11,71.5,71.62,68.0,68.81,50.06,8288600.0
2000-02-14,69.38,69.62,66.0,67.31,48.97,8250200.0
2000-02-15,67.31,67.91,65.12,67.47,49.08,7677600.0
2000-02-16,67.94,69.88,67.66,67.88,49.38,8574000.0
2000-02-17,67.97,72.5,67.97,71.5,52.02,8459800.0
2000-02-18,72.5,72.5,67.0,67.0,48.74,9154600.0
2000-02-22,71.0,75.0,68.75,74.5,54.2,15547200.0
2000-02-23,74.41,76.56,72.25,73.56,53.52,11989800.0
2000-02-24,74.5,79.5,74.31,78.88,57.38,13451600.0
2000-02-25,78.69,80.38,76.38,76.62,55.75,9430200.0
2000-02-28,76.62,78.75,73.0,77.94,56.7,12205400.0
2000-02-29,78.5,84.84,78.5,83.06,60.43,11302200.0
2000-03-01,83.72,85.0,78.88,82.19,59.79,10125800.0
2000-03-02,82.03,87.69,80.0,86.5,62.93,11208200.0
2000-03-03,89.0,94.06,89.0,93.81,68.25,13211200.0
2000-03-06,96.12,99.78,90.75,93.0,67.66,12745000.0
2000-03-07,93.75,93.97,87.81,90.0,65.48,10917000.0
2000-03-08,90.0,90.12,84.16,86.0,62.57,12086200.0
2000-03-09,86.0,90.47,83.81,90.0,65.48,9660000.0
2000-03-10,90.19,92.0,86.75,90.38,65.75,8506000.0
2000-03-13,86.75,89.38,85.5,85.88,62.47,8810600.0
2000-03-14,87.0,88.19,76.56,78.25,56.93,12852600.0
2000-03-15,78.75,78.75,73.0,73.5,53.47,18261000.0
2000-03-16,75.06,80.97,71.91,80.0,58.2,15793800.0
2000-03-17,80.0,85.38,79.06,84.94,61.79,12554600.0
2000-03-20,85.0,87.59,82.25,83.56,60.79,8981800.0
2000-03-21,83.5,86.25,80.94,85.62,62.29,7923400.0
2000-03-22,87.0,90.25,83.88,89.0,64.75,9254600.0
2000-03-23,89.0,91.44,86.25,87.12,63.38,8781800.0
2000-03-24,88.12,92.47,86.0,88.28,64.23,10100800.0
2000-03-27,88.0,91.72,88.0,90.47,65.82,8098200.0
2000-03-28,90.25,90.44,87.75,89.44,65.07,8277600.0
2000-03-29,89.0,89.5,84.25,85.41,62.13,10445400.0
2000-03-30,85.41,85.5,77.5,81.56,59.34,12646200.0
2000-03-31,82.5,83.5,78.5,80.0,58.2,13718400.0
2000-04-03,80.0,80.28,74.88,75.38,54.84,11295600.0
2000-04-04,75.5,76.62,64.12,72.88,53.02,24174800.0
2000-04-05,72.97,80.09,71.19,75.0,54.56,15996000.0
2000-04-06,78.0,81.0,77.12,80.0,58.2,10249800.0
2000-04-07,82.0,83.31,80.38,83.25,60.57,7803000.0
2000-04-10,83.75,84.5,77.62,78.19,56.88,7877200.0
2000-04-11,76.0,77.94,73.03,75.0,54.56,13802800.0
2000-04-12,75.25,76.88,69.25,70.25,51.11,12635400.0
2000-04-13,70.81,74.88,68.62,70.94,51.61,12616200.0
2000-04-14,69.56,70.91,64.78,69.5,50.56,15033800.0
2000-04-17,65.38,79.5,65.38,74.5,54.2,16798400.0
2000-04-18,72.81,75.0,68.5,75.0,54.56,21243200.0
2000-04-19,75.0,76.5,71.31,71.5,52.02,11299800.0
2000-04-20,72.5,74.47,71.81,72.5,52.74,8532400.0
2000-04-24,71.0,72.78,69.88,70.62,51.38,8591800.0
2000-04-25,73.69,76.0,72.81,76.0,55.29,8429400.0
2000-04-26,77.5,77.97,73.88,74.5,54.2,7174800.0
