Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.05,9.05,8.97,9.0,8.27,131600
2000-01-03,9.03,9.47,9.03,9.31,8.56,535200
2000-01-04,9.27,9.27,9.05,9.12,8.39,290800
2000-01-05,9.16,9.5,9.16,9.5,8.73,532000
2000-01-06,9.47,10.23,9.45,10.2,9.38,1078400
2000-01-07,10.25,11.25,10.25,11.05,10.15,1452400
2000-01-10,11.16,11.75,11.16,11.58,10.64,1233600
2000-01-11,11.55,11.55,11.12,11.12,10.22,1100400
2000-01-12,11.14,11.17,11.0,11.08,10.18,360400
2000-01-13,11.06,11.5,11.06,11.5,10.57,556800
2000-01-14,11.5,11.67,11.34,11.45,10.52,858800
2000-01-18,11.52,11.62,11.41,11.44,10.51,230400
2000-01-19,11.41,11.42,10.88,11.14,10.24,782800
2000-01-20,12.0,12.14,11.88,12.0,11.03,1220800
2000-01-21,12.02,12.28,11.97,12.0,11.03,1683600
2000-01-24,11.97,12.05,11.94,12.0,11.03,1110400
2000-01-25,12.02,12.25,11.84,11.86,10.9,998400
2000-01-26,11.86,11.98,11.64,11.64,10.7,775200
2000-01-27,11.64,11.88,11.5,11.5,10.57,813200
2000-01-28,11.5,11.64,11.19,11.25,10.34,526800
2000-01-31,11.28,11.39,11.06,11.17,10.27,377600
2000-02-01,11.2,11.3,10.94,11.27,10.35,574800
2000-02-02,11.27,11.59,11.22,11.5,10.57,538000
2000-02-03,11.5,12.09,11.5,12.02,11.04,812000
2000-02-04,11.98,12.36,11.98,12.12,11.14,808800
2000-02-07,12.12,12.12,11.88,11.94,10.97,238000
2000-02-08,11.94,12.23,11.77,11.78,10.83,426400
2000-02-09,11.81,11.98,11.47,11.5,10.57,371600
2000-02-10,11.44,11.44,10.83,11.39,10.47,766800
2000-02-11,11.36,11.52,11.25,11.31,10.4,342400
2000-02-14,11.22,11.25,11.02,11.05,10.15,300800
2000-02-15,11.0,11.75,10.91,11.56,10.63,1029200
2000-02-16,11.55,11.55,10.78,10.78,9.91,565600
2000-02-17,10.84,10.84,10.55,10.62,9.76,774000
2000-02-18,10.62,10.62,10.14,10.22,9.39,958400
2000-02-22,10.22,10.22,9.81,10.08,9.26,1105600
2000-02-23,10.08,10.08,9.81,9.97,9.16,770000
2000-02-24,10.0,10.0,9.55,9.72,8.93,694400
2000-02-25,9.75,9.88,9.62,9.88,9.07,568400
2000-02-28,9.84,9.86,9.58,9.58,8.8,874400
2000-02-29,9.58,9.92,9.56,9.72,8.93,568400
2000-03-01,9.73,10.06,9.73,10.02,9.2,452800
2000-03-02,10.08,10.48,10.08,10.44,9.59,520800
2000-03-03,10.47,10.47,10.3,10.34,9.51,584800
2000-03-06,10.31,10.34,10.05,10.08,9.26,392000
2000-03-07,10.11,10.11,9.78,9.78,8.99,443200
2000-03-08,9.81,9.81,9.59,9.78,8.99,510800
2000-03-09,9.84,10.06,9.73,10.03,9.22,545200
2000-03-10,10.0,10.0,9.84,9.88,9.07,250800
2000-03-13,9.91,9.91,9.78,9.86,9.06,413600
2000-03-14,9.88,10.06,9.88,9.92,9.12,345600
2000-03-15,9.94,9.97,9.83,9.95,9.15,475200
2000-03-16,10.02,10.5,10.02,10.44,9.59,1466400
2000-03-17,10.44,10.58,10.23,10.42,9.58,433200
2000-03-20,10.42,10.53,10.34,10.47,9.62,408400
2000-03-21,10.59,10.73,10.55,10.69,9.82,198000
2000-03-22,10.75,11.16,10.75,11.05,10.15,788000
2000-03-23,11.03,11.03,10.94,10.97,10.08,220800
2000-03-24,10.94,11.14,10.92,11.12,10.22,442000
2000-03-27,11.09,11.09,10.81,10.92,10.04,489600
2000-03-28,10.89,10.91,10.78,10.8,9.92,423600
2000-03-29,10.81,10.98,10.78,10.84,9.96,548000
2000-03-30,10.88,11.33,10.88,11.33,10.41,429200
2000-03-31,11.3,12.53,11.3,12.25,11.26,1278000
2000-04-03,12.22,12.25,12.12,12.25,11.26,462000
2000-04-04,12.16,12.59,12.16,12.38,11.37,1647200
2000-04-05,12.31,12.55,12.31,12.52,11.5,906400
2000-04-06,12.64,12.69,12.59,12.69,11.66,758400
2000-04-07,12.69,12.69,12.56,12.67,11.64,389600
2000-04-10,12.64,12.98,12.62,12.92,11.87,765200
2000-04-11,12.88,13.02,12.81,13.0,11.95,532000
2000-04-12,12.91,13.53,12.89,13.48,12.39,1599600
2000-04-13,13.56,13.62,13.23,13.28,12.2,610000
2000-04-14,13.25,13.25,12.62,12.8,11.76,821600
2000-04-17,12.78,13.05,12.53,12.59,11.57,1036000
2000-04-18,12.59,13.0,12.25,13.0,11.95,1206800
2000-04-19,13.03,13.14,12.94,13.11,12.05,616800
2000-04-20,13.23,13.56,13.23,13.47,12.38,944400
2000-04-24,13.44,13.45,13.22,13.42,12.33,637600
2000-04-25,13.41,14.08,13.41,13.98,12.85,975600
2000-04-26,14.44,14.44,13.61,13.72,12.61,972400
2000-04-27,13.73,13.73,13.14,13.3,12.22,643600
2000-04-28,13.33,13.69,13.19,13.69,12.58,499600
2000-05-01,13.66,13.86,13.52,13.75,12.64,914800
2000-05-02,13.69,13.94,13.67,13.8,12.68,502800
2000-05-03,13.86,13.86,13.19,13.2,12.13,374400
2000-05-04,13.17,13.84,13.16,13.72,12.61,921200
2000-05-05,13.66,13.94,13.59,13.62,12.52,287600
2000-05-08,13.69,13.69,13.42,13.66,12.55,190400
2000-05-09,13.69,13.91,13.69,13.88,12.75,243600
2000-05-10,13.84,13.86,13.11,13.19,12.12,456000
2000-05-11,13.22,13.94,13.22,13.91,12.78,493200
2000-05-12,13.88,14.12,13.39,13.56,12.46,360000
2000-05-15,13.5,14.05,13.5,13.95,12.82,388800
2000-05-16,14.05,14.08,13.7,13.77,12.65,391200
2000-05-17,13.58,13.92,13.31,13.41,12.32,576800
2000-05-18,13.42,13.67,13.23,13.66,12.55,565600
2000-05-19,13.75,13.84,13.28,13.44,12.35,469200
2000-05-22,13.38,13.44,12.94,13.22,12.15,367600
2000-05-23,13.25,13.81,13.23,13.73,12.62,726800
2000-05-24,13.73,14.12,13.73,13.89,12.76,930000
2000-05-25,13.94,14.14,13.89,13.97,12.84,1070800
2000-05-26,13.97,14.0,13.75,13.81,12.69,196800
2000-05-30,13.88,14.09,13.75,14.0,12.86,596800
2000-05-31,14.0,14.0,13.28,13.28,12.2,995600
2000-06-01,13.33,13.84,13.33,13.69,12.58,575600
2000-06-02,13.75,14.22,13.72,14.11,12.97,782400
2000-06-05,14.2,14.27,14.0,14.12,12.98,823200
2000-06-06,14.11,14.16,14.02,14.05,12.91,447600
2000-06-07,14.14,14.14,14.0,14.06,12.92,534800
2000-06-08,14.12,14.25,14.02,14.05,12.91,508400
2000-06-09,14.06,14.17,14.06,14.06,12.92,465600
2000-06-12,14.16,14.75,14.16,14.75,13.55,399200
2000-06-13,14.75,14.75,13.8,14.11,12.97,1762800
2000-06-14,14.11,14.94,14.11,14.86,13.65,2845600
