Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,30.81,32.19,30.19,32.06,21.53,483300
2000-01-03,31.81,31.94,30.25,30.5,20.48,599800
2000-01-04,30.12,30.62,29.62,29.94,20.11,450500
2000-01-05,29.94,30.0,28.88,28.94,19.44,680300
2000-01-06,29.19,30.0,28.69,29.56,19.86,890400
2000-01-07,30.88,30.88,29.75,30.0,20.15,852000
2000-01-10,30.25,30.25,29.25,29.88,20.06,913000
2000-01-11,29.56,29.69,29.06,29.5,19.81,936900
2000-01-12,29.44,29.5,28.75,29.12,19.56,805200
2000-01-13,29.62,29.62,29.12,29.38,19.73,668600
2000-01-14,29.31,30.12,29.31,29.44,19.77,961500
2000-01-18,29.69,29.69,29.12,29.38,19.73,510600
2000-01-19,29.12,29.31,28.88,29.06,19.52,653400
2000-01-20,29.19,29.19,27.56,27.62,18.55,915100
2000-01-21,27.69,27.69,26.56,26.75,17.97,1120600
2000-01-24,27.0,27.31,26.62,26.69,17.92,772200
2000-01-25,26.69,27.12,26.44,26.62,17.88,524800
2000-01-26,26.38,27.75,26.06,27.5,18.47,842500
2000-01-27,27.44,27.44,25.69,26.44,17.85,809400
2000-01-28,26.69,26.69,25.62,25.94,17.51,513700
2000-01-31,25.88,26.75,25.62,26.75,18.06,590200
2000-02-01,26.5,26.75,26.19,26.31,17.77,672200
2000-02-02,26.5,26.81,25.75,25.94,17.51,574700
2000-02-03,26.06,26.94,25.97,26.44,17.85,814800
2000-02-04,26.69,26.75,26.19,26.5,17.89,549000
2000-02-07,26.5,26.56,26.19,26.31,17.77,367000
2000-02-08,26.44,26.62,25.75,25.81,17.43,719400
2000-02-09,26.06,26.12,25.69,25.69,17.35,767300
2000-02-10,17.0,17.44,15.12,15.81,10.68,18414900
2000-02-11,15.69,15.75,13.75,15.0,10.13,11680000
2000-02-14,14.94,14.94,13.5,14.19,9.58,7098500
2000-02-15,13.81,14.12,13.0,13.44,9.07,6253900
2000-02-16,13.44,13.75,13.12,13.25,8.95,4333100
2000-02-17,13.56,15.25,13.44,15.06,10.17,8587100
2000-02-18,14.94,15.19,14.12,14.25,9.62,3060100
2000-02-22,14.12,14.62,14.06,14.38,9.71,2121600
2000-02-23,14.56,14.69,13.88,13.88,9.37,2048800
2000-02-24,14.06,14.25,13.44,13.5,9.12,2369200
2000-02-25,13.5,14.06,13.38,13.94,9.41,2141600
2000-02-28,13.94,14.62,13.75,13.94,9.41,1312700
2000-02-29,14.12,14.12,13.38,13.38,9.03,2367700
2000-03-01,13.31,15.12,13.12,15.12,10.21,3220400
2000-03-02,14.44,14.62,14.0,14.0,9.45,2084400
2000-03-03,14.25,14.38,13.69,13.94,9.41,1360600
2000-03-06,14.06,14.06,13.44,13.56,9.16,1560600
2000-03-07,13.69,13.81,13.25,13.38,9.03,1465300
2000-03-08,13.38,13.44,13.0,13.06,8.82,1653700
2000-03-09,13.06,13.12,12.62,12.81,8.65,1128300
2000-03-10,12.62,12.62,12.06,12.31,8.31,2045900
2000-03-13,12.19,12.44,11.94,12.19,8.23,1838200
2000-03-14,12.12,12.44,11.94,12.06,8.15,2024700
