Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,10.77,10.97,10.64,10.92,7.54,1383200
2000-01-03,11.03,11.03,10.73,10.77,7.43,4101200
2000-01-04,10.77,10.84,10.66,10.75,7.42,4865200
2000-01-05,10.75,10.94,10.73,10.75,7.42,3579600
2000-01-06,10.75,11.5,10.75,11.41,7.87,6216000
2000-01-07,11.41,11.42,11.16,11.33,7.82,3256000
2000-01-10,11.59,11.69,11.38,11.59,8.0,4311600
2000-01-11,11.56,11.8,11.56,11.69,8.07,2384000
2000-01-12,11.62,11.7,11.41,11.45,7.91,2298800
2000-01-13,11.45,11.91,11.34,11.66,8.05,3092400
2000-01-14,11.69,11.73,11.42,11.52,7.95,2435600
2000-01-18,11.39,11.47,11.06,11.09,7.66,2967600
2000-01-19,10.78,10.92,10.56,10.91,7.53,5771600
2000-01-20,11.06,11.2,10.22,10.5,7.25,8070800
2000-01-21,10.64,11.05,10.62,10.94,7.55,5105200
2000-01-24,10.95,11.06,10.59,10.61,7.32,3004000
2000-01-25,10.61,10.67,10.0,10.23,7.06,5056800
2000-01-26,10.25,10.45,9.98,10.45,7.22,3849200
2000-01-27,10.5,10.5,10.02,10.06,6.95,3670400
2000-01-28,10.08,10.33,9.94,10.16,7.01,3590400
2000-01-31,10.16,10.28,9.95,10.06,6.95,3682400
2000-02-01,10.0,10.09,9.88,10.08,6.96,2813200
2000-02-02,10.03,10.06,9.66,9.69,6.69,4220400
2000-02-03,9.81,9.89,9.75,9.83,6.78,3600800
2000-02-04,9.94,10.22,9.92,10.08,6.96,4637200
2000-02-07,10.06,10.12,9.88,9.92,6.85,2911200
2000-02-08,9.98,10.0,9.66,9.69,6.69,3675200
2000-02-09,9.81,10.16,9.7,9.73,6.72,4865600
2000-02-10,9.73,9.73,8.97,9.27,6.4,8339600
2000-02-11,9.28,9.34,9.16,9.19,6.34,3565600
2000-02-14,9.31,9.5,9.22,9.5,6.56,4377600
2000-02-15,9.62,9.7,9.44,9.7,6.7,7250800
2000-02-16,9.75,9.84,9.25,9.34,6.45,5134400
2000-02-17,9.38,9.5,9.19,9.47,6.54,3093600
2000-02-18,9.5,9.56,9.36,9.44,6.51,3406800
2000-02-22,9.48,9.84,9.47,9.7,6.7,3113200
2000-02-23,9.7,9.86,9.69,9.83,6.78,4042800
2000-02-24,9.88,9.89,9.06,9.31,6.43,7104800
2000-02-25,9.31,9.38,9.14,9.36,6.46,3038000
2000-02-28,9.36,9.69,9.2,9.62,6.64,3203200
2000-02-29,9.61,9.7,9.48,9.5,6.56,3417200
2000-03-01,9.53,9.66,9.5,9.56,6.6,6612000
2000-03-02,9.55,9.55,9.34,9.45,6.53,3593200
2000-03-03,9.44,10.0,9.39,9.84,6.8,5631600
2000-03-06,9.78,9.78,9.33,9.44,6.51,3090000
2000-03-07,9.31,9.38,8.92,9.0,6.21,5256400
2000-03-08,9.12,9.27,9.06,9.08,6.27,4718000
2000-03-09,9.12,9.12,8.64,8.98,6.2,6275600
2000-03-10,8.92,9.06,8.72,8.77,6.05,6513200
2000-03-13,8.73,8.81,8.56,8.81,6.12,3582000
2000-03-14,8.88,8.88,8.72,8.81,6.12,3457200
2000-03-15,8.78,9.34,8.78,9.34,6.49,3905200
2000-03-16,9.45,9.95,9.3,9.95,6.91,7003200
2000-03-17,10.0,10.16,9.94,10.06,6.99,4546800
2000-03-20,10.11,10.17,9.42,9.56,6.64,4032400
2000-03-21,9.44,10.03,9.44,10.0,6.94,4837600
2000-03-22,10.06,10.11,9.58,9.66,6.7,3949600
2000-03-23,9.5,9.69,9.41,9.67,6.71,2982000
2000-03-24,9.64,9.72,9.44,9.53,6.62,2878000
2000-03-27,9.5,9.72,9.5,9.67,6.71,2232800
2000-03-28,9.59,9.67,9.25,9.3,6.45,3300400
2000-03-29,9.3,9.47,9.25,9.47,6.57,3122400
2000-03-30,9.5,9.5,9.25,9.3,6.45,2840400
2000-03-31,9.36,9.78,9.31,9.78,6.79,3893200
2000-04-03,9.78,9.78,9.66,9.69,6.73,4480000
2000-04-04,9.72,9.83,9.39,9.67,6.71,3644400
2000-04-05,9.69,10.25,9.67,10.25,7.12,4744800
2000-04-06,10.25,10.59,10.22,10.31,7.16,5835600
2000-04-07,10.28,10.28,9.92,10.19,7.07,3235600
2000-04-10,10.12,10.58,10.11,10.41,7.22,3093200
2000-04-11,10.41,10.81,10.41,10.78,7.48,3586800
2000-04-12,10.78,11.02,10.61,10.95,7.6,5521600
2000-04-13,10.92,10.94,10.52,10.7,7.43,3427200
2000-04-14,10.67,10.67,10.19,10.27,7.13,3517600
2000-04-17,10.27,10.41,9.95,9.95,6.91,4448000
2000-04-18,9.97,10.16,9.95,10.12,7.03,2484800
2000-04-19,10.19,10.39,10.0,10.08,7.0,3087600
2000-04-20,10.16,10.33,10.02,10.33,7.17,3432000
2000-04-24,10.31,10.72,10.31,10.52,7.3,2635200
2000-04-25,10.5,11.22,10.5,10.95,7.6,5768000
2000-04-26,11.28,11.58,11.2,11.36,7.89,6341600
2000-04-27,11.25,11.31,10.69,10.72,7.44,4370800
2000-04-28,10.8,10.8,10.31,10.53,7.31,3790800
2000-05-01,10.47,10.84,10.42,10.73,7.45,4576400
2000-05-02,10.59,10.72,10.33,10.44,7.25,3259600
2000-05-03,10.31,10.64,10.2,10.38,7.2,2203200
2000-05-04,10.44,10.44,10.14,10.14,7.04,2612800
2000-05-05,10.16,10.62,10.16,10.58,7.34,1982400
2000-05-08,10.52,10.66,10.5,10.66,7.4,1576400
2000-05-09,10.66,11.0,10.64,10.86,7.54,2952400
2000-05-10,10.8,10.95,10.64,10.72,7.44,1645600
2000-05-11,10.81,10.89,10.64,10.77,7.47,1475600
2000-05-12,10.91,10.95,10.77,10.93,7.59,2759200
2000-05-15,10.94,11.05,10.88,10.94,7.59,1927200
2000-05-16,10.94,11.22,10.91,11.17,7.76,2038800
2000-05-17,11.16,11.36,11.08,11.11,7.71,2173200
2000-05-18,11.11,11.36,11.09,11.25,7.81,2245600
2000-05-19,11.19,11.39,11.02,11.34,7.88,2994800
2000-05-22,11.28,11.38,11.03,11.08,7.69,3488800
2000-05-23,11.12,11.31,11.08,11.3,7.84,1790400
