Date,Open,High,Low,Close,Adj Close,Volume
2008-03-19,14.88,17.25,13.75,14.12,13.0,708486000
2008-03-20,14.6,16.25,14.38,16.09,14.81,198985200
2008-03-24,16.81,16.92,14.75,14.93,13.75,149566400
2008-03-25,15.15,16.06,14.95,15.81,14.56,87092000
2008-03-26,15.68,16.12,15.39,15.99,14.72,43111600
2008-03-27,16.01,16.18,15.66,15.73,14.48,39829600
2008-03-28,15.84,15.86,15.54,15.69,14.44,24675200
2008-03-31,15.65,15.87,15.51,15.59,14.35,22157200
2008-04-01,15.77,15.92,15.08,15.4,14.18,60410800
2008-04-02,15.43,15.58,15.12,15.58,14.34,43836400
2008-04-03,15.49,16.57,15.45,16.38,15.07,100868000
2008-04-04,16.23,16.33,15.94,16.12,14.84,36394400
2008-04-07,16.27,16.45,16.0,16.26,14.97,28301600
2008-04-08,16.23,17.06,16.2,17.02,15.67,53925600
2008-04-09,17.11,17.18,16.4,16.45,15.14,48324400
2008-04-10,16.54,16.68,16.28,16.53,15.21,22372000
2008-04-11,16.31,16.69,16.31,16.53,15.21,26421600
2008-04-14,16.67,16.81,16.38,16.42,15.12,28443600
2008-04-15,16.57,16.64,16.0,16.09,14.81,23888000
2008-04-16,16.14,16.74,16.14,16.53,15.22,25136800
2008-04-17,16.57,16.94,16.5,16.76,15.43,22459600
2008-04-18,17.0,17.61,16.8,17.25,15.88,104099600
2008-04-21,17.37,18.12,17.21,17.74,16.33,58848000
2008-04-22,17.98,18.1,17.5,17.57,16.17,47357600
2008-04-23,17.74,17.92,17.42,17.52,16.13,37319600
2008-04-24,17.8,18.25,17.51,18.08,16.64,38086800
2008-04-25,19.0,19.02,18.48,18.77,17.28,101460000
2008-04-28,19.12,19.32,18.73,18.91,17.41,132517200
2008-04-29,18.54,20.22,17.75,20.22,18.61,197308400
2008-04-30,20.35,21.2,20.27,20.86,19.2,147543600
2008-05-01,21.1,21.91,20.98,21.35,19.65,116395600
2008-05-02,21.82,21.88,20.25,20.69,19.04,136648800
2008-05-05,20.71,21.38,20.2,21.26,19.58,70377200
