Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,6.34,6.55,6.32,6.54,6.54,105300
2000-01-03,6.63,6.63,6.03,6.3,6.3,608900
2000-01-04,6.3,6.51,6.23,6.26,6.26,756700
2000-01-05,6.26,6.58,6.26,6.48,6.48,741200
2000-01-06,6.49,6.56,6.43,6.49,6.49,538700
2000-01-07,6.47,6.63,6.41,6.54,6.54,758100
2000-01-10,6.56,6.74,6.54,6.6,6.6,651800
2000-01-11,6.56,6.6,6.47,6.47,6.47,512200
2000-01-12,6.45,6.69,6.43,6.58,6.58,528200
2000-01-13,6.58,6.84,6.36,6.7,6.7,629000
2000-01-14,6.74,7.04,6.71,7.02,7.02,1222000
2000-01-18,6.91,7.29,6.91,7.18,7.18,858400
2000-01-19,7.12,7.18,7.1,7.18,7.18,648100
2000-01-20,7.15,7.37,7.15,7.32,7.32,452900
2000-01-21,7.32,7.43,7.07,7.4,7.4,579700
2000-01-24,7.4,7.4,7.28,7.29,7.29,838800
2000-01-25,7.29,7.3,7.04,7.08,7.08,545500
2000-01-26,7.11,7.21,7.06,7.11,7.11,316100
2000-01-27,8.74,8.74,7.89,8.33,8.33,4031900
2000-01-28,8.33,8.65,8.33,8.52,8.52,3096300
2000-01-31,8.45,8.52,8.3,8.36,8.36,1886600
2000-02-01,8.3,8.39,8.21,8.26,8.26,767700
2000-02-02,8.22,8.47,8.22,8.47,8.47,659100
2000-02-03,8.69,9.02,8.55,8.99,8.99,1839200
2000-02-04,8.85,8.93,8.77,8.91,8.91,561000
2000-02-07,8.85,9.23,8.84,9.23,9.23,687800
2000-02-08,9.25,9.54,9.25,9.51,9.51,583800
2000-02-09,9.45,9.73,9.04,9.04,9.04,1006200
2000-02-10,9.04,9.19,8.85,8.95,8.95,699200
2000-02-11,9.0,9.13,8.8,8.85,8.85,588800
2000-02-14,8.84,9.04,8.71,9.02,9.02,711500
2000-02-15,9.02,9.15,8.88,8.89,8.89,355300
2000-02-16,8.91,9.15,8.89,9.11,9.11,466100
2000-02-17,9.17,9.37,9.04,9.21,9.21,529500
2000-02-18,9.26,9.34,9.0,9.0,9.0,503500
2000-02-22,8.99,8.99,8.6,8.8,8.8,814200
2000-02-23,8.77,8.77,8.55,8.69,8.69,695600
2000-02-24,8.7,8.74,8.59,8.62,8.62,1054100
2000-02-25,8.45,8.67,8.44,8.66,8.66,717000
2000-02-28,8.66,8.66,8.52,8.55,8.55,341600
2000-02-29,8.52,8.77,8.52,8.76,8.76,743500
2000-03-01,8.76,8.77,8.62,8.71,8.71,529100
2000-03-02,8.66,8.77,8.63,8.7,8.7,1596000
2000-03-03,8.73,9.1,8.7,9.08,9.08,1114800
2000-03-06,9.06,9.43,9.04,9.26,9.26,1123000
2000-03-07,9.3,9.32,8.77,8.82,8.82,1024000
2000-03-08,8.88,9.45,8.84,9.36,9.36,2153000
2000-03-09,9.33,10.14,9.33,10.03,10.03,1805900
2000-03-10,10.08,10.08,9.43,9.65,9.65,854300
2000-03-13,9.69,9.69,9.37,9.45,9.45,480700
2000-03-14,9.45,9.66,9.37,9.4,9.4,535500
2000-03-15,9.34,9.34,9.08,9.21,9.21,771800
2000-03-16,9.26,9.84,9.21,9.84,9.84,857100
2000-03-17,9.81,9.89,9.71,9.89,9.89,623100
2000-03-20,9.95,10.11,9.8,9.87,9.87,941000
2000-03-21,9.76,9.95,9.71,9.85,9.85,387200
2000-03-22,9.8,10.03,9.8,9.95,9.95,859300
2000-03-23,9.92,10.24,9.89,10.04,10.04,643600
2000-03-24,10.1,10.61,10.1,10.36,10.36,1428200
2000-03-27,10.36,10.36,10.1,10.32,10.32,576100
2000-03-28,10.3,10.3,10.08,10.1,10.1,379000
2000-03-29,10.1,10.19,9.87,10.08,10.08,768600
2000-03-30,10.06,10.06,9.74,9.76,9.76,750300
2000-03-31,9.71,10.03,9.43,10.0,10.0,1011700
2000-04-03,9.95,10.21,9.65,9.66,9.66,504500
2000-04-04,9.66,9.69,9.43,9.67,9.67,863900
2000-04-05,9.54,9.73,9.51,9.66,9.66,1191000
2000-04-06,9.71,10.11,9.71,10.06,10.06,740700
2000-04-07,10.06,10.8,10.06,10.52,10.52,1005800
2000-04-10,10.47,10.47,10.15,10.15,10.15,518100
2000-04-11,9.97,10.03,9.78,9.92,9.92,484400
2000-04-12,9.97,10.03,9.71,9.71,9.71,463400
2000-04-13,9.67,9.71,9.21,9.22,9.22,553300
2000-04-14,9.17,9.18,8.63,8.74,8.74,1666300
2000-04-17,8.69,8.93,8.49,8.93,8.93,1081500
2000-04-18,8.99,9.32,8.96,9.32,9.32,716100
2000-04-19,9.26,9.26,8.99,9.18,9.18,448800
2000-04-20,9.18,9.21,8.77,8.88,8.88,529100
2000-04-24,8.93,9.26,8.93,9.19,9.19,1194600
2000-04-25,9.25,9.4,9.25,9.33,9.33,1000700
2000-04-26,9.65,9.81,9.37,9.37,9.37,4494900
2000-04-27,9.32,9.32,8.88,8.88,8.88,1981000
2000-04-28,8.91,8.96,8.74,8.77,8.77,1585500
2000-05-01,8.77,9.8,8.71,9.5,9.5,1194600
2000-05-02,9.45,9.66,9.23,9.26,9.26,690100
2000-05-03,9.1,9.18,9.03,9.11,9.11,713400
2000-05-04,9.11,9.15,8.99,9.06,9.06,465200
