Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,7.06,7.09,7.02,7.06,4.24,322800
2000-01-03,7.0,7.08,6.93,6.97,4.18,917900
2000-01-04,6.92,7.05,6.77,6.9,4.14,817300
2000-01-05,6.92,7.06,6.77,6.83,4.09,1259100
2000-01-06,6.92,6.96,6.58,6.72,4.03,1931100
2000-01-07,6.78,6.93,6.59,6.87,4.12,2186800
2000-01-10,6.94,7.05,6.89,6.96,4.17,940500
2000-01-11,7.0,7.15,6.96,7.02,4.21,649000
2000-01-12,6.94,7.06,6.83,7.03,4.22,982900
2000-01-13,7.05,7.09,6.89,6.93,4.16,1178300
2000-01-14,6.81,6.94,6.78,6.8,4.08,1045000
2000-01-18,6.74,6.89,6.71,6.8,4.08,641800
2000-01-19,6.77,6.97,6.77,6.94,4.17,829600
2000-01-20,6.96,7.02,6.81,6.9,4.14,1094200
2000-01-21,7.09,7.09,6.87,6.93,4.16,1126500
2000-01-24,6.92,6.93,6.86,6.9,4.14,958300
2000-01-25,6.92,6.94,6.68,6.77,4.06,1961300
2000-01-26,6.78,6.81,6.71,6.8,4.08,857600
2000-01-27,6.83,6.83,6.39,6.55,3.93,1428100
2000-01-28,6.56,6.58,6.12,6.28,3.77,1184700
2000-01-31,6.28,6.28,6.03,6.11,3.66,1799000
2000-02-01,6.16,6.22,5.89,6.15,3.69,1944300
2000-02-02,6.18,6.33,6.12,6.22,3.73,1392000
2000-02-03,6.24,6.43,6.24,6.36,3.81,1203800
2000-02-04,6.36,6.36,6.06,6.11,3.66,1309200
2000-02-07,6.11,6.22,5.87,6.15,3.69,1225500
2000-02-08,6.15,6.3,6.0,6.12,3.67,1566200
2000-02-09,6.16,6.31,6.06,6.12,3.67,1457900
2000-02-10,6.06,6.09,5.75,6.08,3.64,1800300
2000-02-11,6.03,6.03,5.68,5.89,3.53,2369100
2000-02-14,5.89,5.97,5.86,5.93,3.56,2283300
2000-02-15,5.89,5.99,5.8,5.89,3.53,2102700
2000-02-16,5.89,5.93,5.78,5.83,3.49,1446000
2000-02-17,5.86,5.93,5.86,5.91,3.55,1375900
2000-02-18,5.91,5.93,5.87,5.91,3.55,2280700
2000-02-22,5.9,5.94,5.83,5.87,3.52,1360200
2000-02-23,5.83,6.08,5.75,5.86,3.51,1245000
2000-02-24,5.86,5.86,5.49,5.78,3.47,1961700
2000-02-25,5.8,5.87,5.24,5.4,3.24,1676200
2000-02-28,5.5,5.93,5.38,5.83,3.49,2215300
2000-02-29,5.77,5.87,5.58,5.81,3.49,1349100
2000-03-01,5.8,5.89,5.53,5.87,3.52,1078900
2000-03-02,5.89,5.89,5.64,5.78,3.47,1677500
2000-03-03,5.69,5.87,5.58,5.77,3.46,855500
2000-03-06,5.66,5.66,5.36,5.4,3.24,1470600
2000-03-07,5.31,5.44,5.12,5.19,3.12,1372100
2000-03-08,5.0,5.3,4.93,5.22,3.16,1920500
2000-03-09,5.16,5.62,5.11,5.62,3.41,2244600
2000-03-10,5.56,5.58,5.21,5.43,3.29,1484200
2000-03-13,5.41,5.47,5.28,5.44,3.3,1453200
2000-03-14,5.34,5.5,5.24,5.41,3.28,1861000
2000-03-15,5.38,5.62,5.3,5.62,3.41,3035100
2000-03-16,5.65,6.5,5.65,6.33,3.83,1903900
2000-03-17,6.06,6.09,5.89,6.0,3.64,2254800
2000-03-20,6.05,6.11,5.86,5.89,3.57,1307900
2000-03-21,5.89,5.97,5.74,5.89,3.57,1190200
2000-03-22,5.94,5.94,5.78,5.87,3.56,2220800
2000-03-23,5.74,6.02,5.66,5.91,3.58,899700
2000-03-24,5.91,5.91,5.72,5.89,3.57,1076800
2000-03-27,5.89,5.89,5.65,5.86,3.55,1294700
2000-03-28,5.81,5.91,5.71,5.8,3.51,1030100
2000-03-29,5.83,5.89,5.62,5.87,3.56,683000
2000-03-30,5.9,5.9,5.66,5.81,3.52,929000
2000-03-31,5.68,5.86,5.59,5.66,3.43,1639700
2000-04-03,5.77,5.93,5.66,5.66,3.43,1214900
2000-04-04,5.75,5.97,5.66,5.86,3.55,1411600
2000-04-05,5.9,5.97,5.66,5.71,3.46,791800
