Date,Open,High,Low,Close,Adj Close,Volume
2005-12-05,40.5,43.1,40.5,42.8,34.2,905200
2005-12-06,42.95,44.39,42.95,44.39,35.47,850400
2005-12-07,44.28,44.95,44.28,44.9,35.88,870900
2005-12-08,44.9,44.9,43.5,43.9,35.08,965300
2005-12-09,44.1,44.25,42.83,43.65,34.88,908500
2005-12-12,43.5,44.2,43.45,43.52,34.78,752200
2005-12-13,43.45,44.24,43.3,43.9,35.08,143700
2005-12-14,43.91,44.18,43.67,43.9,35.08,164300
2005-12-15,43.8,43.8,42.88,42.91,34.29,180400
2005-12-16,43.0,43.19,42.79,43.19,34.51,147000
2005-12-19,43.1,43.1,42.41,42.58,34.03,276300
2005-12-20,42.58,42.58,41.85,42.0,33.56,760000
2005-12-21,42.1,42.44,41.8,41.83,33.43,401500
2005-12-22,41.98,41.98,41.38,41.55,33.2,388000
2005-12-23,41.59,41.59,41.25,41.45,33.12,625900
2005-12-27,41.45,41.45,40.2,40.34,32.24,491600
2005-12-28,40.24,40.4,39.94,40.26,32.17,908400
2005-12-29,40.25,40.6,39.82,39.95,31.92,660100
2005-12-30,39.95,41.15,39.78,41.15,32.88,3564700
2006-01-03,41.12,42.1,38.65,41.59,33.24,6392100
2006-01-04,41.78,42.2,41.68,41.98,33.55,6084400
2006-01-05,41.87,42.42,41.75,42.25,33.76,5540600
2006-01-06,42.4,42.95,42.34,42.65,34.08,5627600
2006-01-09,42.67,42.84,42.39,42.5,33.96,5130600
2006-01-10,42.25,42.51,41.53,42.4,33.88,4909000
2006-01-11,42.35,42.4,41.64,41.81,33.41,5048000
2006-01-12,42.58,42.58,41.13,41.65,33.28,6165400
2006-01-13,41.58,42.26,41.46,42.18,33.71,4719200
2006-01-17,41.86,42.15,41.61,41.7,33.32,4465500
2006-01-18,41.7,41.88,41.12,41.74,33.36,3201100
2006-01-19,41.95,42.9,41.83,42.77,34.18,3559200
2006-01-20,42.7,42.72,42.41,42.45,33.92,3967100
2006-01-23,42.45,43.23,42.27,43.15,34.48,3843000
2006-01-24,43.22,43.55,43.03,43.46,34.73,3727800
2006-01-25,43.48,43.8,43.09,43.28,34.59,3816900
2006-01-26,43.5,43.85,42.83,43.1,34.44,2461200
2006-01-27,43.1,43.59,42.79,43.29,34.59,2552500
2006-01-30,43.27,43.34,42.43,42.55,34.0,2645800
2006-01-31,42.55,42.57,41.43,41.48,33.15,3835300
2006-02-01,41.33,42.15,41.32,42.09,33.63,3465900
2006-02-02,42.17,42.33,41.41,41.77,33.38,2738300
2006-02-03,41.52,42.08,41.52,41.99,33.55,2974500
2006-02-06,41.99,42.24,41.86,41.88,33.47,2461600
2006-02-07,41.95,42.36,41.84,41.85,33.44,3277500
2006-02-08,41.8,42.51,41.41,42.5,33.96,2953400
2006-02-09,42.38,42.89,42.2,42.85,34.24,2518600
2006-02-10,42.85,43.1,42.62,42.95,34.32,2515300
2006-02-13,42.85,42.89,42.51,42.77,34.18,1838000
2006-02-14,42.77,43.44,42.51,43.19,34.51,2202300
2006-02-15,43.0,43.5,42.8,43.4,34.68,1790800
2006-02-16,43.5,43.9,43.01,43.6,34.84,2503300
2006-02-17,43.61,43.68,42.9,42.92,34.3,2299800
2006-02-21,42.8,42.8,42.22,42.42,33.9,1950200
2006-02-22,42.45,42.47,41.52,41.9,33.48,2962000
2006-02-23,41.35,41.85,40.47,40.96,32.73,5608400
2006-02-24,40.75,40.76,39.87,40.16,32.09,5639000
2006-02-27,40.17,40.49,39.97,40.16,32.09,3749200
2006-02-28,40.15,40.24,39.8,39.96,31.93,4406900
2006-03-01,40.0,40.93,39.9,40.93,32.71,3132700
2006-03-02,40.58,40.6,39.8,39.98,31.95,4475600
2006-03-03,39.7,39.98,39.67,39.79,31.8,3727200
2006-03-06,39.79,39.97,38.55,38.63,30.87,5281300
2006-03-07,38.51,38.51,37.84,38.06,30.41,5802100
2006-03-08,37.95,38.32,37.67,38.05,30.41,4306400
2006-03-09,38.0,38.39,37.73,38.28,30.59,3898800
2006-03-10,38.3,38.95,38.2,38.85,31.05,3227500
2006-03-13,38.78,38.94,38.6,38.8,31.01,2463300
2006-03-14,38.7,39.2,38.7,39.0,31.17,1755400
2006-03-15,38.9,38.97,38.59,38.86,31.05,2182900
2006-03-16,38.9,38.9,38.3,38.31,30.61,2066000
2006-03-17,38.55,39.1,38.42,39.0,31.17,3374800
2006-03-20,39.27,39.55,38.92,39.0,31.17,3006500
2006-03-21,38.96,38.98,38.09,38.1,30.45,2459300
2006-03-22,37.95,38.53,37.91,38.2,30.53,2279600
2006-03-23,38.2,38.65,38.03,38.65,30.89,2221600
2006-03-24,38.5,38.81,38.41,38.76,30.97,1757600
2006-03-27,38.8,38.89,38.6,38.72,30.94,2883600
2006-03-28,38.55,38.87,38.37,38.7,30.93,3095100
2006-03-29,38.7,39.3,38.55,39.3,31.41,3158300
2006-03-30,39.1,39.26,38.77,38.95,31.13,1961700
2006-03-31,38.9,39.08,38.46,38.8,31.01,3513000
2006-04-03,39.05,39.41,38.44,38.46,30.73,3338400
2006-04-04,38.38,38.89,38.15,38.69,30.92,3050800
2006-04-05,38.68,39.11,38.6,38.89,31.08,2453000
2006-04-06,38.72,39.2,38.53,39.19,31.32,2829600
2006-04-07,39.19,39.57,38.7,38.72,30.94,3261100
2006-04-10,38.65,38.65,38.32,38.4,30.69,2435000
2006-04-11,38.63,38.67,38.15,38.34,30.64,2515700
2006-04-12,38.32,38.52,38.21,38.37,30.66,2594600
2006-04-13,38.01,38.7,38.01,38.68,30.91,1687900
2006-04-17,38.6,38.6,38.34,38.47,30.74,1695400
2006-04-18,38.65,38.66,38.28,38.45,30.73,2773100
2006-04-19,38.27,38.75,38.25,38.6,30.85,2624000
2006-04-20,38.6,38.78,38.42,38.7,30.93,2158300
2006-04-21,37.75,39.03,37.75,38.8,31.01,2264400
2006-04-24,38.75,39.04,38.75,39.01,31.17,2082900
