Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,39.31,40.0,39.25,39.94,29.07,35800
2000-01-03,39.44,39.88,39.31,39.38,28.66,247700
2000-01-04,39.12,39.62,39.0,39.25,28.57,252500
2000-01-05,39.25,43.0,39.06,41.88,30.48,394000
2000-01-06,41.62,42.0,40.94,41.94,30.52,320400
2000-01-07,42.12,42.38,41.75,42.06,30.61,178300
2000-01-10,42.31,44.19,42.31,43.75,31.84,311700
2000-01-11,43.56,43.56,42.5,42.81,31.16,304700
2000-01-12,43.0,43.31,41.81,42.19,30.7,213200
2000-01-13,42.44,43.19,42.0,42.88,31.2,274800
2000-01-14,42.94,43.06,42.25,43.0,31.29,224000
2000-01-18,43.0,44.44,42.06,44.19,32.16,224300
2000-01-19,42.75,44.56,42.75,44.12,32.11,249600
2000-01-20,44.12,44.38,43.25,43.56,31.7,241000
2000-01-21,44.0,44.0,42.56,42.75,31.11,233200
2000-01-24,43.0,43.25,42.0,42.19,30.7,170600
2000-01-25,44.12,47.75,41.88,42.06,30.61,773000
2000-01-26,42.12,42.88,42.0,42.88,31.2,483000
2000-01-27,42.62,43.62,42.62,43.06,31.34,279400
2000-01-28,43.0,43.0,41.62,41.94,30.52,215100
2000-01-31,41.81,42.88,41.81,42.31,30.79,182000
2000-02-01,42.12,42.38,41.94,42.31,30.79,154400
2000-02-02,42.19,42.75,42.06,42.25,30.75,87100
2000-02-03,42.62,43.0,41.5,42.88,31.2,142400
2000-02-04,42.62,43.5,42.38,42.56,30.98,139100
2000-02-07,42.5,42.75,42.0,42.06,30.61,115100
2000-02-08,42.06,42.31,42.0,42.12,30.66,195800
2000-02-09,42.06,42.25,41.88,41.88,30.48,232400
2000-02-10,42.0,42.75,41.94,42.06,30.61,123500
2000-02-11,42.06,42.25,40.94,41.12,29.93,311600
2000-02-14,41.12,41.38,40.5,41.25,30.02,178400
2000-02-15,41.31,42.38,41.25,42.06,30.61,182900
2000-02-16,42.19,42.25,42.0,42.06,30.61,160200
2000-02-17,42.0,43.0,42.0,42.44,30.88,140400
2000-02-18,42.19,42.44,41.75,42.0,30.57,319200
2000-02-22,42.0,42.75,41.88,42.25,30.75,127600
2000-02-23,41.81,41.81,40.38,40.62,29.71,193800
2000-02-24,40.62,40.69,39.25,39.31,28.75,266500
2000-02-25,39.44,40.38,39.38,40.12,29.35,269700
2000-02-28,40.12,40.44,39.25,40.0,29.26,210000
2000-02-29,40.0,40.12,39.25,40.0,29.26,175300
2000-03-01,39.81,40.25,39.31,40.25,29.44,113900
2000-03-02,40.0,40.12,39.0,39.25,28.71,169600
2000-03-03,39.38,40.75,39.12,40.5,29.62,175000
2000-03-06,40.38,40.44,39.25,39.38,28.8,142500
2000-03-07,39.38,39.38,38.12,38.19,27.93,244800
2000-03-08,38.0,38.75,37.69,38.44,28.11,138000
2000-03-09,39.0,39.0,38.56,38.88,28.43,110600
2000-03-10,38.75,39.38,38.56,38.69,28.3,113900
2000-03-13,38.5,39.81,38.0,39.44,28.85,200700
2000-03-14,39.06,39.94,39.0,39.38,28.8,154900
2000-03-15,39.12,41.19,39.12,40.69,29.76,197000
2000-03-16,40.88,44.25,40.62,44.19,32.32,271100
2000-03-17,44.0,44.12,42.5,43.75,32.0,295200
2000-03-20,43.88,44.44,42.81,42.94,31.4,148300
2000-03-21,42.88,44.19,42.75,43.94,32.14,163200
2000-03-22,43.94,44.56,42.19,42.94,31.4,263100
2000-03-23,43.06,45.25,43.0,45.12,33.0,277000
2000-03-24,45.0,45.5,44.0,44.38,32.46,264600
2000-03-27,44.12,45.0,43.44,44.25,32.36,185000
2000-03-28,44.0,45.38,43.88,44.25,32.36,168900
2000-03-29,44.38,44.94,44.38,44.81,32.78,88800
2000-03-30,44.94,46.25,44.81,45.5,33.28,299100
2000-03-31,45.56,45.94,45.19,45.81,33.51,174500
2000-04-03,45.81,47.06,45.75,46.88,34.28,309900
2000-04-04,46.94,47.06,45.31,46.19,33.78,369800
2000-04-05,46.19,47.25,46.06,46.75,34.19,144300
2000-04-06,46.94,46.94,46.0,46.25,33.83,101500
