Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,24.33,24.69,23.78,23.78,10.08,87800
2000-01-03,23.87,24.51,23.78,24.42,10.35,289200
2000-01-04,24.23,24.51,24.14,24.42,10.35,294500
2000-01-05,24.19,25.06,24.1,25.06,10.63,191200
2000-01-06,24.97,25.42,24.83,25.38,10.76,185500
2000-01-07,25.24,25.7,25.24,25.56,10.84,1521100
2000-01-10,25.56,26.34,25.42,25.79,10.94,354600
2000-01-11,25.88,25.88,25.42,25.51,10.82,259800
2000-01-12,25.33,25.42,25.19,25.24,10.7,92000
2000-01-13,25.24,25.29,25.1,25.19,10.68,88900
2000-01-14,25.19,25.19,24.78,24.78,10.51,170800
2000-01-18,24.69,25.33,24.69,25.1,10.65,128700
2000-01-19,25.1,25.15,24.87,24.97,10.59,179700
2000-01-20,24.87,24.97,24.69,24.74,10.49,81600
2000-01-21,24.78,24.83,24.55,24.55,10.41,205200
2000-01-24,24.37,24.51,23.55,23.73,10.06,482800
2000-01-25,23.73,23.73,23.32,23.41,9.93,648900
2000-01-26,23.41,23.5,22.95,23.46,9.95,174700
2000-01-27,23.27,23.5,23.14,23.37,9.91,161300
2000-01-28,23.37,23.37,23.18,23.37,9.91,114700
2000-01-31,23.37,23.41,22.91,22.91,9.71,305600
2000-02-01,23.09,23.37,22.95,23.23,9.85,724500
2000-02-02,23.23,23.27,22.95,23.23,9.85,490000
2000-02-03,22.86,22.86,22.73,22.86,9.84,233900
2000-02-04,22.86,22.91,22.31,22.41,9.65,2278900
2000-02-07,22.31,22.68,22.31,22.68,9.77,205300
2000-02-08,22.68,22.68,22.5,22.63,9.75,248500
2000-02-09,22.63,22.68,22.5,22.63,9.75,342600
2000-02-10,22.68,22.68,22.45,22.5,9.69,229500
2000-02-11,22.5,22.68,22.45,22.5,9.69,139700
2000-02-14,22.5,22.5,22.31,22.36,9.63,385900
2000-02-15,22.45,22.77,22.31,22.68,9.77,231000
2000-02-16,22.54,22.59,22.36,22.41,9.65,182000
2000-02-17,22.45,22.59,22.36,22.59,9.73,102500
2000-02-18,22.59,22.68,22.31,22.41,9.65,159600
2000-02-22,22.22,22.54,22.22,22.45,9.67,316400
2000-02-23,22.5,22.59,22.04,22.31,9.61,333300
