Date,Open,High,Low,Close,Adj Close,Volume
2009-10-07,27.0,28.97,26.41,27.22,27.08,63739500
2009-10-08,27.33,27.44,26.5,26.6,26.46,6906700
2009-10-09,26.83,27.49,26.38,26.4,26.26,3361300
2009-10-12,27.29,27.9,26.1,26.25,26.11,7177000
2009-10-13,26.67,27.26,26.54,27.19,27.05,3296000
2009-10-14,27.25,28.24,27.0,27.99,27.84,3222400
2009-10-15,28.28,28.8,27.75,28.31,28.16,3181300
2009-10-16,28.45,28.6,27.55,28.57,28.42,3974100
2009-10-19,28.52,28.89,27.5,27.5,27.36,1892100
2009-10-20,27.5,28.1,27.35,28.06,27.91,3387000
2009-10-21,28.0,28.35,27.86,28.0,27.85,1079000
2009-10-22,27.76,28.48,27.32,27.89,27.74,1172500
2009-10-23,28.0,28.39,27.51,28.37,28.22,2385700
2009-10-26,27.83,28.6,27.76,28.45,28.3,834400
2009-10-27,28.54,29.25,27.93,28.56,28.41,1578700
2009-10-28,28.21,28.55,27.56,27.69,27.54,1153500
2009-10-29,27.88,28.0,27.75,27.89,27.74,563500
2009-10-30,28.0,28.07,27.3,27.43,27.29,819600
2009-11-02,27.38,27.65,26.6,27.37,27.23,978000
2009-11-03,27.43,27.49,26.85,27.36,27.22,696500
2009-11-04,27.33,27.48,26.95,26.96,26.82,461200
2009-11-05,27.02,27.6,26.97,27.3,27.16,470400
2009-11-06,27.15,27.34,26.95,27.1,26.96,310800
2009-11-09,27.25,27.69,27.05,27.58,27.44,615600
2009-11-10,27.25,28.26,27.25,27.67,27.52,287300
2009-11-11,27.93,29.12,27.63,28.98,28.83,1174600
2009-11-12,28.78,30.0,28.43,28.9,28.75,1211600
2009-11-13,28.78,29.08,28.51,28.9,28.75,414900
2009-11-16,28.75,29.01,28.25,28.85,28.7,1424300
2009-11-17,28.55,28.96,27.4,27.85,27.7,2496000
2009-11-18,28.39,29.0,28.16,28.5,28.35,730900
2009-11-19,28.81,28.89,27.94,28.54,28.39,1223600
2009-11-20,28.5,28.64,28.42,28.55,28.4,875700
2009-11-23,28.68,28.68,27.67,28.4,28.25,447600
2009-11-24,28.18,28.18,27.65,27.78,27.63,685400
2009-11-25,27.72,27.81,27.17,27.3,27.16,892800
2009-11-27,26.96,27.18,26.66,26.99,26.85,264600
2009-11-30,27.34,27.4,26.73,26.91,26.77,888700
2009-12-01,26.91,28.05,26.91,27.78,27.63,617200
2009-12-02,27.76,27.81,27.35,27.51,27.37,820900
2009-12-03,27.81,27.94,27.5,27.72,27.57,491800
2009-12-04,27.85,28.44,27.85,28.43,28.28,535500
2009-12-07,28.2,28.98,27.94,28.74,28.59,361500
2009-12-08,28.41,28.92,27.9,28.61,28.46,398200
2009-12-09,28.33,28.7,28.18,28.65,28.5,449600
2009-12-10,28.57,28.7,28.13,28.4,28.25,435200
2009-12-11,28.02,28.81,28.0,28.66,28.51,590700
2009-12-14,28.56,29.04,28.56,28.99,28.84,502300
2009-12-15,28.93,29.47,28.77,29.3,29.15,891900
2009-12-16,29.27,30.97,29.15,30.39,30.23,1572400
2009-12-17,30.25,30.64,30.0,30.4,30.24,929200
2009-12-18,30.38,31.0,29.73,30.56,30.4,8298500
2009-12-21,30.78,30.78,29.89,30.5,30.34,885900
2009-12-22,30.34,30.85,30.1,30.58,30.42,420900
2009-12-23,30.68,30.94,30.21,30.68,30.52,845700
2009-12-24,30.79,31.18,30.68,30.8,30.64,170800
2009-12-28,30.89,31.12,30.62,30.96,30.8,250100
2009-12-29,30.92,31.14,30.7,31.0,30.84,283400
2009-12-30,30.91,31.0,30.45,31.0,30.84,175200
2009-12-31,30.86,31.0,30.21,30.28,30.12,154600
2010-01-04,30.41,30.5,29.67,29.85,29.69,390000
2010-01-05,29.85,30.07,29.49,30.05,29.89,430000
2010-01-06,30.0,30.87,30.0,30.44,30.28,848900
2010-01-07,30.36,30.68,29.8,30.39,30.23,426600
2010-01-08,30.21,30.27,29.98,30.0,29.84,253200
2010-01-11,30.03,30.11,29.75,29.93,29.77,676500
2010-01-12,29.99,30.38,29.84,30.16,30.0,742000
2010-01-13,30.1,30.29,30.1,30.15,29.99,394400
2010-01-14,30.09,30.1,29.89,29.91,29.75,301100
2010-01-15,29.77,29.92,28.66,28.95,28.8,766000
2010-01-19,28.84,28.84,27.81,27.95,27.8,1531700
2010-01-20,27.81,28.1,27.69,27.99,27.84,957600
2010-01-21,27.99,28.4,27.91,28.04,27.89,681800
2010-01-22,28.2,28.37,27.93,28.01,27.86,595600
2010-01-25,27.98,28.24,27.91,27.95,27.8,256500
2010-01-26,27.83,28.75,27.83,28.35,28.2,302600
2010-01-27,28.23,29.24,28.01,28.9,28.75,475200
2010-01-28,28.75,29.03,28.57,28.77,28.62,495200
2010-01-29,28.83,28.9,28.0,28.12,27.97,389800
2010-02-01,28.21,28.46,28.2,28.41,28.26,400800
2010-02-02,28.39,28.59,27.9,27.96,27.81,536200
2010-02-03,27.96,28.13,27.9,27.99,27.84,309300
2010-02-04,27.93,27.94,27.71,27.75,27.6,617700
2010-02-05,27.75,27.82,26.65,27.7,27.55,645500
2010-02-08,27.73,27.91,27.38,27.63,27.48,632500
2010-02-09,27.58,28.1,27.58,27.84,27.69,1451000
2010-02-10,27.96,28.09,27.51,27.84,27.69,496600
2010-02-11,27.7,28.18,27.7,28.02,27.87,346900
2010-02-12,27.71,28.39,27.53,28.31,28.16,875600
2010-02-16,28.1,28.41,27.95,28.25,28.1,213500
2010-02-17,28.07,28.3,27.85,27.94,27.79,456100
2010-02-18,27.77,28.1,27.66,28.0,27.85,613800
2010-02-19,27.83,28.23,27.83,28.01,27.86,152500
2010-02-22,28.0,28.42,27.89,28.24,28.09,290500
2010-02-23,28.42,28.42,27.82,28.01,27.86,390400
2010-02-24,27.99,28.0,27.88,27.96,27.81,263000
2010-02-25,27.83,28.06,27.83,27.98,27.83,328900
2010-02-26,28.08,28.3,27.96,28.3,28.15,632800
2010-03-01,28.46,28.74,28.22,28.4,28.25,321800
2010-03-02,28.4,28.65,27.79,28.02,27.87,468000
2010-03-03,27.94,28.13,27.37,27.63,27.48,663200
2010-03-04,27.57,27.94,27.05,27.24,27.1,294700
2010-03-05,27.27,27.58,27.26,27.38,27.24,716400
2010-03-08,27.24,29.35,27.17,29.03,28.88,680100
2010-03-09,28.77,28.92,27.97,28.45,28.3,706800
2010-03-10,28.35,28.79,28.35,28.53,28.38,413000
2010-03-11,28.59,28.6,28.0,28.19,28.04,479100
2010-03-12,28.43,28.71,28.0,28.2,28.05,537800
2010-03-15,28.07,28.19,27.89,28.1,27.95,463300
2010-03-16,28.06,28.15,27.98,28.05,27.9,623800
2010-03-17,28.15,28.15,28.0,28.01,27.86,415200
2010-03-18,28.01,28.5,28.0,28.37,28.22,232800
2010-03-19,28.29,28.53,27.78,28.29,28.14,462000
2010-03-22,28.22,28.77,28.14,28.2,28.05,253800
2010-03-23,28.05,28.42,27.81,28.0,27.85,341500
2010-03-24,28.0,28.26,27.82,28.02,27.87,628600
2010-03-25,28.07,28.44,27.92,28.0,27.85,230300
2010-03-26,28.02,28.13,27.97,28.07,27.92,314300
2010-03-29,28.06,28.23,27.75,28.0,27.85,317000
2010-03-30,28.11,28.22,27.84,27.91,27.76,732900
2010-03-31,27.93,28.36,27.93,28.2,28.05,480200
2010-04-01,28.25,28.42,27.87,27.99,27.84,537000
2010-04-05,27.68,28.06,27.53,27.89,27.74,406400
2010-04-06,27.72,28.19,27.59,28.16,28.01,543700
2010-04-07,28.02,28.18,27.52,27.81,27.66,548500
2010-04-08,27.66,27.93,27.52,27.65,27.5,318300
2010-04-09,27.81,28.09,27.64,27.98,27.83,411400
2010-04-12,27.88,28.29,27.77,28.04,27.89,181300
2010-04-13,28.0,28.34,27.99,28.07,27.92,938700
2010-04-14,28.02,28.64,28.02,28.56,28.41,1019800
2010-04-15,28.39,28.52,28.13,28.19,28.04,438900
2010-04-16,28.06,28.2,28.0,28.02,27.87,356700
2010-04-19,28.02,28.49,27.9,28.24,28.09,295500
2010-04-20,28.33,28.73,28.19,28.29,28.14,177100
2010-04-21,28.36,28.6,28.0,28.16,28.01,406100
2010-04-22,28.01,28.36,28.0,28.2,28.05,225800
2010-04-23,28.08,28.39,28.06,28.31,28.16,211700
2010-04-26,28.21,28.64,28.21,28.56,28.41,344800
2010-04-27,28.53,28.6,28.29,28.51,28.36,221200
2010-04-28,28.33,28.33,27.75,27.8,27.65,518600
2010-04-29,27.86,28.07,27.69,28.03,27.88,532000
2010-04-30,27.92,28.73,27.92,28.02,27.87,269600
2010-05-03,27.9,28.24,27.79,28.15,28.0,530400
2010-05-04,28.02,28.46,27.94,28.35,28.2,471600
2010-05-05,28.08,28.56,28.0,28.3,28.15,423100
2010-05-06,28.2,28.45,27.78,27.99,27.84,604500
2010-05-07,27.78,28.23,27.46,27.72,27.57,1907800
2010-05-10,28.48,28.49,27.65,27.83,27.68,889100
2010-05-11,27.67,28.51,27.56,28.46,28.31,584200
2010-05-12,28.85,30.32,28.32,29.92,29.76,2098900
2010-05-13,29.66,31.48,29.55,30.3,30.14,1505400
2010-05-14,30.18,30.94,30.1,30.83,30.67,1102700
2010-05-17,30.78,31.75,30.53,30.75,30.59,1406200
2010-05-18,30.8,31.15,30.11,30.3,30.14,1480700
2010-05-19,30.04,30.49,29.6,29.99,29.83,735000
2010-05-20,29.47,30.28,28.97,29.24,29.09,572200
2010-05-21,28.88,29.26,28.46,29.01,28.86,1018600
2010-05-24,28.81,29.73,28.81,29.23,29.08,964300
2010-05-25,28.62,29.73,28.42,29.73,29.57,1114400
2010-05-26,30.05,30.21,29.01,29.25,29.1,4949700
2010-05-27,29.45,29.93,29.32,29.76,29.6,736200
2010-05-28,29.58,30.4,29.58,30.25,30.09,515900
2010-06-01,30.33,30.48,29.61,29.7,29.54,673000
2010-06-02,29.57,30.26,29.25,30.26,30.1,757500
2010-06-03,30.1,30.8,30.05,30.71,30.55,667300
2010-06-04,30.28,30.5,29.91,30.02,29.86,896100
2010-06-07,30.07,30.58,29.56,29.58,29.42,692100
2010-06-08,29.49,29.73,29.32,29.58,29.42,935700
2010-06-09,29.81,29.99,28.85,28.95,28.8,791200
2010-06-10,29.21,29.54,28.82,29.47,29.32,640900
2010-06-11,29.2,29.61,29.2,29.55,29.39,234800
2010-06-14,29.65,30.52,29.56,30.4,30.24,424700
2010-06-15,30.5,30.66,29.66,30.53,30.37,688400
2010-06-16,30.34,30.47,30.12,30.22,30.06,390900
