Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,4.28,4.92,4.28,4.78,1.49,802700
2000-01-03,4.85,4.85,4.57,4.57,1.42,14900
2000-01-04,4.57,4.57,4.5,4.57,1.42,34800
2000-01-05,4.5,4.71,4.5,4.5,1.4,26600
2000-01-06,4.5,4.71,4.5,4.57,1.42,24000
2000-01-07,4.5,4.57,4.43,4.5,1.4,73900
2000-01-10,4.5,4.71,4.5,4.57,1.42,47300
2000-01-11,4.43,4.5,4.43,4.5,1.4,45700
2000-01-12,4.43,4.5,4.43,4.43,1.38,13600
2000-01-13,4.43,4.64,4.43,4.5,1.4,27100
2000-01-14,4.5,4.57,4.5,4.57,1.42,31700
2000-01-18,4.57,4.64,4.5,4.64,1.45,18000
2000-01-19,4.57,4.64,4.5,4.64,1.45,24700
2000-01-20,4.64,4.64,4.57,4.57,1.42,28100
2000-01-21,4.57,4.57,4.5,4.5,1.4,35500
2000-01-24,4.5,4.57,4.21,4.21,1.31,91500
2000-01-25,4.28,4.28,3.93,4.0,1.25,313100
2000-01-26,3.93,4.14,3.85,4.0,1.25,64800
2000-01-27,4.0,4.14,3.85,4.0,1.25,94700
2000-01-28,3.93,4.0,3.85,3.93,1.22,110500
2000-01-31,4.0,4.28,3.85,4.14,1.29,198400
2000-02-01,4.14,4.28,4.07,4.21,1.31,80100
2000-02-02,4.14,4.35,4.14,4.28,1.34,34200
2000-02-03,4.21,4.43,4.14,4.21,1.31,153500
2000-02-04,4.14,4.14,4.0,4.0,1.25,110000
2000-02-07,4.28,4.35,4.07,4.21,1.31,35800
2000-02-08,4.14,4.35,3.85,4.0,1.25,54900
2000-02-09,4.0,4.07,4.0,4.0,1.25,52800
2000-02-10,4.0,4.0,3.93,3.93,1.22,109200
2000-02-11,3.85,3.93,3.64,3.71,1.16,109400
2000-02-14,3.71,3.71,3.57,3.64,1.14,57700
2000-02-15,3.57,3.64,3.57,3.64,1.14,59600
2000-02-16,3.57,3.78,3.57,3.78,1.18,55500
2000-02-17,3.71,3.93,3.71,3.78,1.18,36300
2000-02-18,3.85,3.85,3.78,3.78,1.18,10800
2000-02-22,3.78,3.85,3.78,3.78,1.18,21800
2000-02-23,3.78,3.78,3.78,3.78,1.18,8500
2000-02-24,3.78,3.85,3.71,3.78,1.18,25600
2000-02-25,3.71,4.0,3.71,3.85,1.2,88700
2000-02-28,3.85,3.93,3.85,3.93,1.22,12300
2000-02-29,3.93,4.07,3.85,3.85,1.2,546400
2000-03-01,3.85,4.0,3.78,3.78,1.18,191500
2000-03-02,3.78,3.85,3.78,3.85,1.2,84300
2000-03-03,3.93,4.21,3.93,4.07,1.27,53300
2000-03-06,3.93,4.14,3.78,4.07,1.27,37000
2000-03-07,4.0,4.14,3.85,4.0,1.25,265500
2000-03-08,4.0,4.0,3.85,3.85,1.2,18600
2000-03-09,3.85,3.85,3.57,3.71,1.16,123400
2000-03-10,3.78,3.78,3.57,3.64,1.14,62800
2000-03-13,3.64,3.85,3.64,3.85,1.2,43200
2000-03-14,3.78,3.78,3.57,3.57,1.11,64100
2000-03-15,3.57,3.57,3.07,3.21,1.0,181500
2000-03-16,3.14,3.64,3.14,3.57,1.11,130500
2000-03-17,3.43,3.5,3.28,3.35,1.05,70000
2000-03-20,3.35,3.35,3.28,3.35,1.05,32500
2000-03-21,3.43,4.0,3.43,3.93,1.22,274200
2000-03-22,4.07,4.5,4.07,4.28,1.34,142600
2000-03-23,4.28,4.43,3.57,3.71,1.16,198700
2000-03-24,3.71,4.0,3.71,3.71,1.16,50500
2000-03-27,3.71,3.78,3.64,3.64,1.14,42900
2000-03-28,3.64,3.78,3.57,3.57,1.11,68300
2000-03-29,3.71,3.71,3.57,3.64,1.14,18300
2000-03-30,3.57,3.78,3.43,3.78,1.18,91800
2000-03-31,3.85,3.85,3.57,3.78,1.18,61300
2000-04-03,3.78,3.78,3.71,3.78,1.18,12300
2000-04-04,3.78,3.93,3.78,3.93,1.22,72200
2000-04-05,3.85,4.0,3.85,3.85,1.2,21500
2000-04-06,3.71,4.07,3.71,3.93,1.22,24100
2000-04-07,3.93,4.07,3.78,4.07,1.27,43600
2000-04-10,3.93,4.28,3.93,4.21,1.31,45200
2000-04-11,4.28,4.35,4.28,4.28,1.34,13300
2000-04-12,4.28,4.5,4.28,4.43,1.38,20300
2000-04-13,4.35,4.5,4.35,4.35,1.36,44500
2000-04-14,4.28,4.35,4.0,4.07,1.27,54100
2000-04-17,4.07,4.21,4.07,4.21,1.31,81200
2000-04-18,4.14,4.35,4.14,4.28,1.34,21100
2000-04-19,4.28,4.43,4.28,4.35,1.36,9700
2000-04-20,4.43,4.43,4.35,4.35,1.36,9300
2000-04-24,4.35,4.43,4.28,4.28,1.34,15800
2000-04-25,4.43,4.43,4.28,4.43,1.38,16900
2000-04-26,4.43,4.5,4.28,4.43,1.38,37300
2000-04-27,4.35,4.43,4.35,4.43,1.38,6900
2000-04-28,4.35,4.57,4.35,4.5,1.4,21100
2000-05-01,4.57,4.78,4.57,4.71,1.47,53100
2000-05-02,4.71,4.78,4.57,4.71,1.47,31600
2000-05-03,4.71,4.78,4.64,4.71,1.47,24600
