Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,55.36,55.93,55.25,55.36,22.53,993000
2000-01-03,54.52,55.42,53.62,53.9,21.94,4663700
2000-01-04,53.68,54.35,51.49,52.16,21.23,5005800
2000-01-05,53.06,54.69,52.61,53.9,21.94,6368500
2000-01-06,53.68,53.68,52.5,53.28,21.83,4705600
2000-01-07,52.95,53.12,51.99,52.89,21.66,5043800
2000-01-10,52.89,53.34,51.99,52.61,21.55,4487800
2000-01-11,51.94,52.5,51.49,52.12,21.35,3694400
2000-01-12,50.7,51.82,50.36,50.36,20.63,4288100
2000-01-13,51.26,51.43,49.97,49.97,20.47,3783700
2000-01-14,50.31,50.92,49.97,50.64,20.74,3180500
2000-01-18,51.26,53.9,51.09,52.84,21.64,4861700
2000-01-19,51.71,52.61,51.71,51.82,21.23,2962300
2000-01-20,52.22,53.28,51.99,51.99,21.3,2711000
2000-01-21,53.85,55.14,53.06,54.02,22.12,5706500
2000-01-24,54.24,54.69,53.9,54.07,22.15,3908300
2000-01-25,54.02,54.18,52.33,52.61,21.55,4420200
2000-01-26,52.84,53.0,51.77,51.94,21.27,4054100
2000-01-27,52.16,52.84,51.37,52.39,21.46,3124900
2000-01-28,52.1,52.95,51.32,51.82,21.23,3357400
2000-01-31,51.77,56.66,51.32,55.7,22.82,5373000
2000-02-01,54.63,55.2,53.28,53.57,21.94,4674000
2000-02-02,54.02,54.07,53.17,53.34,21.85,2948400
2000-02-03,53.73,54.07,52.16,52.55,21.53,2589900
2000-02-04,52.84,53.68,52.44,52.67,21.57,3401800
2000-02-07,52.67,53.9,52.1,53.73,22.01,3313900
2000-02-08,53.79,54.41,52.78,53.06,21.73,3069200
2000-02-09,53.06,53.23,51.71,51.99,21.3,3224600
2000-02-10,51.88,51.94,51.15,51.32,21.02,2851600
2000-02-11,51.21,51.26,48.96,50.36,20.63,3436700
2000-02-14,50.36,50.64,49.35,49.74,20.37,2905400
2000-02-15,49.58,49.58,48.56,48.79,19.98,3995700
2000-02-16,48.62,49.74,48.62,49.52,20.28,3747200
2000-02-17,50.19,50.31,48.11,48.34,19.8,3358400
2000-02-18,48.17,48.39,46.37,46.65,19.11,4291100
2000-02-22,47.21,47.5,46.03,46.99,19.25,3589500
2000-02-23,45.98,46.82,45.02,45.19,18.51,4013600
2000-02-24,45.02,45.42,43.06,43.17,17.68,6266600
2000-02-25,42.72,44.4,42.61,42.77,17.52,5269300
2000-02-28,43.0,45.81,42.89,44.85,18.37,4322400
2000-02-29,44.97,45.08,43.34,44.01,18.03,5199300
2000-03-01,47.78,49.46,46.88,49.41,20.24,7936600
2000-03-02,48.68,49.8,48.62,49.69,20.35,4752100
2000-03-03,49.8,50.47,49.58,49.74,20.37,4411300
2000-03-06,50.53,51.26,49.18,51.26,21.0,4410300
2000-03-07,51.26,51.94,49.97,50.02,20.49,3890400
2000-03-08,49.29,51.32,49.29,50.81,20.81,3478000
2000-03-09,50.7,52.72,50.19,52.72,21.6,4054300
2000-03-10,52.55,52.55,51.09,51.54,21.11,3984000
2000-03-13,50.92,51.54,50.31,51.43,21.07,3737700
2000-03-14,50.7,50.98,50.25,50.42,20.65,3694200
2000-03-15,50.47,50.87,49.46,50.42,20.65,4239700
2000-03-16,50.42,52.27,49.74,52.05,21.32,5223100
2000-03-17,52.22,53.79,51.94,53.23,21.8,5038500
2000-03-20,53.06,53.9,52.39,53.17,21.78,3379700
2000-03-21,53.17,53.68,52.39,52.95,21.69,3240700
2000-03-22,52.5,52.89,51.49,52.05,21.32,4342100
2000-03-23,52.84,54.07,52.39,53.62,21.96,6167200
2000-03-24,53.73,54.35,53.12,53.51,21.92,3602100
2000-03-27,53.51,54.75,53.17,54.52,22.33,3862800
2000-03-28,54.47,54.8,53.68,54.41,22.29,3661300
