Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,8.41,8.88,8.41,8.88,8.39,64200
2000-01-03,8.78,8.78,8.34,8.59,8.13,181400
2000-01-04,8.5,8.5,8.31,8.47,8.01,193400
2000-01-05,8.38,8.44,8.25,8.44,7.98,304800
2000-01-06,8.41,8.41,7.94,8.09,7.65,199000
2000-01-07,8.09,8.09,7.75,7.78,7.36,231400
2000-01-10,7.94,8.0,7.62,7.88,7.45,337000
2000-01-11,7.81,7.81,7.53,7.66,7.24,318000
2000-01-12,7.66,7.66,7.19,7.25,6.85,219600
2000-01-13,7.31,7.34,7.25,7.31,6.91,95600
2000-01-14,7.44,7.44,6.75,6.91,6.53,755000
2000-01-18,6.84,6.88,6.69,6.88,6.5,431800
2000-01-19,6.88,7.09,6.88,7.0,6.62,261800
2000-01-20,7.03,7.28,6.94,7.0,6.62,525800
2000-01-21,6.91,7.0,6.88,6.91,6.53,767600
2000-01-24,6.94,7.0,6.75,6.78,6.41,258200
2000-01-25,6.69,6.69,6.06,6.22,5.88,654000
2000-01-26,6.19,6.19,5.78,5.88,5.55,521200
2000-01-27,5.88,5.97,5.78,5.78,5.47,272400
2000-01-28,5.78,5.81,5.62,5.66,5.35,98400
2000-01-31,5.59,5.69,5.53,5.56,5.26,303400
2000-02-01,5.62,5.66,5.44,5.56,5.26,290200
2000-02-02,5.66,5.78,5.62,5.72,5.41,182600
2000-02-03,5.72,5.81,5.72,5.75,5.44,196200
2000-02-04,5.78,5.84,5.75,5.78,5.47,411400
2000-02-07,5.81,6.06,5.75,5.88,5.55,123000
2000-02-08,6.03,6.03,5.78,5.81,5.5,170800
2000-02-09,5.88,6.09,5.75,5.94,5.61,276200
2000-02-10,6.0,6.38,5.94,6.31,5.97,130400
2000-02-11,6.25,6.53,6.09,6.44,6.09,138400
2000-02-14,6.44,6.44,6.06,6.22,5.88,194000
2000-02-15,6.0,6.03,5.78,5.78,5.47,231400
2000-02-16,5.84,5.88,5.56,5.69,5.38,376800
2000-02-17,5.75,6.06,5.66,5.75,5.44,296800
2000-02-18,5.75,5.78,5.62,5.62,5.32,368000
2000-02-22,5.59,5.62,5.56,5.59,5.29,129600
2000-02-23,5.66,5.69,5.41,5.47,5.17,168200
2000-02-24,5.44,5.47,5.25,5.25,4.97,247800
2000-02-25,5.22,5.22,4.5,4.75,4.49,1106800
2000-02-28,4.75,4.84,4.59,4.66,4.41,655200
2000-02-29,4.72,4.75,4.66,4.75,4.49,607200
2000-03-01,4.81,4.97,4.81,4.88,4.61,406200
2000-03-02,4.94,4.94,4.81,4.88,4.61,307800
2000-03-03,4.84,4.88,4.78,4.81,4.55,229800
2000-03-06,4.75,4.75,4.38,4.41,4.17,565000
2000-03-07,4.41,4.44,4.22,4.44,4.2,883400
2000-03-08,4.38,4.53,4.34,4.44,4.2,538000
2000-03-09,4.44,4.62,4.44,4.62,4.38,1103200
2000-03-10,4.5,4.62,4.5,4.56,4.32,397800
2000-03-13,4.5,4.81,4.5,4.66,4.41,237000
2000-03-14,4.84,5.25,4.78,4.97,4.7,501000
2000-03-15,5.19,5.53,5.16,5.47,5.17,450400
2000-03-16,5.47,5.75,5.34,5.75,5.44,196600
2000-03-17,5.62,5.75,5.47,5.5,5.2,112800
2000-03-20,5.5,5.5,5.28,5.34,5.06,97800
2000-03-21,5.41,5.41,5.12,5.25,4.97,162200
2000-03-22,5.16,6.0,5.03,5.25,4.97,682600
2000-03-23,5.25,5.31,5.09,5.09,4.82,500000
2000-03-24,5.12,5.31,5.09,5.16,4.88,367200
2000-03-27,5.16,5.25,5.12,5.19,4.91,110000
2000-03-28,5.19,5.25,5.12,5.12,4.85,144000
2000-03-29,5.12,5.28,5.12,5.16,4.88,92800
2000-03-30,5.22,5.44,5.16,5.31,5.03,150200
2000-03-31,5.38,5.84,5.28,5.31,5.03,374400
2000-04-03,5.28,5.69,5.28,5.62,5.32,147800
2000-04-04,5.56,5.56,5.38,5.44,5.15,195200
2000-04-05,5.47,5.47,5.38,5.47,5.17,131600
2000-04-06,5.5,5.78,5.5,5.5,5.2,84800
2000-04-07,5.72,5.72,5.62,5.66,5.35,155400
2000-04-10,5.59,5.59,5.31,5.31,5.03,328000
2000-04-11,5.31,5.44,5.31,5.41,5.12,235800
2000-04-12,5.41,5.88,5.34,5.72,5.41,280200
2000-04-13,5.59,5.69,5.5,5.53,5.23,178800
2000-04-14,5.5,5.66,5.41,5.59,5.29,270800
2000-04-17,5.53,5.78,5.44,5.78,5.47,128200
2000-04-18,5.75,6.12,5.75,6.12,5.8,177000
2000-04-19,6.09,6.09,5.88,6.0,5.68,401800
2000-04-20,6.0,6.0,5.31,5.34,5.06,350800
2000-04-24,5.31,5.53,5.06,5.44,5.15,314600
2000-04-25,5.56,5.81,5.56,5.78,5.47,218600
