Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,28.62,29.31,28.5,29.25,21.84,585000
2000-01-03,28.5,28.69,27.75,28.56,21.33,2095900
2000-01-04,27.81,28.38,27.12,27.5,20.53,1709100
2000-01-05,27.75,27.94,27.31,27.81,20.77,2167800
2000-01-06,27.69,27.88,26.88,27.0,20.16,2595400
2000-01-07,27.06,27.75,26.38,27.69,20.67,3629900
2000-01-10,27.56,28.88,27.25,28.5,21.28,3296100
2000-01-11,28.88,30.0,28.62,29.62,22.12,3499800
2000-01-12,30.0,30.38,29.69,30.25,22.59,2062800
2000-01-13,30.0,30.62,29.62,30.19,22.54,2092100
2000-01-14,29.62,29.88,29.25,29.44,21.98,2048700
2000-01-18,29.0,29.5,28.69,29.25,21.84,1563000
2000-01-19,29.5,30.38,29.31,30.19,22.54,1985000
2000-01-20,30.25,30.81,29.81,30.19,22.54,2603900
2000-01-21,30.94,30.94,29.75,29.94,22.35,2091200
2000-01-24,30.12,30.25,28.75,29.0,21.65,1712600
2000-01-25,29.19,29.38,28.19,28.44,21.23,1878800
2000-01-26,27.5,29.31,27.44,29.25,21.84,1614400
2000-01-27,29.5,29.62,28.19,29.12,21.75,1420800
2000-01-28,28.25,29.25,28.06,28.81,21.51,1694200
2000-01-31,28.75,28.75,27.62,27.94,20.86,2400900
2000-02-01,27.69,29.0,27.06,28.81,21.51,1820000
2000-02-02,28.44,29.38,28.19,28.94,21.61,1361200
2000-02-03,28.25,29.12,28.25,28.88,21.56,1603300
2000-02-04,29.12,29.5,29.0,29.19,21.79,1313000
2000-02-07,28.62,29.0,28.44,28.94,21.61,1358300
2000-02-08,29.25,30.12,28.81,30.12,22.49,2262300
2000-02-09,30.0,30.25,29.62,29.94,22.35,1424300
2000-02-10,29.94,30.62,29.88,30.62,22.87,1878600
2000-02-11,30.38,30.44,29.56,29.62,22.12,1228000
2000-02-14,29.5,29.81,28.94,29.81,22.26,966100
2000-02-15,29.62,29.75,28.25,28.5,21.28,1606600
2000-02-16,28.19,28.31,27.12,27.5,20.56,1423500
2000-02-17,27.25,27.62,26.38,27.38,20.46,1777700
2000-02-18,27.0,27.0,25.94,26.19,19.58,2071400
2000-02-22,25.5,26.5,25.0,26.25,19.62,1944300
2000-02-23,25.62,26.94,25.25,26.75,20.0,2285400
2000-02-24,26.75,26.94,25.75,26.06,19.48,2963300
2000-02-25,26.06,26.31,25.5,26.12,19.53,3820600
2000-02-28,26.19,26.62,25.12,26.44,19.76,2129900
2000-02-29,26.56,26.56,25.75,25.81,19.3,2776400
2000-03-01,25.88,25.88,25.19,25.62,19.16,2720100
2000-03-02,25.12,25.25,24.5,24.69,18.45,3261000
2000-03-03,24.56,24.94,24.19,24.52,18.33,3165100
2000-03-06,24.5,24.5,23.75,24.25,18.13,2400600
2000-03-07,24.12,24.12,22.06,22.75,17.01,3522300
2000-03-08,22.75,25.0,22.69,24.88,18.59,2763600
2000-03-09,24.88,25.88,24.81,25.62,19.16,2244200
2000-03-10,25.38,25.38,24.44,24.5,18.31,1667100
2000-03-13,23.38,25.12,23.31,25.06,18.73,2111800
2000-03-14,25.06,25.31,24.56,25.0,18.69,2657900
2000-03-15,24.88,26.25,24.81,26.0,19.44,2433100
2000-03-16,26.62,27.75,26.5,27.5,20.56,3862900
2000-03-17,27.75,28.44,27.62,27.94,20.88,3082500
2000-03-20,28.0,28.06,27.19,28.0,20.93,1508700
2000-03-21,27.75,28.38,27.25,28.0,20.93,1785300
2000-03-22,27.5,28.0,27.0,27.94,20.88,2592100
2000-03-23,27.25,27.31,26.94,27.19,20.32,2187200
2000-03-24,27.0,28.44,26.81,28.0,20.93,2561700
2000-03-27,26.5,26.56,25.75,26.44,19.76,5142700
2000-03-28,26.38,27.19,26.25,26.62,19.9,2953600
2000-03-29,26.69,27.5,25.94,26.0,19.44,3251000
2000-03-30,26.06,26.06,24.88,25.12,18.78,4160000
2000-03-31,25.44,26.12,24.75,25.75,19.25,7764900
2000-04-03,26.0,26.06,25.0,25.44,19.02,2710800
2000-04-04,26.0,27.12,25.38,26.75,20.0,5429700
2000-04-05,26.75,27.44,26.38,26.94,20.14,2186700
2000-04-06,26.81,27.12,26.31,26.56,19.86,1936800
2000-04-07,26.56,26.69,26.44,26.55,19.84,1806900
2000-04-10,26.5,27.38,26.5,27.25,20.37,2394400
2000-04-11,27.44,28.06,27.06,27.38,20.46,2921300
2000-04-12,27.25,29.5,27.25,28.25,21.12,3910300
2000-04-13,28.94,29.5,27.88,27.88,20.84,2973600
2000-04-14,27.75,27.88,26.25,26.31,19.67,3525800
2000-04-17,26.31,27.94,25.56,27.75,20.74,3075700
2000-04-18,27.5,27.62,26.75,27.5,20.56,1767500
2000-04-19,27.44,27.81,27.06,27.5,20.56,1394300
2000-04-20,27.81,28.12,27.75,28.06,20.98,1515700
2000-04-24,27.88,28.88,27.88,28.75,21.49,1458600
2000-04-25,28.75,29.38,28.12,29.19,21.82,2128200
2000-04-26,29.19,29.19,28.62,29.06,21.73,1898800
2000-04-27,28.94,29.0,28.0,28.75,21.49,1504000
2000-04-28,28.69,28.75,28.06,28.12,21.02,1397800
2000-05-01,27.69,28.75,27.5,28.06,20.98,1938700
2000-05-02,28.06,29.0,27.94,28.88,21.58,2535100
