Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,9.59,9.72,9.56,9.62,3.48,307400
2000-01-03,9.75,9.75,9.47,9.53,3.44,592800
2000-01-04,9.5,9.62,9.47,9.59,3.46,535800
2000-01-05,9.62,10.12,9.59,10.03,3.62,708400
2000-01-06,10.16,10.16,9.94,10.0,3.61,680400
2000-01-07,10.03,10.16,10.0,10.12,3.66,376200
2000-01-10,10.25,10.25,10.06,10.12,3.66,911400
2000-01-11,10.19,10.19,10.0,10.0,3.61,950600
2000-01-12,10.06,10.22,10.06,10.19,3.68,628400
2000-01-13,10.25,10.25,10.06,10.09,3.65,485200
2000-01-14,10.16,10.16,9.94,9.94,3.59,628800
2000-01-18,9.94,9.97,9.66,9.75,3.52,605200
2000-01-19,9.81,10.0,9.75,10.0,3.61,382000
2000-01-20,9.94,10.0,9.88,9.94,3.59,475200
2000-01-21,9.97,10.22,9.94,10.16,3.67,620800
2000-01-24,10.19,10.31,10.16,10.16,3.67,880800
2000-01-25,10.16,10.22,10.03,10.09,3.65,752400
2000-01-26,10.06,10.16,10.03,10.06,3.63,468600
2000-01-27,10.09,10.12,9.91,10.0,3.61,566600
2000-01-28,10.12,10.12,9.78,9.91,3.58,852200
2000-01-31,9.94,9.97,9.88,9.88,3.57,786800
2000-02-01,9.94,10.0,9.84,9.94,3.59,467400
2000-02-02,10.06,10.22,10.0,10.09,3.65,501200
2000-02-03,10.12,10.59,10.09,10.47,3.78,795800
2000-02-04,10.38,10.41,10.06,10.19,3.68,474200
2000-02-07,10.19,10.19,9.88,9.88,3.57,842000
2000-02-08,10.06,10.22,10.0,10.03,3.62,420800
2000-02-09,10.0,10.12,9.97,10.03,3.62,5588800
2000-02-10,9.81,9.97,9.56,9.66,3.63,1075800
2000-02-11,9.69,9.75,9.41,9.44,3.55,892200
2000-02-14,9.47,9.5,9.44,9.5,3.57,607800
2000-02-15,9.5,9.5,9.44,9.44,3.55,582000
2000-02-16,9.41,9.44,9.38,9.44,3.55,394800
2000-02-17,9.44,9.47,9.34,9.44,3.55,444400
2000-02-18,9.38,9.44,9.22,9.34,3.51,343800
2000-02-22,9.41,9.41,9.28,9.28,3.49,497400
2000-02-23,9.31,9.31,9.12,9.22,3.46,519000
2000-02-24,9.22,9.25,8.72,8.81,3.31,880600
2000-02-25,8.75,8.84,8.69,8.75,3.29,1185600
2000-02-28,8.75,8.88,8.66,8.84,3.32,1372800
2000-02-29,8.88,8.91,8.78,8.84,3.32,747400
2000-03-01,8.84,8.88,8.69,8.69,3.26,515000
2000-03-02,8.84,8.97,8.78,8.94,3.36,524000
2000-03-03,8.94,8.97,8.81,8.84,3.32,528800
2000-03-06,8.84,8.88,8.5,8.53,3.21,860600
2000-03-07,8.53,8.66,8.53,8.56,3.22,887200
2000-03-08,8.66,8.69,8.41,8.41,3.16,1244600
2000-03-09,8.44,8.66,8.44,8.59,3.23,619400
2000-03-10,8.59,8.66,8.5,8.56,3.22,462200
2000-03-13,8.59,8.62,8.5,8.59,3.23,426800
2000-03-14,8.59,8.72,8.53,8.66,3.25,564600
2000-03-15,8.72,9.19,8.69,9.0,3.38,756800
2000-03-16,9.25,9.75,9.19,9.59,3.6,979000
2000-03-17,9.47,9.66,9.28,9.5,3.57,671000
2000-03-20,9.53,9.62,9.5,9.5,3.57,321000
2000-03-21,9.53,9.59,9.5,9.56,3.59,444200
2000-03-22,9.53,9.56,9.03,9.22,3.46,1261600
2000-03-23,9.28,9.38,9.25,9.38,3.52,734800
