Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,64.69,65.38,64.06,65.06,39.74,136600
2000-01-03,64.31,64.44,61.69,61.81,37.75,294400
2000-01-04,61.56,62.19,58.94,59.44,36.3,472600
2000-01-05,59.44,60.81,59.31,60.31,36.83,419500
2000-01-06,60.19,61.62,59.69,60.81,37.14,266600
2000-01-07,60.94,61.56,60.38,61.0,37.25,298400
2000-01-10,61.25,62.69,61.12,61.75,37.71,212700
2000-01-11,62.0,64.56,62.0,64.0,39.09,309500
2000-01-12,63.75,63.81,61.75,61.75,37.71,357100
2000-01-13,62.0,62.25,61.25,61.44,37.52,174500
2000-01-14,61.5,62.19,61.12,61.19,37.37,239500
2000-01-18,60.0,60.31,59.25,59.31,36.22,233500
2000-01-19,61.5,63.19,59.62,59.62,36.41,548000
2000-01-20,59.88,60.56,59.12,59.5,36.34,471900
2000-01-21,56.0,58.0,52.25,57.5,35.12,2453200
2000-01-24,57.75,59.94,57.38,57.94,35.38,894400
2000-01-25,57.94,58.38,51.75,53.62,32.75,1122600
2000-01-26,55.06,59.94,55.0,59.88,36.57,920900
2000-01-27,59.62,60.25,56.44,56.69,34.62,895100
2000-01-28,55.38,58.56,55.38,56.75,34.66,375500
2000-01-31,56.5,58.75,56.25,58.25,35.57,391500
2000-02-01,58.25,60.44,58.25,59.69,36.45,531500
2000-02-02,59.44,59.5,57.56,57.62,35.19,468300
2000-02-03,57.56,58.25,57.06,57.56,35.15,355000
2000-02-04,57.81,58.19,56.31,56.38,34.43,300100
2000-02-07,56.38,57.25,55.0,55.56,33.93,495300
2000-02-08,55.81,56.19,54.38,54.38,33.21,372300
2000-02-09,55.06,55.38,54.69,54.94,33.55,355200
2000-02-10,55.0,55.44,54.12,54.38,33.21,288900
2000-02-11,54.94,55.38,52.62,52.75,32.22,253400
2000-02-14,51.75,53.88,50.5,52.94,32.33,741400
2000-02-15,53.06,54.06,51.94,52.69,32.18,711000
2000-02-16,53.06,54.12,53.0,54.0,32.98,493300
2000-02-17,54.0,58.44,54.0,57.0,34.81,575000
2000-02-18,56.38,56.69,54.31,54.5,33.28,487000
2000-02-22,54.5,55.25,54.25,54.56,33.32,473400
2000-02-23,54.56,54.94,54.12,54.19,33.09,467700
2000-02-24,54.19,54.69,52.56,54.25,33.13,673400
2000-02-25,53.88,54.44,53.31,53.38,32.8,699900
2000-02-28,53.88,54.0,52.88,53.62,32.96,291900
2000-02-29,53.12,55.0,53.12,54.31,33.38,486000
2000-03-01,54.31,54.44,51.75,53.44,32.84,317000
