Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,22.4,23.48,22.4,22.87,12.24,1058700
2000-01-03,23.2,23.81,22.68,23.2,12.41,2366700
2000-01-04,22.08,23.48,22.08,22.68,12.14,3364600
2000-01-05,22.82,24.13,22.82,24.09,12.89,2731700
2000-01-06,24.09,24.79,24.09,24.6,13.16,8654600
2000-01-07,24.7,25.4,24.7,25.26,13.51,2319500
2000-01-10,25.35,25.72,24.74,24.79,13.26,1683300
2000-01-11,24.7,24.79,24.27,24.51,13.11,1411600
2000-01-12,24.7,24.93,23.71,24.18,12.94,3164000
2000-01-13,24.32,25.12,24.32,24.74,13.24,2522400
2000-01-14,25.26,26.19,25.21,26.15,13.99,3368000
2000-01-18,26.8,27.5,26.33,27.36,14.64,2556000
2000-01-19,27.27,27.27,26.71,26.8,14.34,2138900
2000-01-20,26.8,28.62,26.8,28.44,15.21,2515400
2000-01-21,30.31,30.5,28.86,29.33,15.69,4951000
2000-01-24,29.93,29.93,27.78,28.11,15.04,2783200
2000-01-25,28.11,28.11,27.31,27.69,14.81,2112800
2000-01-26,27.69,30.68,27.64,30.4,16.27,5487700
2000-01-27,30.31,30.36,28.48,29.05,15.54,2717200
2000-01-28,29.0,29.14,27.41,28.3,15.14,2277100
2000-01-31,28.48,29.19,27.55,28.48,15.24,2711400
2000-02-01,29.05,29.19,28.25,28.44,15.21,3587300
2000-02-02,28.2,29.05,28.06,28.91,15.46,2302700
2000-02-03,28.53,29.09,28.39,28.58,15.29,1977400
2000-02-04,28.53,28.72,27.97,28.11,15.04,2406400
2000-02-07,28.11,29.19,28.11,28.76,15.39,1858000
2000-02-08,29.93,31.24,29.37,31.06,16.62,4547900
2000-02-09,31.38,31.43,29.61,30.64,16.39,3414700
2000-02-10,31.34,32.09,30.59,31.62,16.92,4474600
2000-02-11,32.13,32.18,30.92,31.43,16.82,3936900
2000-02-14,31.62,32.18,31.2,31.38,16.79,1993800
2000-02-15,31.38,32.55,31.38,32.27,17.27,4551100
2000-02-16,33.49,33.82,32.65,33.68,18.02,4315900
2000-02-17,33.35,33.44,32.09,32.51,17.39,2144800
2000-02-18,32.32,32.6,30.59,31.43,16.82,3043700
2000-02-22,31.43,31.57,30.5,30.78,16.47,1979000
2000-02-23,31.24,32.37,30.45,30.5,16.32,2283400
2000-02-24,30.5,30.5,29.28,30.07,16.09,1665200
2000-02-25,29.89,30.03,28.72,29.37,15.72,1375100
2000-02-28,29.84,30.87,29.65,30.68,16.42,2554800
2000-02-29,30.68,31.85,30.17,31.29,16.74,1933800
2000-03-01,31.62,33.58,31.52,33.44,17.89,3182100
2000-03-02,33.68,35.83,33.44,33.72,18.04,3121300
2000-03-03,33.91,35.5,33.86,35.31,18.89,3876500
2000-03-06,35.13,36.39,34.61,35.92,19.22,3712700
2000-03-07,35.92,37.23,35.87,36.44,19.49,3718200
2000-03-08,36.44,36.62,33.63,34.52,18.52,4353600
2000-03-09,34.42,34.42,33.07,34.1,18.3,2355300
2000-03-10,34.42,36.67,34.42,36.44,19.55,5945900
2000-03-13,35.13,35.41,34.19,34.66,18.6,1969000
2000-03-14,34.52,34.66,33.72,34.33,18.42,2563500
2000-03-15,34.52,34.89,33.3,34.0,18.25,2103000
2000-03-16,35.17,35.17,32.46,34.47,18.5,2564800
2000-03-17,33.96,34.42,33.3,34.05,18.27,2159300
2000-03-20,33.77,34.28,32.83,33.02,17.72,1925400
2000-03-21,33.02,34.28,32.74,34.28,18.4,1848300
2000-03-22,34.1,34.24,33.11,33.54,18.0,1393000
2000-03-23,33.44,33.68,32.37,33.3,17.87,1966700
2000-03-24,33.11,33.63,31.95,32.32,17.35,1934900
2000-03-27,32.41,33.82,32.41,33.68,18.07,4413100
2000-03-28,33.35,33.49,30.68,31.1,16.69,2579100
2000-03-29,31.43,33.49,31.24,32.83,17.62,3611600
2000-03-30,33.21,34.05,32.13,32.51,17.45,3380300
2000-03-31,32.18,33.16,31.15,32.88,17.65,2061900
2000-04-03,32.93,33.11,31.85,32.65,17.52,1842400
2000-04-04,32.69,33.02,26.57,30.5,16.37,3094800
2000-04-05,30.12,30.21,29.19,29.89,16.04,2101400
2000-04-06,31.06,31.06,30.45,30.96,16.62,1257300
2000-04-07,32.55,32.83,31.15,31.62,16.97,2361600
2000-04-10,31.71,31.81,30.31,30.5,16.37,1425400
2000-04-11,30.36,30.68,28.86,29.28,15.71,1553700
2000-04-12,29.75,29.93,27.88,28.02,15.04,2050500
2000-04-13,28.44,29.89,28.11,29.0,15.56,2794200
2000-04-14,28.53,29.0,26.66,27.22,14.61,2908400
2000-04-17,26.19,28.11,25.63,27.69,14.86,2409200
2000-04-18,28.06,28.16,27.13,27.46,14.73,2932100
2000-04-19,27.69,29.09,27.64,28.72,15.41,2179900
2000-04-20,28.48,28.81,28.11,28.34,15.21,1709700
2000-04-24,27.88,28.3,27.08,27.31,14.66,1177800
2000-04-25,27.69,28.25,27.41,28.2,15.14,2264700
2000-04-26,28.2,28.44,27.74,28.06,15.06,1772400
