Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,68.31,70.25,68.25,69.12,48.21,2112700
2000-01-03,68.38,69.0,65.5,66.81,46.6,8369900
2000-01-04,65.5,65.81,64.19,64.31,44.86,6745100
2000-01-05,63.88,64.38,62.19,63.0,43.94,7018700
2000-01-06,63.0,64.56,62.69,63.69,44.42,6544500
2000-01-07,64.5,68.94,64.5,68.5,47.78,7976900
2000-01-10,67.25,67.5,65.62,67.25,46.9,6714300
2000-01-11,67.06,67.75,65.62,66.25,46.21,4943300
2000-01-12,66.19,66.75,65.06,65.06,45.38,4085000
2000-01-13,66.0,66.12,65.0,65.12,45.42,5021000
2000-01-14,64.0,65.94,64.0,64.5,44.99,6312200
2000-01-18,63.19,66.44,63.06,65.56,45.73,6442200
2000-01-19,65.25,65.81,64.0,64.06,44.68,4819900
2000-01-20,64.44,64.5,62.5,63.38,44.2,5738100
2000-01-21,63.94,63.94,62.06,62.44,43.55,6952500
2000-01-24,63.44,63.44,57.5,59.38,41.41,7799900
2000-01-25,59.81,61.19,59.5,61.12,42.63,6403800
2000-01-26,61.12,62.06,60.0,61.94,43.2,4538400
2000-01-27,61.31,61.5,57.88,59.12,41.24,7323300
2000-01-28,58.88,58.88,53.5,55.12,38.45,14029400
2000-01-31,54.56,55.5,54.12,54.75,38.19,7972700
2000-02-01,55.0,59.5,54.94,58.69,40.93,8359000
2000-02-02,58.88,60.12,57.94,58.38,40.71,6034600
2000-02-03,58.38,58.81,56.25,58.38,40.71,6999000
2000-02-04,57.94,57.94,56.0,56.31,39.28,6549700
2000-02-07,56.62,56.62,54.62,55.75,38.88,6043700
2000-02-08,57.31,59.69,56.88,59.5,41.5,8576100
2000-02-09,60.0,60.12,57.31,57.81,40.32,8216600
2000-02-10,57.62,58.38,56.81,57.0,39.76,4591600
2000-02-11,57.44,57.5,55.62,56.06,39.1,4816700
2000-02-14,56.69,58.88,56.5,58.88,41.06,5803600
2000-02-15,56.94,58.0,55.0,58.0,40.45,9712100
2000-02-16,56.5,56.5,52.69,52.75,36.79,13585800
2000-02-17,52.94,53.5,48.0,48.38,33.74,24766700
2000-02-18,48.5,49.5,47.25,47.75,33.3,19394400
2000-02-22,49.25,49.31,46.75,48.12,33.57,12342600
2000-02-23,48.44,48.5,46.75,47.0,32.78,12874400
2000-02-24,47.0,47.88,43.44,47.88,33.39,19431900
2000-02-25,44.31,45.31,43.62,44.5,31.04,16908500
2000-02-28,44.56,46.94,44.56,46.19,32.21,17836100
2000-02-29,47.94,49.75,47.94,48.75,34.0,17197200
2000-03-01,49.88,50.0,47.5,49.0,34.18,10165800
2000-03-02,52.75,52.88,50.44,50.56,35.27,15542700
2000-03-03,52.12,53.31,51.5,52.62,36.7,10790800
2000-03-06,52.62,52.69,48.62,50.5,35.22,10493600
2000-03-07,49.62,49.62,47.12,47.56,33.17,9724700
2000-03-08,47.31,49.31,45.62,48.31,33.7,10018700
2000-03-09,49.0,49.44,46.88,48.94,34.13,7944900
2000-03-10,49.75,49.75,47.44,47.94,33.43,7005500
2000-03-13,46.25,47.94,45.88,47.69,33.26,7727900
2000-03-14,47.0,48.81,46.31,47.75,33.3,9985000
2000-03-15,47.44,51.94,46.56,51.5,35.96,14670000
2000-03-16,52.31,55.56,51.62,54.62,38.15,19716000
2000-03-17,54.56,56.25,54.12,55.75,38.93,12637300
2000-03-20,55.81,55.81,53.38,55.12,38.5,6769100
2000-03-21,55.44,56.62,54.5,56.62,39.54,7854600
2000-03-22,56.5,56.5,54.0,55.38,38.67,9963500
2000-03-23,54.38,54.56,53.5,54.0,37.71,7025500
2000-03-24,54.44,55.69,54.0,55.5,38.76,7952900
2000-03-27,54.69,55.5,54.25,55.44,38.71,5774900
2000-03-28,54.56,55.94,54.5,54.5,38.06,5797600
2000-03-29,55.5,59.38,55.44,58.75,41.03,13596700
2000-03-30,59.75,60.75,58.88,59.0,41.2,11570800
2000-03-31,59.25,59.31,55.5,56.5,39.46,9054000
2000-04-03,56.62,62.0,56.62,61.19,42.73,11935700
2000-04-04,61.69,63.31,57.5,60.0,41.9,13675800
2000-04-05,59.31,60.12,57.56,58.25,40.68,7066000
2000-04-06,59.12,61.25,58.75,61.12,42.69,7254200
2000-04-07,61.25,62.0,60.62,61.5,42.95,4013100
2000-04-10,61.5,63.69,61.0,63.56,44.39,5521000
2000-04-11,62.88,63.5,61.5,63.38,44.26,5355400
2000-04-12,63.44,64.94,62.06,62.44,43.6,7243300
2000-04-13,62.31,62.31,59.5,60.06,41.94,7884500
