Date,Open,High,Low,Close,Adj Close,Volume
2015-06-24,57.17,57.17,57.1,57.1,49.19,3600
2015-06-25,56.67,56.67,55.77,55.77,48.05,4100
2015-06-26,55.77,55.77,55.77,55.77,48.05,100
2015-06-29,54.89,54.89,54.78,54.78,47.19,300
2015-06-30,55.26,55.32,54.36,54.87,47.27,2015000
2015-07-01,54.73,56.22,54.63,56.22,48.43,213500
2015-07-02,56.76,58.56,56.22,58.55,50.44,1936700
2015-07-06,58.67,59.83,56.75,57.44,49.48,2322200
2015-07-07,57.58,57.65,55.45,56.28,48.49,3388600
2015-07-08,56.31,57.57,53.61,53.8,46.35,4200100
2015-07-09,53.61,54.9,52.72,53.62,46.19,2535200
2015-07-10,54.03,55.5,53.52,55.32,47.66,2482800
2015-07-13,55.9,56.09,55.51,55.97,48.22,1386200
2015-07-14,55.95,56.81,55.36,56.03,48.27,1104100
2015-07-15,56.09,56.7,55.08,55.52,47.83,1342800
2015-07-16,55.59,57.37,55.44,56.15,48.37,1516000
2015-07-17,56.42,56.99,55.54,55.64,47.93,1346500
2015-07-20,55.86,56.7,55.41,55.46,47.77,2194200
2015-07-21,55.72,56.64,53.72,53.92,46.46,1998900
2015-07-22,54.37,55.09,53.67,54.19,46.68,999000
2015-07-23,53.85,54.76,53.47,53.92,46.46,1248300
2015-07-24,53.65,54.01,51.95,53.08,45.73,1281400
2015-07-27,52.66,53.54,52.14,52.43,45.17,1393100
2015-07-28,52.73,53.83,51.8,53.46,46.06,1816500
2015-07-29,53.05,53.82,52.33,53.51,46.1,1986900
2015-07-30,55.28,56.93,55.0,56.61,48.77,3918000
2015-07-31,55.41,57.44,55.1,56.82,48.95,1803400
2015-08-03,57.1,58.33,56.21,56.92,49.03,2361800
2015-08-04,56.09,57.17,56.08,56.37,48.57,780200
2015-08-05,57.02,57.63,56.06,56.54,48.71,1664100
2015-08-06,55.86,56.31,54.49,55.63,47.92,2815500
2015-08-07,55.57,56.41,54.94,56.37,48.56,2287300
2015-08-10,56.75,57.21,55.77,56.74,49.18,1580600
2015-08-11,57.66,57.66,55.6,57.12,49.51,1916000
2015-08-12,57.12,57.55,55.6,57.04,49.44,1541700
2015-08-13,57.0,57.48,56.18,56.88,49.3,937000
2015-08-14,56.88,57.49,55.82,56.97,49.37,1041800
2015-08-17,56.43,57.13,56.43,57.07,49.46,792600
2015-08-18,56.78,57.28,56.68,56.91,49.32,894800
2015-08-19,56.74,57.02,55.92,55.92,48.47,1195200
2015-08-20,55.64,55.64,54.4,54.67,47.38,1439800
2015-08-21,54.26,54.3,52.82,53.17,46.08,2173600
2015-08-24,51.05,54.32,48.18,50.87,44.09,2381800
2015-08-25,52.53,52.59,49.56,50.0,43.34,2606800
2015-08-26,51.47,52.2,49.69,50.86,44.08,2064900
2015-08-27,52.47,53.38,52.02,53.36,46.24,2080600
2015-08-28,53.45,54.44,53.36,54.29,47.06,1674500
2015-08-31,54.14,54.27,52.83,53.47,46.34,1866000
2015-09-01,52.71,53.27,51.95,52.64,45.63,2054900
2015-09-02,53.09,53.55,51.76,52.41,45.42,1373800
2015-09-03,52.57,53.73,52.42,52.91,45.85,1227100
2015-09-04,51.59,52.55,51.58,51.67,44.78,911300
2015-09-08,52.38,52.87,51.98,52.8,45.76,694200
2015-09-09,53.16,54.11,52.37,52.48,45.49,1198000
2015-09-10,52.37,53.53,52.28,52.92,45.87,1845700
2015-09-11,52.71,53.86,52.27,52.93,45.88,1146300
2015-09-14,52.93,53.72,51.85,53.68,46.52,1648500
2015-09-15,56.75,56.75,52.86,53.77,46.6,1578000
2015-09-16,53.37,53.37,51.36,52.97,45.91,2180900
2015-09-17,52.87,53.32,51.7,52.01,45.08,1363600
2015-09-18,51.33,51.65,50.09,50.18,43.49,2458800
2015-09-21,51.97,51.97,50.0,50.33,43.62,1830500
2015-09-22,51.35,51.35,48.16,48.6,42.12,2210800
2015-09-23,48.5,49.57,47.37,47.56,41.22,2043600
2015-09-24,45.96,47.26,45.5,47.13,40.85,2749800
2015-09-25,47.36,47.55,46.55,46.81,40.57,1630600
2015-09-28,46.27,46.78,44.96,45.02,39.02,1958700
2015-09-29,44.49,46.19,43.97,45.56,39.49,1969600
2015-09-30,49.34,49.34,45.61,46.35,40.17,1766700
2015-10-01,49.75,50.5,46.03,46.85,40.61,2441500
2015-10-02,45.04,47.8,45.04,47.76,41.39,2139700
2015-10-05,48.11,49.0,47.85,48.74,42.25,1714400
2015-10-06,48.98,49.6,48.63,48.93,42.41,2398200
2015-10-07,46.44,49.4,46.44,48.71,42.21,2720800
2015-10-08,48.58,49.23,48.26,48.82,42.32,2009300
2015-10-09,49.56,52.0,49.56,51.87,44.95,3857400
2015-10-12,51.83,51.89,49.99,50.75,43.99,1439800
2015-10-13,50.15,51.18,49.96,50.04,43.37,1963400
2015-10-14,50.08,50.63,49.81,50.24,43.54,1132500
2015-10-15,50.07,50.57,49.51,50.46,43.74,973100
2015-10-16,52.12,52.12,49.34,50.27,43.56,1550500
2015-10-19,49.73,50.21,48.35,48.9,42.38,1598400
2015-10-20,48.51,49.05,46.27,48.44,41.98,1249600
2015-10-21,48.83,48.83,46.63,47.36,41.05,1723600
2015-10-22,47.91,48.44,46.79,47.3,41.0,2085800
2015-10-23,47.47,48.39,47.43,48.09,41.68,1667200
2015-10-26,48.02,48.07,47.02,47.99,41.59,1292000
2015-10-27,47.56,48.03,47.0,47.82,41.44,1133800
2015-10-28,49.37,49.48,47.72,49.02,42.49,2029600
2015-10-29,47.49,49.4,46.87,48.71,42.21,1222200
2015-10-30,48.75,49.16,48.44,48.44,41.98,1160900
2015-11-02,48.26,49.24,48.22,48.74,42.25,1298200
2015-11-03,45.97,48.49,45.97,47.95,41.56,1540700
2015-11-04,49.41,49.41,47.86,47.98,41.58,1133900
2015-11-05,45.03,47.38,43.43,46.29,40.12,4367400
2015-11-06,45.88,48.41,45.88,48.35,41.9,1558900
2015-11-09,46.07,48.73,46.06,46.76,40.53,1659800
2015-11-10,47.38,47.38,45.35,46.25,40.08,1334700
2015-11-11,45.45,46.81,45.45,46.45,40.26,889000
2015-11-12,45.41,45.88,44.36,44.39,38.47,1494400
2015-11-13,44.08,45.03,43.63,43.74,37.91,1822400
2015-11-16,43.79,43.92,42.93,43.18,37.43,2630100
2015-11-17,41.71,44.18,41.71,43.02,37.58,2552400
2015-11-18,42.92,44.71,42.92,44.66,39.01,1966100
2015-11-19,44.41,45.5,44.13,45.21,39.49,1706300
2015-11-20,45.37,45.68,44.9,45.15,39.44,1094600
2015-11-23,44.25,45.85,44.25,45.41,39.67,1325500
