Date,Open,High,Low,Close,Adj Close,Volume
2006-10-02,19.2,20.08,19.17,19.76,14.72,7111800
2006-10-03,19.89,20.04,19.63,20.0,14.9,11416000
2006-10-04,20.0,20.05,19.5,19.78,14.74,10722800
2006-10-05,19.95,19.95,19.59,19.64,14.63,8782400
2006-10-06,19.7,19.78,19.32,19.57,14.58,6282100
2006-10-09,19.9,19.96,19.51,19.73,14.7,3518000
2006-10-10,19.58,19.82,19.5,19.71,14.68,6132200
2006-10-11,19.68,19.68,19.28,19.31,14.39,9504800
2006-10-12,19.42,19.42,18.95,19.03,14.18,8323700
2006-10-13,19.0,19.02,18.57,18.87,14.06,10659500
2006-10-16,19.06,19.22,18.72,18.74,13.96,9966300
2006-10-17,18.5,18.68,18.36,18.58,13.84,4902400
2006-10-18,18.55,19.12,18.55,19.0,14.16,6600200
2006-10-19,19.4,19.75,19.2,19.5,14.53,8959200
2006-10-20,19.6,20.0,19.44,19.63,14.62,5712600
2006-10-23,19.66,19.88,19.14,19.58,14.59,6780900
2006-10-24,20.0,21.0,19.9,19.95,14.86,14763500
2006-10-25,20.06,22.2,20.05,21.85,16.28,11829500
2006-10-26,21.72,23.04,21.65,22.34,16.64,13490500
2006-10-27,22.1,22.34,21.52,21.95,16.35,4564700
2006-10-30,21.98,22.2,21.45,22.11,16.47,5795000
2006-10-31,22.49,22.78,21.81,22.05,16.43,4165200
2006-11-01,22.15,22.58,21.94,21.97,16.37,8517800
2006-11-02,21.68,22.08,21.44,21.83,16.26,7359000
2006-11-03,22.08,22.29,21.34,21.54,16.05,4821000
2006-11-06,22.05,22.41,21.79,22.23,16.56,5462100
2006-11-07,22.13,22.94,22.13,22.5,16.76,5057500
2006-11-08,22.4,22.88,22.22,22.62,16.85,4660200
2006-11-09,22.6,23.55,22.5,23.28,17.34,8630700
2006-11-10,23.28,23.5,22.76,22.83,17.01,4421300
2006-11-13,23.2,23.44,22.88,23.24,17.31,5379500
2006-11-14,23.48,23.55,22.9,23.42,17.45,4358300
2006-11-15,23.63,23.8,23.31,23.35,17.4,4149900
2006-11-16,23.5,23.8,23.1,23.12,17.22,4629000
2006-11-17,22.98,23.2,22.65,22.68,16.9,4082900
2006-11-20,22.68,22.82,22.21,22.51,16.77,3844400
2006-11-21,22.63,22.84,22.54,22.55,16.8,4081200
2006-11-22,22.45,22.66,22.36,22.54,16.79,2753500
2006-11-24,22.52,22.55,22.36,22.36,16.66,886000
2006-11-27,22.17,22.37,21.72,21.85,16.28,4876600
2006-11-28,21.66,22.5,21.49,21.62,16.11,4878100
2006-11-29,22.5,23.84,21.52,22.16,16.51,5716900
2006-11-30,22.19,22.94,22.09,22.8,16.99,6002400
2006-12-01,22.41,22.85,22.41,22.85,17.02,4519400
2006-12-04,23.05,23.75,22.9,23.5,17.51,5347100
2006-12-05,23.5,24.14,23.38,24.12,17.97,7449100
2006-12-06,24.1,24.1,23.35,23.45,17.47,5195700
2006-12-07,23.45,24.06,23.34,23.91,17.81,5155300
2006-12-08,23.84,24.1,23.74,23.85,17.77,3518300
2006-12-11,23.65,23.75,23.24,23.57,17.56,3447100
2006-12-12,23.45,23.65,22.95,23.3,17.36,3342400
2006-12-13,23.3,23.31,22.5,22.84,17.02,4484900
2006-12-14,23.02,23.24,22.55,22.77,16.97,5321800
2006-12-15,22.6,23.08,22.6,22.99,17.14,5120800
2006-12-18,22.99,23.09,22.75,22.88,17.05,4316100
2006-12-19,22.89,23.03,22.55,22.55,16.81,2284100
2006-12-20,22.7,22.7,22.33,22.39,16.69,2778400
2006-12-21,22.31,22.5,22.14,22.22,16.56,3918900
2006-12-22,22.21,22.4,21.92,21.98,16.38,3743900
2006-12-26,22.2,22.25,22.0,22.12,16.49,1584800
2006-12-27,22.17,22.56,22.13,22.5,16.77,2409600
2006-12-28,22.41,22.5,22.2,22.35,16.66,1717900
2006-12-29,22.35,22.58,22.3,22.42,16.71,2157700
2007-01-03,22.9,23.34,22.42,22.71,16.93,5910100
2007-01-04,22.6,23.04,22.5,22.91,17.08,2834300
2007-01-05,22.9,22.97,22.3,22.33,16.64,5548800
2007-01-08,22.32,22.37,21.82,21.96,16.37,2829800
2007-01-09,21.95,22.34,21.85,22.25,16.58,3600900
2007-01-10,22.9,23.09,22.38,22.46,16.74,5745000
2007-01-11,22.56,22.77,22.24,22.64,16.87,3325900
2007-01-12,22.65,22.91,22.58,22.79,16.99,4191600
2007-01-16,22.95,23.0,22.16,22.2,16.55,6111500
2007-01-17,22.2,22.4,21.65,21.72,16.19,5909800
2007-01-18,21.95,21.98,21.54,21.6,16.1,2606300
2007-01-19,21.7,21.71,21.24,21.41,15.96,4957200
2007-01-22,21.16,21.56,21.01,21.03,15.67,5065800
2007-01-23,21.11,21.87,21.02,21.8,16.25,5165300
2007-01-24,21.26,21.86,21.26,21.4,15.95,4683400
2007-01-25,21.41,21.63,20.97,21.07,15.7,5218300
2007-01-26,21.1,21.22,20.74,20.94,15.61,3867700
2007-01-29,20.86,21.58,20.8,21.19,15.79,4412800
2007-01-30,21.33,21.89,21.25,21.72,16.19,3882600
2007-01-31,21.6,22.56,21.55,22.34,16.65,5334200
2007-02-01,22.1,23.56,21.65,23.55,17.55,10378600
2007-02-02,23.38,23.55,22.82,23.02,17.16,5619700
2007-02-05,23.15,23.22,22.85,22.85,17.03,4096100
2007-02-06,22.75,22.99,22.46,22.53,16.79,3607600
2007-02-07,22.5,22.72,22.3,22.55,16.81,4112500
2007-02-08,22.5,22.5,22.05,22.1,16.47,3474200
2007-02-09,22.0,22.3,21.55,21.8,16.25,3188300
2007-02-12,21.8,22.0,21.57,21.97,16.37,2305700
2007-02-13,21.98,22.16,21.8,21.96,16.37,3069700
2007-02-14,22.17,22.35,21.99,22.32,16.64,3537000
2007-02-15,22.35,22.53,22.35,22.48,16.76,3045800
2007-02-16,22.41,22.68,22.11,22.15,16.51,3170800
2007-02-20,22.1,22.3,22.0,22.16,16.52,2548000
2007-02-21,22.16,22.33,22.0,22.14,16.5,2863500
2007-02-22,22.09,22.14,21.65,21.8,16.25,5613400
2007-02-23,21.91,22.03,21.75,21.89,16.32,5670300
2007-02-26,21.98,22.48,21.75,22.37,16.67,3726100
2007-02-27,21.9,22.42,21.53,21.65,16.14,7065300
2007-02-28,21.98,22.02,21.42,21.67,16.15,7684500
2007-03-01,21.45,21.6,21.31,21.41,15.96,5842600
2007-03-02,21.02,21.31,20.75,21.08,15.71,4752400
2007-03-05,20.83,21.46,20.76,21.19,15.79,3962200
2007-03-06,21.5,21.9,21.25,21.87,16.3,4179500
2007-03-07,21.77,21.8,21.31,21.36,15.92,3303500
2007-03-08,21.6,21.84,21.3,21.41,15.96,3189900
2007-03-09,21.45,21.51,20.85,21.14,15.76,5337500
2007-03-12,21.02,21.62,20.83,21.55,16.06,5034300
2007-03-13,21.41,21.5,21.08,21.17,15.78,4607600
2007-03-14,21.15,21.34,20.79,21.27,15.85,3823900
2007-03-15,21.27,21.86,21.24,21.82,16.26,3818900
2007-03-16,21.9,22.0,21.51,21.61,16.11,3819200
2007-03-19,21.66,21.96,21.62,21.83,16.27,1987300
2007-03-20,21.77,22.02,21.41,21.51,16.03,5019600
2007-03-21,21.62,21.91,21.32,21.85,16.29,4736800
2007-03-22,21.95,21.95,21.62,21.68,16.16,5440300
2007-03-23,21.98,22.45,21.9,22.34,16.65,5162800
2007-03-26,22.31,22.74,22.28,22.63,16.87,4136100
2007-03-27,22.6,22.99,22.53,22.62,16.86,3758400
2007-03-28,22.52,23.05,22.43,22.45,16.73,4180800
2007-03-29,22.55,22.61,21.87,22.21,16.55,2875000
2007-03-30,22.26,22.36,21.62,21.95,16.36,3086600
2007-04-02,22.62,22.62,21.95,22.18,16.53,3765800
2007-04-03,22.4,22.68,22.24,22.48,16.76,3835300
2007-04-04,22.52,22.69,22.5,22.6,16.84,4645500
2007-04-05,22.59,23.0,22.59,22.87,17.05,3884800
2007-04-09,22.87,23.17,22.79,23.02,17.16,6807900
2007-04-10,23.07,23.22,22.97,23.17,17.27,3963800
2007-04-11,23.0,23.3,23.0,23.13,17.24,5241900
2007-04-12,23.13,23.13,22.66,22.82,17.01,3275200
2007-04-13,23.76,23.76,22.4,22.48,16.76,3287900
2007-04-16,22.5,22.55,22.39,22.55,16.81,3448500
2007-04-17,22.62,22.98,22.59,22.88,17.05,3465900
2007-04-18,22.72,22.97,22.53,22.84,17.02,3697800
2007-04-19,22.98,23.23,22.68,23.16,17.26,4001700
2007-04-20,23.48,23.48,23.0,23.26,17.34,3893700
2007-04-23,23.2,23.33,22.62,22.85,17.03,3564800
2007-04-24,22.85,22.99,22.55,22.93,17.09,3327300
2007-04-25,21.39,21.9,20.85,21.59,16.09,26088200
2007-04-26,22.49,22.49,21.35,21.69,16.17,6698200
2007-04-27,21.71,21.85,21.42,21.71,16.18,5863500
2007-04-30,21.47,21.64,21.02,21.05,15.69,7938000
2007-05-01,21.1,21.29,20.74,20.87,15.56,9894500
2007-05-02,20.85,21.04,20.79,20.94,15.61,8512200
2007-05-03,20.97,21.54,20.84,21.51,16.03,6839000
2007-05-04,21.51,21.63,21.22,21.54,16.05,3533500
2007-05-07,21.55,21.72,21.51,21.64,16.13,3007000
2007-05-08,21.52,21.7,21.14,21.34,15.91,4169000
2007-05-09,21.32,21.68,21.11,21.48,16.01,3683300
2007-05-10,21.32,21.36,21.16,21.16,15.77,3672500
2007-05-11,21.27,21.52,21.21,21.48,16.01,3136700
2007-05-14,21.47,21.48,21.12,21.21,15.81,3316600
2007-05-15,21.53,22.19,21.11,21.12,15.74,3317900
2007-05-16,21.17,21.46,21.14,21.38,15.94,3227000
2007-05-17,21.23,21.41,21.13,21.23,15.82,3362900
2007-05-18,21.29,21.72,21.26,21.64,16.13,4637200
2007-05-21,21.84,21.94,21.62,21.76,16.22,3641000
2007-05-22,21.63,21.91,21.58,21.62,16.11,3198700
2007-05-23,21.71,22.22,21.63,22.09,16.46,4987600
2007-05-24,22.01,22.25,21.6,21.64,16.13,3855600
2007-05-25,21.82,22.31,21.74,22.28,16.61,2846300
2007-05-29,22.28,22.43,21.82,21.89,16.32,4184500
2007-05-30,21.85,22.3,21.79,22.3,16.62,3850400
2007-05-31,22.25,22.69,22.15,22.45,16.73,3258100
2007-06-01,22.59,22.75,22.44,22.49,16.76,2114500
2007-06-04,22.35,22.45,22.12,22.18,16.53,4375400
2007-06-05,21.8,22.25,21.7,22.16,16.52,2814600
2007-06-06,22.03,22.25,21.88,22.17,16.52,5129400
2007-06-07,22.08,22.18,21.77,21.82,16.26,5061600
2007-06-08,21.6,22.21,21.42,22.16,16.52,4849100
2007-06-11,22.16,22.92,22.0,22.75,16.96,4827500
2007-06-12,22.65,22.79,22.27,22.42,16.71,4385900
2007-06-13,22.59,22.92,22.25,22.9,17.07,3071600
