Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,71.0,72.12,70.81,71.81,14.14,168600
2000-01-03,71.06,71.12,68.75,69.88,13.76,973700
2000-01-04,69.75,70.44,66.56,67.25,13.24,1201700
2000-01-05,67.25,70.88,66.94,70.81,13.94,1184600
2000-01-06,71.19,74.5,70.19,74.12,14.6,1307700
2000-01-07,72.06,73.25,70.69,71.69,14.12,1728000
2000-01-10,72.19,72.38,70.12,71.38,14.05,821900
2000-01-11,71.38,72.0,70.12,70.62,13.91,677300
2000-01-12,69.62,69.88,68.75,68.94,13.57,689400
2000-01-13,68.94,69.38,67.75,68.56,13.5,805000
2000-01-14,69.0,69.44,68.62,69.25,13.64,863300
2000-01-18,69.0,69.19,65.81,66.56,13.11,825700
2000-01-19,62.0,64.06,61.69,63.5,12.5,3095500
2000-01-20,63.5,65.19,62.81,65.0,12.8,2979700
2000-01-21,65.0,65.0,62.69,63.88,12.58,1481300
2000-01-24,63.88,64.38,59.06,61.0,12.01,1534700
2000-01-25,59.5,60.06,56.12,58.19,11.46,1838000
2000-01-26,58.0,60.0,57.5,57.88,11.47,2560000
2000-01-27,58.0,58.81,56.5,57.06,11.31,1335000
2000-01-28,56.69,59.5,56.0,59.06,11.71,2502800
2000-01-31,58.69,58.69,55.31,57.38,11.38,1089600
2000-02-01,57.38,58.88,56.31,57.25,11.35,1447500
2000-02-02,57.25,57.5,55.25,56.5,11.2,2137500
2000-02-03,56.0,56.38,54.56,54.62,10.83,1339000
2000-02-04,55.25,55.75,54.0,55.0,10.9,1950800
2000-02-07,54.25,54.5,51.88,52.62,10.43,1817800
2000-02-08,53.19,54.19,52.5,53.69,10.64,2538300
2000-02-09,53.06,54.5,51.56,51.94,10.3,1426700
2000-02-10,51.81,52.31,50.31,52.0,10.31,5724400
2000-02-11,52.0,52.75,48.88,51.31,10.17,2307200
2000-02-14,50.69,52.38,49.25,52.12,10.33,1491200
2000-02-15,52.0,54.31,51.06,53.62,10.63,1670200
2000-02-16,52.88,53.94,51.56,53.5,10.61,1392300
2000-02-17,54.75,55.12,51.5,52.81,10.47,1266200
2000-02-18,51.62,52.0,47.44,48.75,9.67,1843800
2000-02-22,49.19,51.62,48.0,51.62,10.24,1660900
2000-02-23,52.0,52.0,49.31,50.0,9.91,994300
2000-02-24,49.75,49.81,48.12,49.69,9.85,1987000
2000-02-25,49.62,50.19,48.44,49.31,9.78,1077300
2000-02-28,49.38,51.25,49.12,50.25,9.96,1599600
2000-02-29,49.25,51.88,48.06,51.31,10.17,1345600
2000-03-01,53.5,53.94,51.38,53.44,10.59,2072100
2000-03-02,53.19,53.31,51.31,52.56,10.42,816000
2000-03-03,52.81,55.44,52.44,53.44,10.59,1520200
2000-03-06,54.19,54.19,51.62,52.44,10.4,1171700
2000-03-07,52.38,52.69,50.0,50.38,9.99,1522600
2000-03-08,50.12,53.94,49.88,52.12,10.33,1189800
2000-03-09,51.25,51.88,50.62,51.75,10.26,1442200
2000-03-10,52.31,55.44,52.31,54.44,10.79,887800
2000-03-13,52.88,55.31,52.81,55.12,10.93,1511000
2000-03-14,54.38,54.56,51.81,52.19,10.35,1132200
2000-03-15,52.25,55.38,52.25,54.5,10.81,1875200
2000-03-16,54.75,59.12,53.5,59.06,11.71,2024100
2000-03-17,58.5,58.5,55.62,55.88,11.08,1361600
2000-03-20,56.12,58.56,56.12,56.75,11.25,814600
2000-03-21,56.75,57.81,55.06,56.81,11.26,1058500
