Date,Open,High,Low,Close,Adj Close,Volume
2002-09-25,16.1,16.1,16.1,16.1,14.89,1000
2002-09-26,16.1,16.4,16.1,16.4,15.17,111900
2002-09-27,16.25,16.3,16.05,16.1,14.89,37100
2002-09-30,16.0,17.25,15.8,17.25,15.95,903300
2002-10-01,17.2,17.65,16.78,16.78,15.52,662400
2002-10-02,16.78,16.78,15.35,15.7,14.52,592100
2002-10-03,15.55,16.38,15.55,16.1,14.89,650400
2002-10-04,16.0,16.1,15.55,15.68,14.5,380200
2002-10-07,15.75,16.0,15.0,15.0,13.87,594700
2002-10-08,14.4,14.4,13.77,14.04,12.98,416600
2002-10-09,14.1,14.25,13.95,14.0,12.95,291800
2002-10-10,13.95,14.0,13.23,13.49,12.47,739900
2002-10-11,13.59,13.88,13.45,13.6,12.58,487200
2002-10-14,13.4,14.38,13.4,14.17,13.1,166200
2002-10-15,14.12,14.98,14.12,14.95,13.82,318500
2002-10-16,14.85,14.95,14.12,14.15,13.08,274100
2002-10-17,14.15,14.48,14.14,14.39,13.31,1012300
2002-10-18,14.4,14.93,14.2,14.76,13.65,342600
2002-10-21,14.55,14.94,14.5,14.77,13.66,263500
2002-10-22,14.75,15.1,14.6,15.1,13.96,279900
2002-10-23,15.1,15.38,15.0,15.34,14.19,372600
2002-10-24,15.3,15.48,15.26,15.48,14.31,395500
2002-10-25,15.48,15.48,15.05,15.37,14.21,265100
2002-10-28,15.35,15.42,15.25,15.35,14.19,442600
2002-10-29,15.35,15.35,15.2,15.34,14.19,202200
2002-10-30,15.35,16.08,15.35,16.0,14.8,197100
2002-10-31,16.0,16.03,15.9,15.9,14.7,257100
2002-11-01,15.9,16.0,15.72,16.0,14.8,159800
2002-11-04,15.97,16.1,15.75,15.85,14.66,120800
2002-11-05,15.85,15.85,15.45,15.61,14.43,252700
2002-11-06,15.65,15.73,15.5,15.55,14.38,190700
2002-11-07,15.5,15.65,15.05,15.57,14.4,207000
2002-11-08,15.49,15.49,14.8,15.1,13.96,78600
2002-11-11,14.85,15.16,14.72,15.15,14.01,41500
2002-11-12,15.08,15.15,14.92,15.12,13.98,43400
2002-11-13,15.12,15.12,14.6,14.6,13.5,395300
2002-11-14,14.6,14.83,14.45,14.69,13.58,58500
2002-11-15,14.55,14.71,14.26,14.6,13.5,149700
2002-11-18,14.53,14.7,14.18,14.7,13.59,181400
2002-11-19,14.63,14.81,14.52,14.8,13.69,199700
2002-11-20,14.8,15.28,14.8,15.28,14.13,236900
2002-11-21,15.25,15.34,14.9,15.14,14.0,306100
2002-11-22,15.2,15.33,15.12,15.22,14.07,260100
2002-11-25,15.22,15.6,15.22,15.55,14.38,280800
2002-11-26,15.48,15.57,15.36,15.4,14.24,29200
2002-11-27,15.37,15.5,15.35,15.43,14.27,47400
2002-11-29,15.37,15.5,15.12,15.12,13.98,61700
2002-12-02,15.5,16.01,15.35,15.83,14.64,293300
2002-12-03,15.85,15.95,15.52,15.82,14.63,228900
2002-12-04,15.87,16.3,15.72,16.18,14.96,176900
2002-12-05,16.19,16.55,16.18,16.47,15.23,168000
2002-12-06,16.35,16.98,16.32,16.73,15.47,400600
2002-12-09,16.7,17.21,16.52,16.85,15.58,333900
2002-12-10,16.8,17.02,16.6,17.02,15.74,114500
2002-12-11,16.92,17.1,16.78,16.8,15.54,147100
2002-12-12,16.8,17.55,16.8,17.42,16.11,156900
2002-12-13,17.3,17.7,17.28,17.5,16.18,353100
2002-12-16,17.44,17.88,17.2,17.28,15.98,304600
2002-12-17,17.27,17.45,16.75,16.86,15.59,115200
2002-12-18,16.78,16.85,16.42,16.7,15.44,184400
2002-12-19,16.62,17.09,16.5,16.9,15.63,222400
2002-12-20,16.95,17.2,16.55,16.55,15.3,110400
2002-12-23,16.45,17.0,16.45,17.0,15.72,415400
2002-12-24,16.92,17.2,16.85,16.98,15.7,65400
2002-12-26,16.9,17.0,16.56,16.98,15.7,114700
2002-12-27,17.0,17.08,16.85,16.94,15.66,94500
2002-12-30,17.0,17.54,16.86,17.54,16.22,137400
2002-12-31,17.5,18.0,17.3,17.9,16.55,187200
2003-01-02,17.9,18.42,17.9,18.42,17.03,224300
2003-01-03,18.41,18.45,18.05,18.05,16.69,103200
2003-01-06,17.7,17.85,17.55,17.65,16.32,116800
2003-01-07,17.55,17.73,17.07,17.35,16.04,46200
2003-01-08,17.25,17.6,17.25,17.41,16.1,79600
2003-01-09,17.41,17.6,17.11,17.17,15.88,113900
2003-01-10,17.07,17.48,17.07,17.38,16.07,143800
2003-01-13,17.43,17.65,17.34,17.65,16.32,234200
2003-01-14,17.69,18.22,17.68,18.15,16.78,219100
2003-01-15,18.2,18.38,18.15,18.32,16.94,108000
2003-01-16,18.52,19.47,18.51,19.3,17.85,223800
2003-01-17,19.25,19.25,19.09,19.16,17.72,207300
2003-01-21,19.12,19.12,18.85,18.85,17.43,294500
2003-01-22,18.85,18.88,18.8,18.8,17.38,236900
2003-01-23,18.86,18.89,18.72,18.84,17.42,61100
2003-01-24,18.88,18.89,18.6,18.65,17.25,104900
2003-01-27,18.6,18.7,18.4,18.4,17.01,202100
2003-01-28,18.4,18.77,18.4,18.75,17.34,108700
2003-01-29,18.7,18.8,18.35,18.35,16.97,345500
2003-01-30,18.45,18.63,18.34,18.41,17.02,227600
2003-01-31,18.31,18.68,18.2,18.68,17.27,179100
2003-02-03,19.85,19.98,19.6,19.6,18.12,312700
2003-02-04,19.75,19.78,19.4,19.7,18.22,178700
2003-02-05,19.77,19.8,19.52,19.6,18.12,274900
2003-02-06,19.67,19.81,19.4,19.4,17.94,204700
2003-02-07,19.47,19.48,18.82,18.82,17.4,244900
2003-02-10,18.89,19.5,18.88,19.22,17.77,203800
2003-02-11,19.25,19.57,19.25,19.39,17.93,178100
2003-02-12,19.3,19.31,18.81,18.95,17.52,149100
2003-02-13,19.0,19.0,18.77,18.98,17.55,83900
2003-02-14,19.02,19.02,18.75,18.78,17.37,83400
2003-02-18,18.98,19.48,18.95,19.3,17.85,170200
2003-02-19,19.18,19.22,18.8,19.16,17.72,85400
2003-02-20,18.98,19.04,18.72,18.72,17.31,72000
2003-02-21,18.72,19.19,18.65,19.1,17.66,146900
2003-02-24,19.12,19.73,19.12,19.65,18.17,467800
2003-02-25,19.75,19.81,19.52,19.52,18.05,198500
2003-02-26,19.42,19.56,19.31,19.4,17.94,258400
2003-02-27,19.45,19.5,19.32,19.4,17.94,229900
2003-02-28,19.5,19.95,19.5,19.88,18.38,133000
2003-03-03,19.83,19.88,19.62,19.65,18.17,130500
2003-03-04,19.65,20.0,19.62,19.92,18.42,176400
2003-03-05,19.82,20.25,19.82,20.0,18.49,290400
2003-03-06,20.08,20.41,20.0,20.2,18.68,271700
