Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,19.56,19.69,19.31,19.5,8.09,262900
2000-01-03,19.62,19.62,18.94,19.0,7.88,2738600
2000-01-04,19.06,19.5,19.0,19.44,8.06,425200
2000-01-05,19.44,20.19,19.44,20.19,8.38,500200
2000-01-06,20.12,20.12,19.81,20.0,8.3,344100
2000-01-07,20.0,20.0,19.88,20.0,8.3,469500
2000-01-10,20.06,20.06,19.88,20.0,8.3,522000
2000-01-11,19.94,20.06,19.94,20.0,8.3,557400
2000-01-12,20.0,20.56,20.0,20.44,8.48,410500
2000-01-13,20.38,20.5,20.25,20.38,8.45,308000
2000-01-14,20.38,20.44,20.12,20.44,8.48,659100
2000-01-18,20.31,20.31,19.69,19.81,8.22,843200
2000-01-19,19.75,19.88,19.69,19.81,8.22,578200
2000-01-20,19.81,19.88,19.56,19.62,8.14,566200
2000-01-21,19.62,19.94,19.62,19.75,8.19,1021700
2000-01-24,19.75,19.81,19.62,19.69,8.17,649100
2000-01-25,19.69,19.69,19.31,19.5,8.09,344900
2000-01-26,19.62,19.62,19.0,19.12,7.94,1137000
2000-01-27,19.25,19.5,19.19,19.31,8.01,493400
2000-01-28,19.31,19.5,19.25,19.25,7.99,289700
2000-01-31,19.25,19.38,19.12,19.25,7.99,526700
2000-02-01,19.38,19.38,19.12,19.25,7.99,446600
2000-02-02,19.38,19.44,19.06,19.06,7.91,313200
2000-02-03,19.19,19.69,19.19,19.62,8.14,483400
2000-02-04,19.62,19.62,19.12,19.31,8.01,336400
2000-02-07,19.31,19.31,19.0,19.06,7.91,348300
2000-02-08,19.06,19.19,19.0,19.06,7.91,364900
2000-02-09,19.12,19.5,19.06,19.19,7.96,595500
2000-02-10,19.19,19.31,18.56,18.81,7.81,503600
2000-02-11,18.94,18.94,18.5,18.88,7.83,554500
2000-02-14,18.81,18.94,18.62,18.75,7.78,374500
2000-02-15,18.5,18.69,18.38,18.44,7.65,627400
2000-02-16,18.56,18.75,18.5,18.5,7.68,284800
2000-02-17,18.69,18.69,18.31,18.56,7.7,202600
