Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,40.28,40.5,40.09,40.28,23.49,2758600
2000-01-03,39.75,40.38,38.94,39.16,22.83,13458200
2000-01-04,38.69,39.09,38.25,38.41,22.4,14510800
2000-01-05,39.0,40.88,38.91,40.5,23.62,17485000
2000-01-06,40.31,42.91,40.09,42.59,24.84,19461600
2000-01-07,42.97,43.12,42.0,42.47,24.76,16603800
2000-01-10,42.09,42.31,41.78,41.88,24.42,8545400
2000-01-11,41.88,42.62,41.81,42.0,24.49,8722600
2000-01-12,41.62,42.19,41.41,41.75,24.35,10314200
2000-01-13,41.75,43.0,41.56,42.72,24.91,12056000
2000-01-14,42.75,42.75,41.5,41.88,24.42,11268800
2000-01-18,41.38,42.75,41.19,42.38,24.71,11929400
2000-01-19,42.12,42.94,41.84,42.78,24.95,13088800
2000-01-20,42.59,42.62,41.34,41.84,24.4,9613400
2000-01-21,42.0,42.59,41.66,42.5,24.78,14343600
2000-01-24,42.72,43.16,41.5,42.12,24.56,12459400
2000-01-25,42.0,43.06,41.91,42.03,24.51,11921600
2000-01-26,42.03,42.28,41.34,41.75,24.35,9298000
2000-01-27,41.66,41.66,39.88,40.5,23.62,10548400
2000-01-28,40.0,40.5,39.44,39.44,23.0,10361000
2000-01-31,39.31,41.78,38.94,41.44,24.16,14612200
2000-02-01,41.66,41.72,40.69,41.59,24.25,10665400
2000-02-02,41.62,42.44,41.62,41.91,24.44,11562800
2000-02-03,41.72,42.0,40.03,41.19,24.02,11610800
2000-02-04,41.75,41.75,40.03,40.44,23.58,11436200
2000-02-07,39.75,40.62,39.75,40.38,23.54,7101200
2000-02-08,40.5,40.94,39.34,39.47,23.02,9372000
2000-02-09,38.38,38.66,38.0,38.12,22.36,12408200
2000-02-10,38.12,38.84,37.66,37.94,22.25,13475600
2000-02-11,38.0,38.34,36.34,36.94,21.66,12465800
2000-02-14,37.25,38.47,37.22,38.22,22.41,9753600
2000-02-15,38.88,40.28,38.72,39.66,23.25,10783600
2000-02-16,39.5,40.19,39.19,40.0,23.46,10264200
2000-02-17,39.5,39.5,38.66,38.94,22.83,11678400
2000-02-18,38.66,38.69,37.5,37.5,21.99,13800600
2000-02-22,38.12,38.47,37.25,37.72,22.12,10854800
2000-02-23,37.06,37.91,36.56,37.31,21.88,8881600
2000-02-24,36.34,36.72,35.75,36.41,21.35,10786400
2000-02-25,36.28,37.19,35.0,35.53,20.84,11800600
2000-02-28,35.5,37.66,34.94,36.75,21.55,11875200
2000-02-29,36.75,37.81,36.47,37.66,22.08,10469200
2000-03-01,37.69,38.12,36.59,38.03,22.3,9884600
2000-03-02,38.0,38.84,37.78,38.5,22.58,9802200
2000-03-03,38.25,38.25,37.12,37.84,22.19,10207800
2000-03-06,37.0,37.5,36.0,36.47,21.39,10497400
2000-03-07,36.06,40.5,36.0,40.0,23.46,22811600
2000-03-08,38.75,41.0,38.75,39.81,23.35,19981400
2000-03-09,39.0,40.28,38.72,40.22,23.58,10906200
2000-03-10,40.0,40.09,38.16,38.52,22.59,9430000
2000-03-13,38.25,38.97,37.19,37.94,22.25,9467400
2000-03-14,37.56,39.0,37.31,38.62,22.65,9047600
2000-03-15,38.59,39.0,37.34,38.88,22.8,11879800
2000-03-16,39.0,39.97,37.94,39.88,23.38,11600800
2000-03-17,39.66,39.84,38.5,38.56,22.61,14929200
2000-03-20,38.09,38.66,37.16,37.44,21.95,10685600
2000-03-21,37.88,38.88,37.81,38.5,22.58,10880600
2000-03-22,38.5,38.5,37.22,37.47,21.97,14253200
2000-03-23,37.31,38.03,37.16,37.75,22.14,10115600
2000-03-24,37.88,38.78,37.81,38.62,22.65,8804400
2000-03-27,38.62,39.09,37.88,38.26,22.43,9663000
2000-03-28,37.81,39.5,37.81,39.5,23.16,8269600
2000-03-29,39.09,40.97,38.88,40.25,23.6,20753600
2000-03-30,40.72,40.91,38.84,39.31,23.05,13274200
2000-03-31,39.44,39.97,38.91,39.0,22.87,12599600
2000-04-03,38.88,40.38,38.84,40.25,23.6,9955600
2000-04-04,39.97,41.44,39.97,41.25,24.19,16389200
2000-04-05,41.0,41.56,39.75,39.88,23.38,13026800
2000-04-06,40.28,41.0,40.03,40.88,23.97,8265200
