Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,58.75,59.75,58.38,59.19,44.56,158100
2000-01-03,59.03,59.12,53.44,55.5,41.79,1199600
2000-01-04,54.62,55.0,52.5,52.81,39.76,816100
2000-01-05,52.75,53.25,51.06,52.75,39.72,1124700
2000-01-06,52.75,54.94,52.38,53.5,40.28,1112100
2000-01-07,53.75,54.25,53.31,53.62,40.38,782000
2000-01-10,53.69,53.75,51.5,52.66,39.65,408800
2000-01-11,52.69,53.0,49.88,49.88,37.55,987800
2000-01-12,50.5,50.75,49.0,50.31,37.88,794300
2000-01-13,51.06,55.5,51.0,54.69,41.18,458700
2000-01-14,56.0,56.75,54.94,55.62,41.88,596500
2000-01-18,55.62,56.12,52.75,52.81,39.76,476800
2000-01-19,52.75,54.62,52.62,53.38,40.19,310400
2000-01-20,54.12,54.12,51.94,52.44,39.48,368200
2000-01-21,53.12,53.31,50.28,52.88,39.81,448900
2000-01-24,53.5,54.25,51.38,52.0,39.15,573000
2000-01-25,51.81,53.88,51.38,53.69,40.42,497200
2000-01-26,54.0,54.22,52.56,53.56,40.33,541500
2000-01-27,53.75,58.62,53.62,57.75,43.72,967300
2000-01-28,57.25,57.25,54.88,56.12,42.49,801400
2000-01-31,56.19,59.31,56.12,59.12,44.76,440500
2000-02-01,58.88,60.0,58.56,59.75,45.23,730800
2000-02-02,59.5,59.56,58.56,58.62,44.38,655400
2000-02-03,58.56,59.5,57.12,57.94,43.86,297300
2000-02-04,57.88,58.12,55.0,55.31,41.87,240400
2000-02-07,55.38,55.75,53.88,55.25,41.83,384300
2000-02-08,55.06,58.44,55.0,58.06,43.96,366000
2000-02-09,58.56,58.69,54.0,55.12,41.73,935800
2000-02-10,55.44,56.5,54.75,54.94,41.59,362500
2000-02-11,55.44,56.0,54.5,54.69,41.4,448800
2000-02-14,54.69,55.23,54.06,54.12,40.97,199400
2000-02-15,54.38,55.5,53.56,54.81,41.5,412600
2000-02-16,54.75,54.81,54.25,54.56,41.31,233900
2000-02-17,54.75,55.75,54.06,55.03,41.66,439500
2000-02-18,55.0,55.12,49.62,49.88,37.76,1174700
2000-02-22,50.06,51.19,48.88,51.12,38.7,706100
2000-02-23,51.06,51.25,49.31,50.62,38.32,433000
2000-02-24,50.78,51.56,50.44,50.88,38.51,821900
2000-02-25,50.88,50.88,49.88,50.0,37.85,338300
2000-02-28,49.97,52.66,49.69,51.5,38.99,1029200
2000-02-29,51.75,53.25,51.0,53.06,40.17,415700
2000-03-01,53.0,53.19,50.5,50.69,38.37,786900
2000-03-02,50.69,52.25,50.69,51.44,38.94,423300
2000-03-03,51.25,51.41,32.0,38.81,29.38,14244100
2000-03-06,39.25,42.38,37.12,41.56,31.46,3842200
2000-03-07,41.88,41.88,39.12,39.81,30.14,1162600
2000-03-08,40.56,40.56,36.5,37.44,28.34,1449300
2000-03-09,37.19,37.62,36.38,36.88,27.92,862200
2000-03-10,36.94,39.75,36.06,37.25,28.2,822100
